Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Honda,Passport,Honda Passport,"Front-engine, rear-wheel-drive (1994–2002)",Transmission,Honda Passport EX-L AWD (pre-facelift),"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.[8][9]","EX trims gained extra equipment and features.[8] In 1995, for the 1996 model yea","EX trims gained extra equipment and features.[8] In 1995, for the 1996 model year, the 3.2 L V6 was upgraded from 130.5 kW (175 hp; 177 PS) to 142 kW (190 hp; 193 PS).",,
,,,Fourth generation Honda Passport,"Front-engine, front-wheel-drive (2019–2022)",speed manual,"In 2022, for the 2023 model year, the front-wheel drive EX-L option was discontinued from the lineup, therefore all-wheel drive became standard on all Passport models.[24]",Predecessor Honda Element,The 2.6 L engine option was also dropped.,The 2.6 L engine option was also dropped.,,
,,,"The Passport nameplate returned as a two-row mid-size crossover SUV slotted between the CR-V and Pilot for the 2019 model year. The third-generation Passport was unveiled at the Los Angeles Auto Show on November 27, 2018. It is built at Honda's factory in Lincoln, Alabama.[5]","Front-engine, four-wheel-drive (1994–present)",speed automatic,Honda Passport Elite AWD (facelift),"In October 2023, for the 2024 model year, changes include a larger center console and new armrest. The top Elite trim has been replaced with the Black Edition trim.[25]",The LX trim received an optional set of 16 in (406 mm) wheels.,The LX trim received an optional set of 16 in (406 mm) wheels.,,
,,,The Passport will be sold in Japan starting 2026.[6],"Front-engine, rear-wheel-drive",Transmission 9-speed ZF 9HP automatic,,"^ Nelson, Alfred (November 21, 2021). ""Honda Passport: All-New Redesigned 2022 Passport | Carusrelease"". Carusrelease.","All trim levels included front-wheel drive (FWD) as standard equipment, with all","All trim levels included front-wheel drive (FWD) as standard equipment, with all-wheel drive (AWD) optional, except for the ""Elite"", where it is standard equipment.",,
,,,"Wheelbase 108.5 in (2,756 mm)","Front-engine, four-wheel-drive",Transmission 10-speed automatic,,"^ ""Adventure Calls and 2022 Honda Passport Answers, with Rugged Redesign and All-New TrailSport"". Honda Newsroom. 2021-09-22. Retrieved 2024-05-19.","Front-wheel drive is standard; Honda's all-wheel drive system, dubbed i-VTM4 (In","Front-wheel drive is standard; Honda's all-wheel drive system, dubbed i-VTM4 (Intelligent Variable Torque Management), is optional, and features drive settings for Normal, Sand, Snow, and Mud.",,
,,,"In 1994, for the 1995 model year, the Passport received driver and front passenger airbags. EX trims gained extra equipment and features.[8]",Engine,,,,The Passport TrailSport comes standard with an all-wheel drive (AWD) system that,The Passport TrailSport comes standard with an all-wheel drive (AWD) system that is tuned for off-road use.,,
,,,"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.[8][9]",L 6VD1 V6 (EX),,,,It features LED DRL signature includes distinctive amber lighting for TrailSport,"It features LED DRL signature includes distinctive amber lighting for TrailSport models, an increased dash-to-axle ratio with a shorter front overhang, increased ground clearance with improved approach angle, and PASSPORT stamped on the front fascia and steel tailgate.",,
,,,Honda Passport V6 (pre-facelift),kW (120 hp; 122 PS) (2.6 L),,,,"In its model history, the Passport has the largest cargo space of 44 cu ft (1,20","In its model history, the Passport has the largest cargo space of 44 cu ft (1,200 L) expands to 83.5 cu ft (2,360 L) when the rear seats folded down, it features a redesigned underfloor storage area and a cargo shelf which can transform into a picnic table could be ordered as an accessory.[31][29] For safety, the Honda Sensing comes standard with a number of advanced driving assistance features.",,
,,,"Wheelbase 106.4 in (2,703 mm)",–142 kW (175–190 hp; 177–193 PS) (3.2 L),,,,"The TrailSport models comes with a TrailWatch camera system, and readouts for Ro","The TrailSport models comes with a TrailWatch camera system, and readouts for Roll, Pitch and Elevation.[31] All models comes with a 3.5-liter V6 gasoline engine paired to a 10-speed automatic transmission and comes standard with the Honda torque vectoring i-VTM4 all-wheel drive system, which features a stronger rear drive unit.",,
,,,Honda Passport V6 (facelift),"In 1995, for the 1996 model year, the 3.2 L V6 was upgraded from 130.5 kW (175 hp; 177 PS) to 142 kW (190 hp; 193 PS). A shift-on-the-fly four-wheel-drive system became available.[8][9]",,,,,,,
,,,Honda Passport EX-L AWD (pre-facelift),"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.[8][9]",,,,,,,
,,,"Wheelbase 111.0 in (2,819 mm)",Honda Passport V6 (pre-facelift),,,,,,,
,,,"In October 2020, for the 2021 model year, all trims received the 8-inch touchscreen and Apple CarPlay and Android Auto as standard equipment.[20]",Engine 3.2 L 6VD1 V6,,,,,,,
,,,"In 2022, for the 2023 model year, the front-wheel drive EX-L option was discontinued from the lineup, therefore all-wheel drive became standard on all Passport models.[24]",Honda Passport V6 (facelift),,,,,,,
,,,"In October 2023, for the 2024 model year, changes include a larger center console and new armrest. The top Elite trim has been replaced with the Black Edition trim.[25]","Front-engine, front-wheel-drive",,,,,,,
,,,Passport TrailSport (2022)[edit],,,,,,,,
,,,"In October 2023, for the 2024 model year, the TrailSport receives trim-specific suspension retuning and all-terrain tires.[25]",,,,,,,,
,,,Honda Passport TrailSport (facelift),,,,,,,,
,,,Honda Passport Elite AWD (facelift),,,,,,,,
,,,"The 2019 Passport received a ""Top Safety Pick"" award by the IIHS.[27]",,,,,,,,
