Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Mazda,MX-5,"Class Roadster, sports car (S)","Front-engine, rear-wheel-drive layout (NA and NB)","^ Winfield, Barry (2021-01-18). ""Tested: 2005 Mazdaspeed MX-5 Miata"". Car and Driver. Retrieved 2021-12-22.","^ Torchinsky, Jason (2014-09-04). ""The Miata Could Have Been Mid-Engined Or Even FWD"". Jalopnik. US. Retrieved 2017-05-14.","""Miata"" redirects here. For other uses, see Miata (disambiguation).",It initially featured a 1.6 L (98 cu in) straight-four engine making 116 horsepo,"It initially featured a 1.6 L (98 cu in) straight-four engine making 116 horsepower; in late 1993, a larger 1.8-liter engine was made standard in most markets.",,
,,,"More than one million MX-5s have been sold, making it the best-selling two-seat convertible sports car in history.[3][4][needs update]","Front mid-engine, rear-wheel-drive (NC and ND)","^ Garlitos, Kirby (2011-04-02). ""Mazda MX-5 Miata breaks Guinness World Record with 900,000th car"". Topspeed.",,"The California team proposed a front-engine, rear-wheel-drive layout, codenamed Duo 101, in line with the British roadster ancestry, but their Japanese counterparts favored the more common front-engine, front-wheel-drive layout or the rear mid-engine, rear-wheel-drive layout.[10]","A five-speed manual transmission was standard, with the option of a four-speed a","A five-speed manual transmission was standard, with the option of a four-speed automatic also available.",,
,,,"I babbled [...] how the [...] simple, bugs-in-the-teeth, wind-in-the-hair, classically-British sports car doesn't exist any more. I told Mr. Yamamoto that somebody should build one [...] inexpensive roadster.[9]","The California team proposed a front-engine, rear-wheel-drive layout, codenamed Duo 101, in line with the British roadster ancestry, but their Japanese counterparts favored the more common front-engine, front-wheel-drive layout or the rear mid-engine, rear-wheel-drive layout.[10]",,,Red Dot Best of the Best Award: Product Design 2017.[43],"The NB model of the MX-5 featured a slight increase in engine power, a refined i","The NB model of the MX-5 featured a slight increase in engine power, a refined interior design and the option of a six-speed manual transmission.",,
,,,"By 1989, with a definitive model name now chosen, the MX-5 was ready to be introduced to the world as a true lightweight sports car, weighing just 940 kg (2,070 lb).","^ Torchinsky, Jason (2014-09-04). ""The Miata Could Have Been Mid-Engined Or Even FWD"". Jalopnik. US. Retrieved 2017-05-14.",,,"^ ""Red Dot Award: Product Design - Mazda MX-5 RF"". Red Dot. Retrieved 2018-05-28.","Product Changes and Options Availability: Following publication of this website,","Product Changes and Options Availability: Following publication of this website, certain changes in standard equipment, options, prices and the like, or product delays may have Compare all 2020 MAZDA MX-5 Miata trims in one place.",,
,,,"Although Mazda's concept was for the MX-5 to be an inexpensive sports car, at introduction the design met strong demand, with many dealers placing customers on pre-order lists and several dealers across North America increasing the vehicle markup.[citation needed]",,,,"^ Blackley, Julie. ""Cars Original Owners Keep for 15 Years or Longer"". iSeeCars. US. Retrieved 2019-02-14.",Convenience and Equipment Mazda MX-5 / Overview / Convenience and Equipment The,"Convenience and Equipment Mazda MX-5 / Overview / Convenience and Equipment The new Mazda MX-5 facelift has enhanced small-item storage, and new features and equipment that make the car easy to use.",,
,,,"The fact is that if you want a sports car, the MX-5 is perfect. Nothing on the road will give you better value. Nothing will give you so much fun. The only reason I'm giving it five stars is because I can't give it fourteen.[27]",,,,,Pricing and Which One to Buy The price of the 2020 Mazda MX-5 Miata starts at $2,"Pricing and Which One to Buy The price of the 2020 Mazda MX-5 Miata starts at $27,525 and goes up to $35,570 depending on the trim and options.",,
,,,Edmunds.com 2019 Editor's Choice Awards: Best Sports Car.[48],,,,,Latest technology in the 2020 Mazda MX-5 Miata: Compare all specifications and c,"Latest technology in the 2020 Mazda MX-5 Miata: Compare all specifications and configurations of the 2020 Mazda MX-5 Miata, special features and options, and check out specs and trims on CarBuzz 2020 Mazda MX-5 Miata Configurations Select up to 3 trims below to compare some key specs and options for the 2020 Mazda MX-5 Miata.",,
,,,Car and Driver 2024 Editor's Choice: Affordable Sports Car.[49],,,,,,,,
,,,iSeeCars named the Mazda MX-5 Miata as the top sports car that US owners keep the longest.[50],,,,,,,,
,,,Motorsport[edit],,,,,,,,
,,,"Simpson Design, US-based custom coachbuilder producing bodies and interior for the Miata MX-5",,,,,,,,
,,,"^ Alexander Stoklosa (2019-02-08). ""A Quick History of Mazda's MX-5 Miata Sports Car, from 1989 to Now"". Car and Driver. Retrieved 2021-12-22.",,,,,,,,
,,,"^ Clarkson, Jeremy (2009-08-16). ""Mazda MX-5 2.0i Sport Tech"". Retrieved 2014-12-27.",,,,,,,,
,,,"Long, B. MX-5 Miata – The full story of the world's favourite sports car, Veloce Publishing, 2002. ISBN 1-903706-21-1.",,,,,,,,
,,,Authority control databases: National,,,,,,,,
