Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Toyota,Tacoma,Wheelbase,"Layout Front-engine, rear-wheel drive/four-wheel drive",Transmission,"Layout Front-engine, rear-wheel drive/four-wheel drive",Predecessor Toyota Truck (1995),"Initially, the 2.4 L was limited to the 2WD models (both regular and Xtracab), w","Initially, the 2.4 L was limited to the 2WD models (both regular and Xtracab), while the 2.7-liter the standard engine for 4WD models, and the 3.4-liter V6, shared with the larger T100 truck,[7] was an option for the 2WD (Xtracab only) and 4WD (regular and Xtracab).[8] The top-of-the-line SR5 trim was available for the 4WD Xtracab V6.[9] From 1997 on, the 3.4 L V6 was dropped as an option for the regular cab models, which were available only with a 2.4-L or a 2.7-L four-cylinder engine.",,
,,,Cab and trim variants,Engine,speed A340 automatic,"WD: 66.3–67.7 in (1,684–1,720 mm)","(second updated grille, textured tail light lenses)",The TRD Off-Road package was introduced in 1998.,The TRD Off-Road package was introduced in 1998.,,
,,,Models and trims[edit],L 5VZ-FE V6,speed manual,"WD: 3,877 lb (1,759 kg)","(large, centered ""TOYOTA"" on tailgate)",This package added a locking rear differential and was only available to PreRunn,This package added a locking rear differential and was only available to PreRunner and four-wheel drive models that were equipped with the 3.4-L V6.,,
,,,"The Toyota X-Runner was a limited production sport model. Although it utilizes the standard 4.0L and 6-speed manual from other Tacomas, the X-runner uses lowered double-wishbone suspension, Bilstein shocks and frame x-bracing.",Three engines were available for the Tacoma:,speed automatic,Engine Model Type Power Torque 2WD 4WD Consumption[6],Toyota Tacoma (1st generation) exterior color availability[29],Antilock brakes were made standard across the Tacoma line for the 2003 model yea,"Antilock brakes were made standard across the Tacoma line for the 2003 model year.[7] Updates[edit] The first-generation Tacoma underwent its first minor update in October 1996, switching from recessed sealed beam headlamps to a flush design on 2WD models.",,
,,,Toyota Tacoma TRD Sport Access Cab (pre-facelift),Engine Model Type Power Torque 2WD 4WD Consumption[6],Engine Type Maximum Transmission Fuel consumption (EPA)[38],"^ EPA Highway cycle, 4WD",Production Colors Model years,"Along with the four-wheel drive model, it was also available with the TRD Off-Ro","Along with the four-wheel drive model, it was also available with the TRD Off-Road Package that included a locking rear differential, also introduced in 1998.",,
,,,"Based on the SAE J2807 tow guidelines the Tacoma can tow up to 6,800 lb (3,100 kg) with the added tow package.[64]",PS; 106 kW 160 lb⋅ft,^ 2WD with 5M transmission,–1997 Tacoma 4WD,Black Metallic (204),"Many customers were upset with small crew cab beds, but most competitors shared","Many customers were upset with small crew cab beds, but most competitors shared this shortcoming.[19] In October 2000, along with the front facelift, Toyota also unveiled the S-Runner trim package for the 2WD Xtracab that was available exclusively with the 3.4-liter V6 engine coupled to a five-speed manual transmission.[20] The final drive ratio is 3.15:1.",,
,,,Trims[edit],PS; 112 kW 177 lb⋅ft,^ 4WD with 6M transmission,–2000 Tacoma Xtracab 4WD,Black Sand Pearl (209),"Cab and trim variants Regular Cab, 2WD Xtracab SR5 with TRD off-road package Do","Cab and trim variants Regular Cab, 2WD Xtracab SR5 with TRD off-road package Double Cab SR5 Sales and recalls[edit] Tacoma (1G) US sales[24] MY Units 1995 88,967 1996 141,094 1997 138,558 1998 152,770 1999 155,476 2000 147,295 2001 161,983 2002 151,960 2003 154,154 2004 152,932 In 2008, Toyota proactively announced a 15-year, unlimited-mileage corrosion warranty for 1995–2000 model years due to inadequate rustproofing and frame corrosion issues affecting over 800,000 Tacomas.",,
,,,"The truck is available in 6 trim levels: base SR, mid-level SR5, TRD Off-Road, TRD Sport, Limited, and range-topping TRD Pro.[64]",PS; 142 kW 220 lb⋅ft,"The Toyota X-Runner was a limited production sport model. Although it utilizes the standard 4.0L and 6-speed manual from other Tacomas, the X-runner uses lowered double-wishbone suspension, Bilstein shocks and frame x-bracing.","Regular Cab 4WD & PreRunner: 110.0 in (2,794 mm)",Cardinal Red (3H7),"Updates[edit] The 2006 model Tacoma had only minor changes from the 2005 model,","Updates[edit] The 2006 model Tacoma had only minor changes from the 2005 model, with some options now standard.",,
,,,Toyota Tacoma TRD Sport Double Cab Long Bed (2018 minor update),VZ-FE 3.4 L V6,"speed manual (R156, 2016–2017 2.7 L)","WD: 74.7 in (1,897 mm)",Cobalt Blue Pearl (8K6),"A minor facelift came for 2009, including a slightly revised grille on some mode","A minor facelift came for 2009, including a slightly revised grille on some models, new LED taillamps, and on the X-Runner, TRD off-road and TRD Sport models includes a smoked headlamp trim.",,
,,,Headlights (varies by trim/option) Good/Marginal,L 1GR-FE V6,speed automatic (AC60E/F),"Extended Cab & 4WD Regular: 69.9 in (1,775 mm)",Cool Steel Metallic (926),Auxiliary audio input now comes standard.,Auxiliary audio input now comes standard.,,
,,,"Wheelbase 131.9–145.1 in (3,350–3,686 mm)",hp (161 PS; 119 kW) (2TR-FE),speed manual (RC62F),Toyota Tacoma (N2x0) drivetrain[34][37],Evergreen Pearl (751),The 2013 model year comes with a touch screen audio system and removes the shark,The 2013 model year comes with a touch screen audio system and removes the shark fin antenna and SiriusXM radio capability unless the optional Entune package is installed.,,
,,,"The TRD Pro trim level includes IsoDynamic seats for the driver and front passenger which control motion through a series of four adjustable shock absorbers,[87] Fox Factory racing shocks,[88] and is 1",hp (239 PS; 176 kW) (1GR-FE),Engine Type Maximum Transmission Fuel consumption (EPA)[72],^ 4WD with 6M transmission,Horizon Blue Metallic (8N1),"The X-Runner features the 1GR-FE paired to a six-speed manual transmission, 18 i","The X-Runner features the 1GR-FE paired to a six-speed manual transmission, 18 in (457 mm) alloy wheels, is lowered two inches from the factory and included an X-Brace suspension package.",,
,,,Trim,model year Tacoma double cab long bed V6 (US),^ 2WD with 6A transmission,Toyota Tacoma (N300) drivetrain[64],Impulse Red Pearl (3P1),Toyota also included a Down-Hill Assist Control (DAC) and Hill-Start Assist Cont,"Toyota also included a Down-Hill Assist Control (DAC) and Hill-Start Assist Control (HAC), with models that were equipped with the optional TRD Off-Road package.",,
,,,Base,Engine Type Maximum Transmission Fuel consumption (EPA)[38],speed manual (RC60F),Toyota Tacoma SR5 4WD Access Cab (pre-facelift),Lavender Steel Metallic (926),"A rear locking differential, or limited-slip differential were also some optiona","A rear locking differential, or limited-slip differential were also some optional features.",,
,,,TRD Sport No Opt.[a] Yes Opt.,L 2TR-FE I4 164 hp (166 PS; 122 kW) @ 5200 183 lb⋅ft (248 N⋅m) @ 3800 20 mpg‑US (11.8 L/100 km; 24.0 mpg‑imp) 27 mpg‑US (8.7 L/100 km; 32.4 mpg‑imp)[a],speed automatic (AL80E/F),Hybrid drivetrain Parallel (i-Force Max),Lunar Mist Metallic (1C8),Every Tacoma was manufactured with a composite inner bed that includes a deck ra,"Every Tacoma was manufactured with a composite inner bed that includes a deck rail system with four tie down cleats, hook-pins, and storage boxes.",,
,,,Limited No No Yes Opt.,,,,Mystic Gold Metallic (4P7),TRD package equipped Tacomas also feature an in-bed 115 V/400 W AC power outlet.,TRD package equipped Tacomas also feature an in-bed 115 V/400 W AC power outlet.,,
,,,"In 2024, for 2025 model year, a new ""Mudbath"" color was available only for the TRD Pro trim.[95]",,,,Natural White (056),TRD packages[edit] The second generation Tacoma was offered in two TRD packages,TRD packages[edit] The second generation Tacoma was offered in two TRD packages: Sport and Off-Road.,,
,,,Headlights (varies by trim/option) Acceptable,,,,Paradise Blue Metallic (754),A TRD supercharger for the 1GR-FE was a dealer-installed option.,A TRD supercharger for the 1GR-FE was a dealer-installed option.,,
,,,"In 2001, Toyota introduced a TRD sport package on the Tundra full-size pickup. This package was introduced in 2005 for the Tacoma at the same time as the release of the newly redesigned Tacoma.[98]",,,,Pewter Pearl (196),"TRD also sold seat covers for these Tacomas, but these only fit the 2005–08 mode","TRD also sold seat covers for these Tacomas, but these only fit the 2005–08 models (09-15 have airbags in the seats, 2005–08 do not).[39] The TRD Sport package sold in two levels.",,
,,,Motorsport[edit],,,,Radiant Red (3L5),"The second level also added a towing package (oil and transmission coolers, fan","The second level also added a towing package (oil and transmission coolers, fan clutch) and heavy-duty high output alternator and battery.",,
