Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Alfa Romeo,Stelvio,"Wheelbase 2,818 mm (110.9 in)","Layout Front-engine, all-wheel-drive/rear-wheel-drive (2.0 Turbo Petrol)[3]",Transmission,"Kerb weight 1,831 kg (4,037 lb) 2.0 AWD[4]","The Stelvio uses FCA's Giorgio platform, shared with the D-segment Giulia saloon.[12] The name Stelvio derives from the Stelvio Pass,[1] Italy's highest mountain pass, noted for its 48 circuitous switchbacks.[13]","The organisation said the Stelvio's autonomous emergency braking system ""perform","The organisation said the Stelvio's autonomous emergency braking system ""performed well"" in their tests but found operating the driver-set speed limiter to be ""too complicated"".[2] The Stelvio is also fitted with an autonomous emergency braking system (AEB) as standard.[30] History and development[edit] Preceded by Alfa Romeo's first off-roader, the Matta, in the 1950s[31] and the Kamal concept car in March 2003, the Stelvio is Alfa Romeo's first production SUV.[14] The high-performance trim",,
,,,"L 90° V6 24v Twin turbo 690T MT6 2,891 cc (176.4 cu in)[25] 520 PS (513 hp; 382 kW) n/a n/a n/a n/a n/a limited Racing edition",Engine,speed automatic (ZF 8HP50),"AT8 eight speed automatic transmission, Q4 all wheel drive.","In April 2018, NYIAS unveiled a Nero Edizione Package for the Stelvio. This edition grants a new exterior appearance through special blacked-out wheels, badging, and other touches. The Nero Edizione package is available only for the 280 horsepower, 2.0-litre model.[36]","On November 2, 2017, the Stelvio Quadrifoglio went on sale in Italy.[32] For th","On November 2, 2017, the Stelvio Quadrifoglio went on sale in Italy.[32] For the 2019 model year, diesel engines of the Stelvio were updated to meet the Euro 6d emissions standards, with AdBlue technology introduced to tackle particulates in the exhaust.",,
,,,Quadrifoglio Super Sport (175 units worldwide),L TBI-M T4 Multiair turbo I4 petrol,"speed automatic (ZF 8HP75, Quadrifoglio)","^ Sutton, Mike (December 20, 2017). ""Tested: 2018 Alfa Romeo Stelvio 2.0T AWD"". Car and Driver.",,"Equipment is upgraded to include adaptive cruise control, and a premium sound sy","Equipment is upgraded to include adaptive cruise control, and a premium sound system.[35] Nero Edizione[edit] In April 2018, NYIAS unveiled a Nero Edizione Package for the Stelvio.",,
,,,Readers' Choice Awards by the Auto motor und sport [47],L 690T twin turbo V6 petrol,Engine/Transmission Displacement Max. power output,,,"The Nero Edizione package is available only for the 280 horsepower, 2.0-litre mo","The Nero Edizione package is available only for the 280 horsepower, 2.0-litre model.[36] Quadrifoglio Racing Edition[edit] At the 2019 Geneva International Motor Show, Alfa Romeo Racing limited edition was introduced, which celebrates Alfa Romeo's legendary racing history and the entry of a new Italian driver onto the Formula 1 scene: Antonio Giovinazzi joins the ""Alfa Romeo Racing"" team with World Champion Kimi Räikkönen.",,
,,,"^ Fiat Chrysler Automobiles EMEA Press: Double victory for Alfa Romeo in the readers' choice awards held by the magazine auto, motor und sport - Press Releases - Fiat Chrysler Automobiles EMEA Press Archived 2019-02-03 at the Wayback Machine, access-date: 3. February 2019",L JTDm Multijet II TD I4 diesel,(CE) Top speed 0–100 km/h (0–62 mph) Combined consumption,,,"Carbon-fibre parts, an Akrapovič titanium exhaust system,[37] and other tweaks s","Carbon-fibre parts, an Akrapovič titanium exhaust system,[37] and other tweaks shave off about 28 kg (62 lb) from the standard Quadrifoglio version.",,
,,,"^ Sports SUV: What Car? Car of the Year Awards 2019 | Sports SUV Archived 2019-02-14 at the Wayback Machine, access-date: 13. February 2019",L V6 Quadrifoglio Twin Turbo engine,"AT8 eight speed automatic transmission, Q4 all wheel drive.",,,"Steering-column-mounted, aluminium paddle shifters also feature as standard.","Steering-column-mounted, aluminium paddle shifters also feature as standard.",,
,,,,Engines and performance[edit],Engine and transmission Displacement Max. power Peak torque Top speed 0–60 mph (0–97 km/h) EPA fuel economy,,,,,,
,,,,Engine/Transmission Displacement Max. power output,"^ Florea, Ciprian (28 June 2016). ""2018 Alfa Romeo Stelvio"". Top Speed. Archived from the original on 26 May 2016. Retrieved 9 August 2016.",,,,,,
,,,,Petrol engine range,"^ Fira, Michael (March 1, 2019). ""2019 Alfa Romeo Stelvio Ti Euro Spec"". TopSpeed.",,,,,,
,,,,"L I4 GME T4 MultiAir Turbo AT8 Q4 1,995 cc (121.7 cu in) 200 PS (197 hp; 147 kW) 330 N⋅m (243 lb⋅ft) at 1750 rpm 215 km/h (134 mph) 7.2 s 7.0 L/100 km (40 mpg‑imp; 34 mpg‑US) 161",,,,,,,
,,,,"L I4 GME T4 MultiAir Turbo AT8 Q4 1,995 cc (121.7 cu in) 250 PS (247 hp; 184 kW) n/a n/a n/a n/a n/a 2020+ engine option, detuned to avoid Italian ""superbollo"" tax[22]",,,,,,,
,,,,"L I4 GME T4 MultiAir Turbo AT8 Q4[23] 1,995 cc (121.7 cu in) 280 PS (276 hp; 206 kW) at 5250 rpm[24] 400 N⋅m (295 lb⋅ft) at 2,250–4,500 rpm 230 km/h (143 mph) 5.7 s 7.0 L/100 km (40 mpg‑imp; 34 mpg‑US) 161",,,,,,,
,,,,"L 90° V6 24v Twin turbo 690T AT8 Q4 2,891 cc (176.4 cu in) 510 PS (503 hp; 375 kW) at 6,500 rpm 600 N⋅m (443 lb⋅ft) at 2,500–5,500 rpm 283 km/h (176 mph) 3.8 s",,,,,,,
,,,,"L 90° V6 24v Twin turbo 690T MT6 2,891 cc (176.4 cu in)[25] 520 PS (513 hp; 382 kW) n/a n/a n/a n/a n/a limited Racing edition",,,,,,,
,,,,Diesel engine range,,,,,,,
