Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Honda,HR-V,Hybrid drivetrain Sport Hybrid i-MMD (e:HEV),RV3RV4RV5RV6RS1 (electric),Transmission,Hybrid drivetrain Sport Hybrid i-MMD (e:HEV),"The third-generation Honda HR-V is a subcompact crossover SUV (B-segment) manufactured by Honda since 2021, replacing the second-generation HR-V, and is split into two different models for different markets.","The former was available on the EX and EXL trim levels, while the latter was ava","The former was available on the EX and EXL trim levels, while the latter was available on the Advance and Touring trim levels, Honda Sensing is standard across all trim levels.",HR-V Sport Continuously variable transmission (CVT) with paddle shifters 7-inch Display Au,HR-V Sport Continuously variable transmission (CVT) with paddle shifters 7-inch Display Audio with high-resolution WVGA (800x480) electrostatic touch-screen and customizable feature settings 2021 HR-V SPECIFICATIONS & FEATURES [1] 141 @ 6500 rpm (SAE net) [2] 127 lb-ft @ 4300 rpm (SAE net) [3] ULEV-2 (Ultra-Low-Emission Vehicle) models as certified by the California Air Resources Board (CARB).
,,,"Wheelbase 2,610 mm (102.8 in)","Honda e:NS1/e:NP1 (China, electric, 2022–2025)[4][5]",e-CVT i-MMD (e:HEV),"The facelifted HR-V debuted in Japan in April 2024. The e:HEV X variant became available with the HuNT package and the e:HEV PLay variant became the PLaY package, with all-wheel drive and a panoramic glass roof were included as options.[25]",Predecessor Honda HR-V (second generation),Two powertrain options were available: a 1.5-litre petrol (only for the G trim),"Two powertrain options were available: a 1.5-litre petrol (only for the G trim) and a 1.5 e:HEV petrol hybrid (for all trim levels except the G trim); the all-wheel drive option was available for all trims, except on the PLaY trim.[24] The facelifted HR-V debuted in Japan in April 2024.","The HR-V truly stands out, featuring fresh exterior styling and available all-wheel-drive","The HR-V truly stands out, featuring fresh exterior styling and available all-wheel-drive capabilities."
,,,"The third-generation HR-V was launched in Jamaica on 10 June 2022, alongside the BR-V. It was offered with either a 1.5-litre petrol or a 1.5-litre hybrid (e:HEV), the former is available on the LX and EX trim levels while the latter was exclusive on the EX-L trim.[21]","Honda e:Ny1 (Europe, electric)[6]","The third-generation HR-V was launched in Brunei on late June 2022, which was imported from Thailand. In Brunei, it was only available with the EX variant, powered by the 1.5-litre petrol engine paired with a CVT, and Honda Sensing was standard.[citation needed]",,"The third-generation HR-V was launched in Jamaica on 10 June 2022, alongside the BR-V. It was offered with either a 1.5-litre petrol or a 1.5-litre hybrid (e:HEV), the former is available on the LX and EX trim levels while the latter was exclusive on the EX-L trim.[21]",Honda Sensing was standard for the LX and EX trims.[31] The facelift HR-V was l,Honda Sensing was standard for the LX and EX trims.[31] The facelift HR-V was launched on 16 June 2025.[citation needed] Oceania[edit] Australia[edit] The third-generation HR-V was launched in Australia on 12 May 2022.,,
,,,"The HR-V was launched in Taiwan on 9 June 2022, with two variants: S+ Sport and Prestige, both variants are powered by the 1.5-litre petrol engine.[26]","Honda e:N1 (Thailand, Hong Kong, Macau and Malaysia, electric)",,,"The HR-V was launched in Taiwan on 9 June 2022, with two variants: S+ Sport and Prestige, both variants are powered by the 1.5-litre petrol engine.[26]",Honda Sensing was standard on all trims.,Honda Sensing was standard on all trims.,,
,,,"The third-generation HR-V was launched in New Zealand on 20 August 2024, in the sole e:HEV Sport variant, powered by the 1.5-litre petrol hybrid (e:HEV).[35]","Front-engine, front-wheel-drive",,,"The third-generation HR-V was launched in New Zealand on 20 August 2024, in the sole e:HEV Sport variant, powered by the 1.5-litre petrol hybrid (e:HEV).[35]","In Brunei, it was only available with the EX variant, powered by the 1.5-litre p","In Brunei, it was only available with the EX variant, powered by the 1.5-litre petrol engine paired with a CVT, and Honda Sensing was standard.[citation needed] Indonesia[edit] The third-generation HR-V was launched in Indonesia on 23 March 2022.",,
,,,"The third-generation HR-V was launched in Singapore on 21 January 2022, with two trim levels: DX and HX. Two powertrain options are available: a 1.5-litre petrol for the DX and a 1.5-litre petrol hybrid (e:HEV) for the HX.[52]","Front-engine, all-wheel-drive",,,"The third-generation HR-V was launched in Brunei on late June 2022, which was imported from Thailand. In Brunei, it was only available with the EX variant, powered by the 1.5-litre petrol engine paired with a CVT, and Honda Sensing was standard.[citation needed]",Honda Sensing is standard across all trims.[41] The facelifted HR-V was launche,"Honda Sensing is standard across all trims.[41] The facelifted HR-V was launched in Indonesia on 10 June 2025, with the 1.5-litre petrol for the E and E+ trim levels, and the 1.5-litre petrol hybrid (e:HEV) for the Standard, Modulo and RS trim levels.",,
,,,"The third-generation HR-V was launched in Thailand on 5 November 2021, with three trim levels: E, EL and RS; Honda Sensing was standard on all trim levels. Assembled locally, it was only available with the 1.5-litre petrol hybrid (e:HEV).[54]",Engine,,,"The facelifted HR-V went on sale in the Philippines on 1 March 2025 with three variants available: S, V and RS e:HEV. For the facelift model, the S and V variants powered by the 1.5-litre petrol, while the RS variant powered by the 1.5-litre petrol hybrid (e:HEV).[51]","The standard 1.5-litre engine is offered on the S trim, the turbocharged engine","The standard 1.5-litre engine is offered on the S trim, the turbocharged engine were offered on both E and V trim levels, and the e:HEV variant was offered on the RS trim.",,
,,,"Interior (HR-V Sport, US)",L L15C1 VTEC turbo I4,,,"The facelifted HR-V was launched in Vietnam on 4 April 2025 with three variants: G, L and RS e:HEV. For the facelift model, the G and L variants powered by the 1.5-litre petrol, while the RS variant powered by the 1.5-litre petrol hybrid (e:HEV).[60]",Honda Sensing was standard on all variants.[49][50] The facelifted HR-V went on,"Honda Sensing was standard on all variants.[49][50] The facelifted HR-V went on sale in the Philippines on 1 March 2025 with three variants available: S, V and RS e:HEV.",,
,,,"^ Paixão, André (1 July 2022). ""Novo Honda HR-V 2023: veja versões, equipamentos e consumo"" [New Honda HR-V 2023: see versions, equipment and consumption]. Autoesporte (in Brazilian Portuguese). Retrieved 14 July 2022.",L Honda K engine I4 (US),,,"^ ""Here Are The Colors, Variants, Prices Of The 2025 Honda HR-V"". CarGuide.PH | Philippine Car News, Car Reviews, Car Prices. 1 March 2025. Retrieved 2 March 2025.",Two powertrain options are available: a 1.5-litre petrol for the DX and a 1.5-li,"Two powertrain options are available: a 1.5-litre petrol for the DX and a 1.5-litre petrol hybrid (e:HEV) for the HX.[52] The facelifted HR-V debuted in Singapore on 27 July 2024, with the same variants from the pre-facelift model.[53] Thailand[edit] The third-generation HR-V was launched in Thailand on 5 November 2021, with three trim levels: E, EL and RS; Honda Sensing was standard on all trim levels.",,
,,,"^ Stopford, William (10 September 2024). ""2025 Honda HR-V price and specs: New hybrid trim joins refreshed range"". CarExpert. Retrieved 11 September 2024.",Electric motor,,,"^ Nguyễn, Khôi (2 December 2022). ""Honda HR-V G 2023 nhận đặt hàng tại Việt Nam: Bớt nhiều trang bị lấy giá rẻ, cạnh tranh Creta"" [Honda HR-V G 2023 accepts orders in Vietnam: Reduced many features for a cheap price, competing with Creta]. AutoPro (in Vietnamese).",Honda Sensing is standard across all trims.[58][59] The facelifted HR-V was lau,"Honda Sensing is standard across all trims.[58][59] The facelifted HR-V was launched in Vietnam on 4 April 2025 with three variants: G, L and RS e:HEV.",,
