Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Volvo,V90CC,"Wheelbase 2,941 mm (115.8 in)","Front-engine, front-wheel drive or four-wheel drive",Transmission,"Front-engine, front-wheel drive or four-wheel drive",Predecessor Volvo V70 / V70 XC / XC70 III,Latest technology in the 2021 Volvo V90: Compare all specifications and configur,"Latest technology in the 2021 Volvo V90: Compare all specifications and configurations of the 2021 Volvo V90, special features and options, and check out specs and trims on CarBuzz 2021 Volvo V90 Specs, Features & Options Here's everything you need to know about each trim in the 2021 Volvo V90 lineup.",,
,,,"The V90 is offered with various trim levels. In the United States the V90 was only available by special order, with dealers focusing on the V90 Cross Country.[9]",Engine,speed Aisin TG-81SC automatic[3],Hybrid drivetrain Plug-in hybrid,"The Volvo V90 is a mid-size luxury wagon manufactured and marketed by Swedish automaker Volvo Cars from 2016 to 2025.[6] Two months after the introduction of the sedan model, the Volvo S90, the V90 was revealed at the Geneva Motor Show in March 2016.[7][8]","See detailed specs, features, packages and dimensions by trim level for the 2021","See detailed specs, features, packages and dimensions by trim level for the 2021 Volvo V90 Cross Country.",,
,,,"^ Miller, Caleb (10 July 2021). ""Volvo Discontinues V90 and Base V60 Wagons for 2022"". Car and Driver. Retrieved 29 March 2022.",(140kW–235kW),speed M66F manual,"Previewed before the 2016 Paris motor show, the V90 Cross Country is a raised height, AWD version of the V90 designed for use on rough terrain, unsealed roads and for light off-road usage.[12]","The V90 is offered with various trim levels. In the United States the V90 was only available by special order, with dealers focusing on the V90 Cross Country.[9]",2021 Volvo V90 Configurations Select up to 3 trims below to compare some key spe,2021 Volvo V90 Configurations Select up to 3 trims below to compare some key specs and options for the 2021 Volvo V90.,,
,,,"^ Alrik Söderlind (11 January 2016). ""Så mycket kostar nya Volvo S90!"" [How much the new S90 costs!]. Auto, Motor und Sport Sweden (in Swedish). Archived from the original on 2018-02-19. Retrieved 2016-02-16.",Diesel:,"^ ""2017 Volvo V90 - Betriebsanleitung"" [2017 Volvo V90 - owner's manual] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. April 2016. p. 600. Archived (PDF) from the original on 2016-09-15. Retrieved 2016-07-11.",T5 AWD[nb 3],"^ Frederik Wallin (10 June 2015). ""Här är första bilderna på nya Volvobilen"" [Here are the first pictures of the new Volvo model]. www.aftonbladet.se (in Swedish). Aftonbladet AB. Retrieved 2018-06-24.",The 2021 Volvo V90 is Wagon that comes in 4 trim levels (also referred to as pac,"The 2021 Volvo V90 is Wagon that comes in 4 trim levels (also referred to as packages): T5 Inscription 4dr Wagon, T5 R-Design 4dr Wagon, AWD T6 Inscription 4dr Wagon, AWD T6 R-Design 4dr Wagon.",,
,,,,(110kW–173kW),"a b ""S90 Twin Engine Betriebsanleitung"" [S90 Twin Engine owner's manual] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. 2017. pp. 630, 641. Archived (PDF) from the original on 2017-09-25. Retrieved 2017-09-25.",T5 AWD[nb 4],,,,,
,,,,Hybrid:,"^ ""Volvo S90 (2016) 2.0 T8 (407 Hp) AWD Automatic Hybrid"". Retrieved 2016-09-27.","T6 AWD[5] B4204T27 2016–2025 320 PS (235 kW; 316 hp) at 5700 400 N⋅m (295 lb⋅ft) at 2200–5400 1,969 cc (120.2 in3)",,,,,
,,,,(234kW–235kW + 64kW),"^ ""Volvo S90 Betriebsanleitung MY17"" [Volvo S90 owner's manual MY17] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. 2016. p. 589. Archived from the original (PDF) on 2017-07-09. Retrieved 2017-10-07.","D3 AWD[nb 5] D4204T4[26] 2016–2025 150 PS (110 kW; 148 hp) at 4250 350 N⋅m (258 lb⋅ft) at 1500–2500 1,969 cc (120.2 in3) Inline 4 with turbocharger",,,,,
,,,,Electric motor 64 kW (87 PS) permanent magnet synchronous motors (T8 Twin Engine),,D4 AWD,,,,,
,,,,Hybrid drivetrain Plug-in hybrid,,"D5 AWD[5] D4204T23 2016–2025 235 PS (173 kW; 232 hp) at 4000 480 N⋅m (354 lb⋅ft) at 1750–2500 1,969 cc (120.2 in3) Inline 4 with two turbochargers",,,,,
,,,,Mild hybrid,,T8 AWD,,,,,
,,,,kWh lithium-ion battery,,T8 AWD[5],,,,,
,,,,kWh[4] lithium-ion battery,,"^ ""Volvo S90 (2016) 2.0 T8 (407 Hp) AWD Automatic Hybrid"". Retrieved 2016-09-27.",,,,,
,,,,Electric range 45 km (28 mi) (NEDC)[5],,,,,,,
,,,,"In 2025, the V90 was discontinued globally as Volvo shifts its focus to electric vehicles and SUVs. The very last V90 was built in October 2025, marking the end of an era for Volvo's station wagons after over six decades of production.[11]",,,,,,,
,,,,Engines[edit],,,,,,,
