Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Cadillac,CT5,"Wheelbase 116.0 in (2,946 mm)",FMR layout (V-Blackwing),Transmission,"Curb weight 3,660 lb (1,660 kg) (Luxury RWD)",FMR layout (V-Blackwing),The CT5 is also offered with an optional 3.0-liter LGY twin turbocharged V6 whic,The CT5 is also offered with an optional 3.0-liter LGY twin turbocharged V6 which produces 335 hp (250 kW; 340 PS) and 405 lb⋅ft (549 N⋅m; 56 kg⋅m) of torque in the standard CT5 or 360 hp (268 kW; 365 PS) at 5400 rpm and 405 lb⋅ft (549 N⋅m; 56 kg⋅m) of torque at 2350-4000 rpm in the CT5-V.[11] The only transmission offered is a 10-speed automatic.,,
,,,"The CT5 debuted at the 2019 New York Auto Show.[9][10] Unlike its predecessor, the CTS, and the flagship CT6, the CT5's features a more fastback body style. The CT5 went on sale in the fall of 2019 and is available in four trim levels (Luxury, Premium Luxury, Sport, and V).",Engine,speed TR-6060 manual (CT5-V Blackwing only),,L LT4 supercharged V8 (Blackwing)[4],"In 2021, Cadillac began offering their semi-autonomous driving system, Super Cru","In 2021, Cadillac began offering their semi-autonomous driving system, Super Cruise, as an optional feature.",,
,,,"^ ""2022 Cadillac CT5-V Blackwing | Sport Sedan | Model Overview"".",L LSY turbo I4,speed Hydra-Matic 10L90 automatic[5],,speed TR-6060 manual (CT5-V Blackwing only),"The Super Cruise package costs additional $2,500, and is the second generation o","The Super Cruise package costs additional $2,500, and is the second generation of Super Cruise technology, adding lane change on demand.",,
,,,"^ ""Cadillac CT5 China auto sales figures"". carsalesbase.com. December 18, 2019. Retrieved January 19, 2022.",L LGY twin-turbo V6,"a b c d Vanderwerp, Dave (February 2, 2021). ""2022 Cadillac CT5-V Blackwing Gets a Glorious 668-HP V-8 and a Manual"". Car and Driver. Hearst Communications. Retrieved August 21, 2021.",,"V-Blackwing: 195 in (4,953 mm)[6]",The optional carbon-ceramic system (which is copper-free) is around 64 pounds (2,The optional carbon-ceramic system (which is copper-free) is around 64 pounds (29 kg) lighter than the standard cast-iron system.,,
,,,,L LT4 supercharged V8 (Blackwing)[4],,,"V-Blackwing: 56.6 in (1,438 mm)",This is the first time Cadillac has offered a carbon-ceramic brake package.[17][,"This is the first time Cadillac has offered a carbon-ceramic brake package.[17][21] Awards[edit] The CT5-V Blackwing was named in Car and Driver's 10 Best List in 2022-2026.[22] Sales[edit] Calendar year United States Canada[23] China[24] 2019 43[25] 6,191 2020 14,711[26] 852 45,026 2021 9,446[27] 925 62,098 2022 15,896[28] 1,038 65,480 2023 18,593[29] 1,038 82,356[30] 2024 14,861[31] 926 61,126[32] 2025 16,561[33] 957[34] 40,481[35] See also[edit] Cadillac CT4 References[edit] ^ ""BEHIND THE",,
,,,,speed TR-6060 manual (CT5-V Blackwing only),,,Predecessor,"^ ""LEAKED: 2022 Cadillac CT4-V and CT5-V Blackwing Options Revealed in Full"".","^ ""LEAKED: 2022 Cadillac CT4-V and CT5-V Blackwing Options Revealed in Full"".",,
,,,,"V-Blackwing: 195 in (4,953 mm)[6]",,,The Cadillac CT5 is a mid-size luxury car manufactured and marketed by General Motors under the Cadillac brand since 2019. It is the replacement for the Cadillac CTS.[7][8],,,,
,,,,"V-Blackwing: 56.6 in (1,438 mm)",,,"The CT5 debuted at the 2019 New York Auto Show.[9][10] Unlike its predecessor, the CTS, and the flagship CT6, the CT5's features a more fastback body style. The CT5 went on sale in the fall of 2019 and is available in four trim levels (Luxury, Premium Luxury, Sport, and V).",,,,
,,,,CT5-V Blackwing[edit],,,CT5-V Blackwing[edit],,,,
,,,,Cadillac CT5-V Blackwing,,,Cadillac CT5-V Blackwing,,,,
