Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Hyundai,Ioniq,"Wheelbase 2,700 mm (106.3 in)[3]","Malaysia: Kulim, Kedah (Hyundai-Sime Darby Motors, hybrid only)",Transmission 6-speed DCT,Hybrid drivetrain Parallel,"The Ioniq is Hyundai's first automobile built from the ground up and specifically available as a hybrid or electric powered. It is related to the Kia Niro crossover utility vehicle and Hyundai Elantra, with which it shares a wheelbase and suspension components.[17]","The hybrid version competes with, and surpasses in fuel economy, the previous mi","The hybrid version competes with, and surpasses in fuel economy, the previous mileage leader in the Toyota Prius.[14] Hyundai expects the model with 15-inch wheels to obtain an EPA rated combined fuel economy between 57 mpg‑US (4.1 L/100 km; 68 mpg‑imp) and 58 mpg‑US (4.1 L/100 km; 70 mpg‑imp), just ahead of the 2016 Toyota Prius at 56 mpg‑US (4.2 L/100 km; 67 mpg‑imp).[23] The Ioniq is also available with a 17-inch alloy rim option.","Featuring three trim levels, drivers can choose between the muscular 225 horsepower rear-w","Featuring three trim levels, drivers can choose between the muscular 225 horsepower rear-wheel drive or go big with an all-wheel dual motor set up offering a whopping 320 horses under the hood; this one comes coupled with 446 pound-feet of torque so you have plenty of grip to ..."
,,,"The Ioniq is Hyundai's first automobile built from the ground up and specifically available as a hybrid or electric powered. It is related to the Kia Niro crossover utility vehicle and Hyundai Elantra, with which it shares a wheelbase and suspension components.[17]","Ethiopia: Addis Ababa (Marathon Motors, electric only)[2]",Transmission 1-speed automatic,Drivetrain[edit],"^ Kuhudzai, Remeredzai Joseph (27 July 2020). ""1st Ethiopian-Assembled All-Electric Hyundai Ioniq Rolls Out Of Haile Gebrselassie's Marathon Motor Engineering Plant"". Archived from the original on 17 April 2022.",See what each 2022 Hyundai IONIQ 5 trim includes.,See what each 2022 Hyundai IONIQ 5 trim includes.,,
,,,,"Layout Front-engine or motor, front-wheel-drive",x2 electric automatic,Drivetrain and chassis[edit],,"Compare infotainment, safety, comfort features, MPG, and optional upgrades acros","Compare infotainment, safety, comfort features, MPG, and optional upgrades across the full model lineup.",,
,,,,Successor Hyundai Elantra Hybrid (CN7)[4] (South Korea and North America),"^ ""2019 Hyundai IONIQ (facelift 2019) 1.6 GDI (141 Hp) Plug-in Hybrid DCT"". Auto Data. n.d. Archived from the original on 14 October 2019.",x2 electric automatic,,2022 Hyundai Ioniq Configurations Select up to 3 trims below to compare some key,2022 Hyundai Ioniq Configurations Select up to 3 trims below to compare some key specs and options for the 2022 Hyundai Ioniq.,,
,,,,Ioniq Hybrid[edit],,Hybrid drivetrain Plug-in hybrid,,The 2022 Hyundai IONIQ 5 SE Standard Range is the first trim level available.,The 2022 Hyundai IONIQ 5 SE Standard Range is the first trim level available.,,
,,,,Ioniq Hybrid,,,,"For starters, the new Hyundai IONIQ 5 SE Standard Range has a 220-mile All-Elect","For starters, the new Hyundai IONIQ 5 SE Standard Range has a 220-mile All-Electric Range, which comes out to 127 city, 94 highway or 110 combined MPGe.",,
,,,,Engine 1.6 L Kappa II GDI HEV I4,,,,Used Cars for All Budgets · New Inventory Every Day Amenities: Home Delivery Op,"Used Cars for All Budgets · New Inventory Every Day Amenities: Home Delivery Options, Buy Vehicles Online The 2022 Hyundai Ioniq is a compact car known for its fuel efficiency and eco-friendly features.",,
,,,,Electric motor 32 kW (44 PS; 43 hp)[16],,,,"It is available in three different powertrain options: hybrid, plug-in hybrid, a","It is available in three different powertrain options: hybrid, plug-in hybrid, and fully electric.",,
,,,,Power output 77 kW (105 PS; 103 hp) (petrol engine)[16],,,,"The vehicle is available as a hybrid, plug-in hybrid, or fully electric model, p","The vehicle is available as a hybrid, plug-in hybrid, or fully electric model, providing consumers with a range of options to suit their needs.",,
,,,,PS (104 kW; 139 hp) (combined),,,,This manual applies to all models of this vehicle and includes descriptions and,This manual applies to all models of this vehicle and includes descriptions and explanations of optional as well as standard equipment.,,
,,,,Hybrid drivetrain Parallel,,,,2022 Hyundai Ioniq 5 Configurations Select up to 3 trims below to compare some k,2022 Hyundai Ioniq 5 Configurations Select up to 3 trims below to compare some key specs and options for the 2022 Hyundai Ioniq 5.,,
,,,,Battery 1.56 kWh lithium-ion polymer battery[16],,,,Parametric pixel LED headlights and taillights Flush door handles with automatic,"Parametric pixel LED headlights and taillights Flush door handles with automatic extend/retract Blind-Spot Collision-Avoidance Assist Rear Cross-Traffic Collision-Avoidance Assist Bluelink® Connected Car System 12.3˝digital instrument cluster display 12.3˝touchscreen navigation display * Standard Range RWD with 58 kWh battery & 168 hp motor (late availability) IONIQ 5 SELIONIQ 5 Limited While the Hyundai Ioniq hatchback isn't the most interesting car, its hybrid and plug-in-hybrid variants are e",,
,,,,"The Ioniq is Hyundai's first automobile built from the ground up and specifically available as a hybrid or electric powered. It is related to the Kia Niro crossover utility vehicle and Hyundai Elantra, with which it shares a wheelbase and suspension components.[17]",,,,,,,
,,,,L Kappa engine in an Ioniq Hybrid,,,,,,,
,,,,Ioniq Electric[edit],,,,,,,
