Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Land Rover,Discovery Sport,Land Rover Discovery Sport,"Front-engine, front-wheel-drive",Transmission,"a b Bickerstaff, Simon (24 August 2013). ""Land Rover introduces on-demand all-wheel drive"". Automotive Engineer. Archived from the original on 24 September 2014. Retrieved 22 September 2014.",Predecessor Land Rover Freelander,"His predecessor, Upex, was responsible for the Freelander 2 design.[16] The Dis","His predecessor, Upex, was responsible for the Freelander 2 design.[16] The Discovery Sport features a steel monocoque, the bonnet, wings, roof and tailgate are made from aluminium and a panoramic glass sunroof is available either as standard or as an optional extra depending on model variant.[10][14] A powered tailgate can also be specified as an option, featuring remote control operation.[4] In certain markets, the bonnet is fitted with an airbag to improve pedestrian survivability in the ev",,
,,,Jaguar Land Rover Premium Transverse Architecture (2019–present),"Front-engine, all-wheel-drive",–speed Getrag M66EH50 manual,,"Introduced in late 2014,[10] it replaces the Freelander in a revised Land Rover range of vehicles, with Discovery joining Range Rover as a sub-brand.[11][10] Contrary to its predecessor, the slightly larger car is also available in a seven seat layout.",Various emergency spare wheels options are available depending on vehicle config,"Various emergency spare wheels options are available depending on vehicle configuration: a full-size spare wheel mounted internally under the floor of the load area,[14] or if the 5+2 seating option is fitted it a 'space-saver' spare wheel mounted on the underside of the car was to be used.",,
,,,"Wheelbase 2,741 mm (107.9 in)[4]",Engine,Speed Aisin automatic (PHEV),,"The pre-facelift Discovery Sport is based on the JLR D8/LR-MS platform, customised for off-road applications, and is powered by a range of four cylinder petrol and diesel engines.[10][12] It is the first Discovery built with a unibody structure.",The standard system is the Haldex Traction fifth generation system.,The standard system is the Haldex Traction fifth generation system.,,
,,,"The Land Rover Discovery Sport (internal code L550) is a compact luxury crossover SUV[6][7] produced by British automotive company Jaguar Land Rover since 2014. Sold under their Land Rover marque,[8] it has been their best-selling model since 2017.[9]",L Duratorq I4 (t/c diesel),–speed ZF 9-HP automatic,,"The Discovery Sport is manufactured with either a 9–speed ZF 9-HP automatic gearbox or a 6–speed Getrag M66EH50 manual gearbox, both of which are also available on the Range Rover Evoque.[4][11][14][20]","Optional is the new Land Rover Active Driveline system, which is manufactured by","Optional is the new Land Rover Active Driveline system, which is manufactured by GKN Driveline and which has a 75% smaller parasitic load when compared to the Haldex system.",,
,,,"The pre-facelift Discovery Sport is based on the JLR D8/LR-MS platform, customised for off-road applications, and is powered by a range of four cylinder petrol and diesel engines.[10][12] It is the first Discovery built with a unibody structure.",L Ingenium I4 (t/c diesel),"Electric power steering is fitted, with 2.43 turns lock to lock and a turning circle of 11.86 metres (38.9 ft).[14] The electric power steering system allows the Discovery Sport to feature an automatic parking system.[10]",,"The Discovery Sport is manufactured at the Jaguar Land Rover Halewood assembly facility, in Halewood, Liverpool, United Kingdom, alongside the Range Rover Evoque.[14]",Isofix mounting points for child safety seats are fitted as standard.[4] The ce,"Isofix mounting points for child safety seats are fitted as standard.[4] The central console features an 8 in (20 cm) touch screen allowing access to in car entertainment, satellite navigation and vehicle settings.[11][10][14] The system, shared with the Jaguar XE, allows smartphone connectivity and some models allow the owner to control the vehicle remotely, pre-heating the interior or unlocking the car using a smartphone application.",,
,,,"Land Rover described the facelifted Discovery Sport as being based on the JLR PTA platform, a rebrand of the D8. It is also used by the Jaguar E-Pace and L551 version of Range Rover Evoque.",L Ingenium I3 turbo (P300e),Transmission[edit],,,"The exterior received updated front and rear bumpers with a widened track, new f","The exterior received updated front and rear bumpers with a widened track, new front and rear LED lighting, updated grille design, new lower side mouldings and new alloy wheel designs with the option of 21-inch wheels for the first time.",,
,,,Land Rover Discovery Sport SE Tech (rear),Electric motor,"The Discovery Sport is manufactured with either a 9–speed ZF 9-HP automatic gearbox or a 6–speed Getrag M66EH50 manual gearbox, both of which are also available on the Range Rover Evoque.[4][11][14][20]",,,,,,
,,,"In certain markets, the bonnet is fitted with an airbag to improve pedestrian survivability in the event of a collision. The airbag is mounted in a panel at the trailing edge of the bonnet panel and protects a pedestrian's head from striking the base of the windscreen.[14]",V mild-hybrid (Synchronous Reluctance Motor),,,,,,,
,,,"Electric power steering is fitted, with 2.43 turns lock to lock and a turning circle of 11.86 metres (38.9 ft).[14] The electric power steering system allows the Discovery Sport to feature an automatic parking system.[10]",kW Synchronous Reluctance Motor (PHEV),,,,,,,
,,,"The engines in the Discovery Sport are mounted transversely, which creates additional interior space.[11]","The pre-facelift Discovery Sport is based on the JLR D8/LR-MS platform, customised for off-road applications, and is powered by a range of four cylinder petrol and diesel engines.[10][12] It is the first Discovery built with a unibody structure.",,,,,,,
,,,"The Discovery Sport is manufactured with either a 9–speed ZF 9-HP automatic gearbox or a 6–speed Getrag M66EH50 manual gearbox, both of which are also available on the Range Rover Evoque.[4][11][14][20]","Electric power steering is fitted, with 2.43 turns lock to lock and a turning circle of 11.86 metres (38.9 ft).[14] The electric power steering system allows the Discovery Sport to feature an automatic parking system.[10]",,,,,,,
,,,Discovery Sport showing seven seats,Engines[edit],,,,,,,
,,,"The Discovery Sport is manufactured at the Jaguar Land Rover Halewood assembly facility, in Halewood, Liverpool, United Kingdom, alongside the Range Rover Evoque.[14]",Jaguar Land Rover Ingenium engine,,,,,,,
,,,Land Rover Discovery Sport all variants,"The engines in the Discovery Sport are mounted transversely, which creates additional interior space.[11]",,,,,,,
,,,Land Rover Discovery Sport all variants excluding PHEV,Land Rover Discovery Sport 2.2 diesel SE (RHD) (2014)[31],,,,,,,
,,,Land Rover Discovery Sport 2.2 diesel SE (RHD) (2014)[31],,,,,,,,
,,,Land Rover Discovery Sport (2022)[32],,,,,,,,
,,,"^ Siu, Jason (21 January 2015). ""Evoque, Discovery Sport Performance Models Possible » AutoGuide.com News"". Autoguide.com. Retrieved 10 October 2017.",,,,,,,,
,,,"^ ""2019 Harrier Based on Land Rover Discovery is the First Tata You Might Actually Want to Buy | Carscoops"". Carscoops. 13 December 2018.",,,,,,,,
,,,"a b c d e f g h ""Land Rover Discovery Sport"". Land Rover. Archived from the original on 20 April 2016. Retrieved 12 September 2014.",,,,,,,,
