Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Mercedes,CLS-Class,"^ Limited, Listers Group. ""'MERC'S CURVE BALL' - Mercedes-Benz CLS-Class (2005-2010) Range Independent Used Review (Ref:806/208525)"". listers.co.uk. Retrieved 2018-05-31. {{cite web}}: |last= has generic name (help)","Front-engine, rear-wheel-drive","^ ""2015 Mercedes CLS63 AMG Review @ Top Speed"". Top Speed. Retrieved 2018-05-31.",,"^ ""2008 Mercedes-Benz CLS-Class | Pricing, Ratings & Reviews | Kelley Blue Book"". Kbb.com. Retrieved 2018-05-31.",Mercedes-Benz CLS Mercedes-AMG CLS 53 (C257) Overview Manufacturer DaimlerChr,"Mercedes-Benz CLS Mercedes-AMG CLS 53 (C257) Overview Manufacturer DaimlerChrysler (2003–2007) Daimler AG (2007–2022) Mercedes-Benz Group (2022–2023) Production 2003–2023 Body and chassis Class Executive car (E) Body style 4-door sedan 5-door shooting brake (X218) Layout Front-engine, rear-wheel-drive Front-engine, all-wheel-drive (4Matic) The Mercedes-Benz CLS (initially called the CLS-Class) is a series of executive cars produced by Mercedes-Benz from December 2003 to August 2023.",,
,,,"^ ""Mercedes-Benz CLS European sales figures"". carsalesbase.com. Retrieved 2018-05-31.","Front-engine, all-wheel-drive (4Matic)",,,,"^ Limited, Listers Group.","^ Limited, Listers Group.",,
,,,"^ ""Mercedes-Benz CLS US car sales figures"". carsalesbase.com. 2015-11-08. Retrieved 2021-03-28.",,,,,[1] Standard equipment for CLS 63 AMG.,[1] Standard equipment for CLS 63 AMG.,,
,,,,,,,,[2] Standard for all models except for CLS 63 AMG.,[2] Standard for all models except for CLS 63 AMG.,,
,,,,,,,,[4] Standard for the CLS 500 and CLS 63 AMG models.,[4] Standard for the CLS 500 and CLS 63 AMG models.,,
,,,,,,,,"Some of the model features, optional extras and colours shown may not be availab","Some of the model features, optional extras and colours shown may not be available, or may only be available in a different specification, or at a different price.",,
,,,,,,,,"Either way, it's a pretty thorough website, if I'm missing an option code or wan","Either way, it's a pretty thorough website, if I'm missing an option code or want to decode a number, I just open it in a tab and type what I want.",,
,,,,,,,,Latest technology in the 2022 Mercedes-Benz CLS-Class: Compare all specification,"Latest technology in the 2022 Mercedes-Benz CLS-Class: Compare all specifications and configurations of the 2022 Mercedes-Benz CLS-Class, special features and options, and check out specs and ...",,
,,,,,,,,Select up to 3 trims below to compare some key specs and options for the 2022 Me,Select up to 3 trims below to compare some key specs and options for the 2022 Mercedes-Benz CLS-Class.,,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
