Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Volvo,S90,"Wheelbase 2,935–3,060 mm (115.6–120.5 in)","Layout Front-engine, front-wheel drive or all-wheel drive",Transmission,"Layout Front-engine, front-wheel drive or all-wheel drive",Predecessor Volvo S80 II,"In July 2016, an optional, cosmetic R-Design package was announced.","In July 2016, an optional, cosmetic R-Design package was announced.",,
,,,S90 Long Wheelbase[edit],Engine,speed M66 manual,Hybrid drivetrain Plug-in hybrid,The Volvo S90 is an executive sedan manufactured and marketed by Swedish automaker Volvo Cars from 2016.[12] Its estate variant is called the Volvo V90.[13],A long wheelbase version was announced for availability in the United States.[16,"A long wheelbase version was announced for availability in the United States.[16] A mild hybrid version was offered in 2020.[17] In 2023, Volvo removed conventional engines as an option, meaning mild hybrids are the base engine option in the US.[18] In Cambodia, the S90 was previously imported and sold by HGB Auto, primarily in short‑wheelbase form, with only the S90 Inscription available through authorized dealerships.",,
,,,"For the 2017 model year, a long wheelbase version of the S90 was made in China, primarily for that market.[21][22] It is stretched by 12 cm (4.7 in) behind the B pillar.[23] This initial Chinese variant was not badged as ""S90L"".[24][25]",(140kW–235kW),speed M76 manual,T5 AWD[nb 3],Both wheelbases were offered in Europe and the Middle East from the 2018 model year.[26],,,,
,,,"For the 2018 model year onwards, the long wheelbase S90 replaced the standard wheelbase model in the United States.",Diesel:,speed Aisin TG-81SC automatic[9],T5 AWD[nb 4],"^ Fredrik Wallin (10 June 2015). ""Här är första bilderna på nya Volvobilen"". Aftonbladet (in Swedish). Archived from the original on 2015-06-12. Retrieved 2016-02-01.",,,,
,,,Both wheelbases were offered in Europe and the Middle East from the 2018 model year.[26],(140kW–173kW),"^ ""2017 Volvo V90 - Betriebsanleitung"" [2017 Volvo V90 - owner's manual] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. April 2016. p. 600. Archived (PDF) from the original on 2016-09-15. Retrieved 2016-07-11.",T6 AWD[11] B4204T27 320 PS (235 kW; 316 hp) at 5700 400 N⋅m (295 lb⋅ft) at 2200–5400,,,,,
,,,^ Only available for the S90 Long Wheelbase and V90.,Hybrid:,"a b ""S90 Twin Engine Betriebsanleitung MY18"" [S90 Twin Engine owner's manual MY18] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. 2017. pp. 630, 641. Archived (PDF) from the original on 2017-09-25. Retrieved 2017-09-25.",D3 AWD[nb 5] D4204T4[45] 150 PS (110 kW; 148 hp) at 4250 350 N⋅m (258 lb⋅ft) at 1500–2500,,,,,
,,,"^ ""Volvo Cars launches its new S90 premium sedan in Detroit, highlighting its commitment to the US"". www.media.volvocars.com. Volvo Car Corporation. 11 January 2016. Archived from the original on 2016-02-01. Retrieved 2016-01-26.",(234kW–235kW + 64kW),"^ ""Volvo S90 (2016) 2.0 T8 (407 Hp) AWD Automatic Hybrid"". Retrieved 2016-09-27.",D4 AWD,,,,,
,,,"^ Alrik Söderlind (11 January 2016). ""Så mycket kostar nya Volvo S90!"" [How much the new S90 costs!]. Auto, Motor und Sport Sweden (in Swedish). Archived from the original on 2018-02-19. Retrieved 2016-02-16.",Electric motor 2x Permanent Magnet Synchronous AC Motors 34 kW (46 PS) (front) 64 kW (87 PS) (rear),"^ ""Volvo S90 Betriebsanleitung MY17"" [Volvo S90 owner's manual MY17] (PDF). az685612.vo.msecnd.net (in German). Volvo Car Corporation. 2016. p. 589. Archived from the original (PDF) on 2017-07-09. Retrieved 2017-10-07.",D5 AWD[11] D4204T23 235 PS (173 kW; 232 hp) at 4000 480 N⋅m (354 lb⋅ft) at 1750–2500,,,,,
,,,"^ ""2024 YILI OTOMOBİL SATIŞLARI"". e-otodergi. No. 177. February 2025.",Hybrid drivetrain Plug-in hybrid,,T8 AWD,,,,,
,,,,Mild Hybrid,,T8 AWD[11],,,,,
,,,,kWh lithium-ion battery,,"^ ""Volvo S90 (2016) 2.0 T8 (407 Hp) AWD Automatic Hybrid"". Retrieved 2016-09-27.",,,,,
,,,,kWh[10],,,,,,,
,,,,Electric range 45 km (28 mi) (NEDC)[11],,,,,,,
,,,,Engines[edit],,,,,,,
,,,,Petrol engines hide,,,,,,,
