Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Audi,RS 5,Assembly Audi Sport GmbH,Model name Engine type Engine displacement Power Acceleration 0–62 mph (0–100 km/h) Top speed Image,Model name Engine type Engine displacement Power Acceleration 0–62 mph (0–100 km/h) Top speed Image,Layout 4WD (quattro),,"For instance the base Audi A4 (B8) engine is the 2.0 TFSI turbo four-cylinder, a","For instance the base Audi A4 (B8) engine is the 2.0 TFSI turbo four-cylinder, and with the discontinuation of the 3.2 FSI V6, that makes the Audi S4's 3.0 TFSI V6 the performance option (the B8 Audi S4 3.0 TFSI positioned closer to the E90 BMW 335i than the BMW M3).",With the quattro all-wheel drive and 8 speed Tiptronic transmission with optimized gear ch,"With the quattro all-wheel drive and 8 speed Tiptronic transmission with optimized gear changes and sporty tunning, the RS 5 Sportback sprints with self-assurance."
,,,"Since 1994, the development of the Audi S and RS sports series was started directly from the Quattro.[3]",A6 I4 — V6 2.0 — 3.0 L. 163 — 340 PS 9.3 — 5.1 sec. 145–155 mph (233–249 km/h),top speed car body style(s) weight production,,,"190 mph (306 km/h) Model range[edit] The following Audi ""S"" and ""RS"" high perf","190 mph (306 km/h) Model range[edit] The following Audi ""S"" and ""RS"" high performance models are being, or have been produced, or are speculated to be in future production: Current models[edit] (In model range order) Audi model name VW Group platform Typ code engine type max.motive power acceleration 0-62 mph (0-100 km/h) top speed car body style(s) weight production year image Audi RS 5 PPC 2,894 cc V6 TFSI PHEV 470 kW (639 PS; 630 bhp) 3.6 sec.",The 2023 Audi RS5 is a mouthy all-wheel-drive sports coupe with elegant proportions and a,The 2023 Audi RS5 is a mouthy all-wheel-drive sports coupe with elegant proportions and a refined 444-hp twin turbo V-6.
,,,Audi Sport Quattro,code engine type max.motive power acceleration,km/h (with raised speed limiter),,,"155 mph (249 km/h) 4 dr, 5 seat Crossover 2,395 kg (5,280 lb) 2019 Former model","155 mph (249 km/h) 4 dr, 5 seat Crossover 2,395 kg (5,280 lb) 2019 Former models[edit] (In chronological order of production end — oldest first) Audi model name VW Group platform Typ code engine type max.",,
,,,Audi RS5 DTM ABT Sportsline,"Audi RS 5 PPC 2,894 cc V6 TFSI PHEV 470 kW (639 PS; 630 bhp) 3.6 sec. 177 mph (285 km/h) 5 dr, 5 seat Saloon (sedan)","^ ""Audi RS Gasoline Models to Stay on a Separate Platform"". AudiSpeed. 2023-10-18. Retrieved 2023-10-18.",,,"155 mph (249 km/h) 5 dr, 5 seat Crossover 1,585 kg (3,494 lb) 2019—2026 Audi S","155 mph (249 km/h) 5 dr, 5 seat Crossover 1,585 kg (3,494 lb) 2019—2026 Audi S line[edit] ""S line"" badge in front grille Audi produce a specification of optional sports trim packages to their mainstream models A/Q/TT, known as the S line.[10] This is merely a trim specification which allows customers to effect a sporty appearance in their mainstream Audi model.",,
,,,Racecars Audi Sport Quattro S1 and Audi S1 EKS RX,"Audi SQ5&SQ5 Sportback PPC 2,995 cc V6 TFSI 270 kW (367 PS; 362 bhp) 4.5 sec. 155 mph (249 km/h) 5 dr, 5 seat Crossover 2,115 kg (4,663 lb) 2024",,,,Whilst the specific S line trim parts are designed and produced by Audi Sport Gm,"Whilst the specific S line trim parts are designed and produced by Audi Sport GmbH at its Neckarsulm factory, these mainstream cars are still manufactured and assembled by AUDI AG at their relevant factories on the same production lines alongside their other standard models.",,
,,,"Audi SQ5&SQ5 Sportback PPC 2,995 cc V6 TFSI 270 kW (367 PS; 362 bhp) 4.5 sec. 155 mph (249 km/h) 5 dr, 5 seat Crossover 2,115 kg (4,663 lb) 2024","Audi S6 e-tron PPE Electric 405 kW (551 PS; 543 bhp) 3.9 sec. 149 mph (240 km/h) 5 dr, 5 seat Saloon (sedan)",,,,"Specifications, equipment, options, and prices are subject to change without not","Specifications, equipment, options, and prices are subject to change without notice.",,
,,,"Audi SQ6 e-tron & SQ6 e-tron Sportback PPE Electric 380 kW (517 PS; 510 bhp) 4.3 sec. 143 mph (230 km/h) 5 dr, 5 seat Crossover 2,350 kg (5,181 lb) 2023","Audi S5 PPC 2,995 cc V6 TFSI 270 kW (367 PS; 362 bhp) 4.5 sec. 155 mph (249 km/h) 5 dr, 5 seat Saloon (sedan)",,,,"Both models, when equipped with the Competition package, will receive an increas","Both models, when equipped with the Competition package, will receive an increased maximum top track speed of 180mph - up 25 mph from ...",,
,,,"Audi S3 MQB 8Y 1,984 cc I4 TFSI 221 kW (300 PS; 296 bhp) 4.8 sec. 155 mph (249 km/h) 5 dr, 5 seat Sportback (hatchback)","Audi S e-tron GT J1 n/a Electric 500 kW (680 PS; 671 bhp) 3.6-3.4 sec. 152 mph (245 km/h) 4 dr, 5 seat Saloon (sedan) 2,385 kg (5,258 lb) 2024",,,,"See detailed specs, features, packages and dimensions by trim level for the 2023","See detailed specs, features, packages and dimensions by trim level for the 2023 Audi RS 5.",,
,,,"Audi RS 3 Sportback & Sedan MQB 8Y 2,480 cc I5 20v TFSI 294 kW (400 PS; 394 bhp) 3.8 sec. 155 mph (249 km/h) 5 dr, 5 seat Sportback (hatchback)","Audi SQ6 e-tron & SQ6 e-tron Sportback PPE Electric 380 kW (517 PS; 510 bhp) 4.3 sec. 143 mph (230 km/h) 5 dr, 5 seat Crossover 2,350 kg (5,181 lb) 2023",,,,The hardcore Audi RS5 Coupe and Sportback arrives with a new Competition package,"The hardcore Audi RS5 Coupe and Sportback arrives with a new Competition package for the year 2023 and as claimed by the automobile company the new car is louder, lower, and faster than the standard RS5.",,
,,,"Audi RS 3 Sportback A5 (PQ35) 8P 2,480 cc R5 TFSI 250 kW (340 PS; 335 bhp) 4.6 sec. 155 mph","Audi RS e-tron GT J1 n/a Electric 630 kW (857 PS; 845 bhp)-680 kW (925 PS; 912 bhp) 3.1-2.5 sec. 155 mph (249 km/h) 4 dr, 5 seat Saloon (sedan) 2,395 kg (5,280 lb) 2021",,,,What does the new Competition package include?,What does the new Competition package include?,,
