Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Ford,E-350,"Wheelbase 90.0 in (2,286.0 mm)[5]",Engine 144 cu in (2.4 L) Falcon Six I6,Transmission 3-speed manual,,Predecessor Ford F-series panel truck,The Econoline was initially powered by the 85 hp (63 kW) 144-cubic-inch inline-s,The Econoline was initially powered by the 85 hp (63 kW) 144-cubic-inch inline-six (the standard engine of the Falcon); a 101 hp (75 kW) 170-cubic-inch inline-six was introduced as an option.,,
,,,"In contrast to the Falcon, the Econoline was fitted with a solid front axle and a solid rear axle suspension with leaf springs for all four wheels.[10]","The introduction of the 240-cubic-inch engine for 1965 necessitated a larger engine compartment, intruding slightly into the cargo bed (to provide clearance for the transmission bellhousing). The same year, a ""Spring Special"" package was offered as a trim option.",speed manual,,"The introduction of the 240-cubic-inch engine for 1965 necessitated a larger engine compartment, intruding slightly into the cargo bed (to provide clearance for the transmission bellhousing). The same year, a ""Spring Special"" package was offered as a trim option.","For 1965, the 170 six became standard, with a 240 cubic-inch six introduced as a","For 1965, the 170 six became standard, with a 240 cubic-inch six introduced as an option.",,
,,,"The introduction of the 240-cubic-inch engine for 1965 necessitated a larger engine compartment, intruding slightly into the cargo bed (to provide clearance for the transmission bellhousing). The same year, a ""Spring Special"" package was offered as a trim option.",Engine 240 cu in (3.9 L) I6,speed C4 automatic[4],,"With the change of chassis and axle configurations, the Econoline gained a conventional hood for engine access, though engine access remained largely from the van's interior. The redesign provided a conventional grille, styled similarly to the F-Series.","Alongside the standard six-door cargo van, an eight-door version (adding two doo","Alongside the standard six-door cargo van, an eight-door version (adding two doors on the driver side) was added for 1963.",,
,,,"Wheelbase SWB: 105.5 in (2,679.7 mm)",cu in (4.9 L) small block V8,"The introduction of the 240-cubic-inch engine for 1965 necessitated a larger engine compartment, intruding slightly into the cargo bed (to provide clearance for the transmission bellhousing). The same year, a ""Spring Special"" package was offered as a trim option.",,"For 1975, the Econoline/Club Wagon were given a complete redesign. Based on an all-new chassis, Ford became the first American manufacturer to adapt body-on-frame construction to a full-size van.","While the Station Bus was largely intended for commercial/fleet use, the Club Wa","While the Station Bus was largely intended for commercial/fleet use, the Club Wagon was marketed as an alternative to station wagons.[11] A five-seat configuration was standard, with an eight-seat configuration offered as an option.",,
,,,"With the change of chassis and axle configurations, the Econoline gained a conventional hood for engine access, though engine access remained largely from the van's interior. The redesign provided a conventional grille, styled similarly to the F-Series.","Following Dodge and Chevrolet/GMC, a V8 engine became optional.",speed Cruise-O-Matic automatic,,"For the 1992 model year, Ford introduced the fourth generation of the Econoline/Club Wagon. While the third-generation chassis was largely carried over, the body and interior were completely redesigned — receiving several subsequent mid-cycle refreshes, the last in 2026.","Two versions of the cab were offered, a standard ""three-window"" cab and an optio","Two versions of the cab were offered, a standard ""three-window"" cab and an optional ""five-window,"" which added wraparound windows to the cab corners.",,
,,,"For 1975, the Econoline/Club Wagon were given a complete redesign. Based on an all-new chassis, Ford became the first American manufacturer to adapt body-on-frame construction to a full-size van.","With the change of chassis and axle configurations, the Econoline gained a conventional hood for engine access, though engine access remained largely from the van's interior. The redesign provided a conventional grille, styled similarly to the F-Series.",speed automatic,,"Since the 2021 model year, the E-Series has only used the gasoline 7.3 L V8 from the fourth-generation Super Duty truck, offered with an option for conversion to CNG or LPG.[22]","The same year, a ""Spring Special"" package was offered as a trim option.","The same year, a ""Spring Special"" package was offered as a trim option.",,
,,,s Ford Club Wagon XLT,Engine 300 cu in (4.9 L) I6,Transmission,,"For 2008, the E-Series received a restyled front-end design similar to that of the newly-redesigned Ford Super Duty trucks. The interior design carried over.","Following Dodge and Chevrolet/GMC, a V8 engine became optional.","Following Dodge and Chevrolet/GMC, a V8 engine became optional.",,
,,,"Wheelbase 124 in (3,149.6 mm) 138 in (3,505.2 mm)",cu in (5.8 L) small block V8,speed AOD automatic,,"Starting with the 2011 model year, the 6.0L Power Stroke turbo-diesel V8 engine was discontinued, and the E-Series was no longer offered with a diesel engine.","For 1972, a sliding rear door became an option; introduced on a cutaway van chas","For 1972, a sliding rear door became an option; introduced on a cutaway van chassis was the Hi-Cube van, a cab-chassis version of the Econoline with a box-van body.",,
,,,"Wheelbase 138 in (3,505 mm)",cu in (6.6 L) Cleveland V8,speed TorqShift automatic,,"The dashboard after the 2009 redesign, used until 2020","Based on the long-wheelbase version, the Chateau had air conditioning as standar","Based on the long-wheelbase version, the Chateau had air conditioning as standard (normally an option), houndstooth fabric on all seats, an AM/FM sound system, and the option of 12-passenger seating.",,
,,,Trim[edit],cu in (7.5 L) 385 V8,Engine Configuration Production Fuel type Transmission Availability,,"Meanwhile, the touchscreen Ford Sync infotainment system was eliminated. The only available factory audio system is a basic single DIN model with AM/FM radio, Bluetooth for hands-free calling and wireless stereo audio streaming, and a USB input.","After the 1984 model year, the 124-inch wheelbase Club Wagon passenger van was d","After the 1984 model year, the 124-inch wheelbase Club Wagon passenger van was discontinued, and the 124-inch wheelbase Econoline Cargo Van was discontinued after the 1990 model year, leaving the 138-inch wheelbase as the sole option.",,
