Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Ford,Transit Connect,Wheelbase,Azure Transit Connect Electric,Transmission,,Predecessor,"In the region, the Transit Connect does not have a direct predecessor; the close","In the region, the Transit Connect does not have a direct predecessor; the closest vehicle to its size was the standard-length Ford Aerostar cargo van, which ceased production in 1997.","The Ford Transit Connect city van is a four-wheeled Swiss army knife, a versatile tool tha","The Ford Transit Connect city van is a four-wheeled Swiss army knife, a versatile tool that can be configured to suit the needs of a wide swath of customers."
,,,"XL with 2.0L: 3,373 lb (1,530 kg)[2]","Layout Front-engine, front-wheel-drive",speed 4F27E automatic,,"In the U.S., the Transit Connect was available in two different trim levels, which are XL and XLT. For passenger models, an XLT Premium model was offered.",A second sliding door was available as an option.,A second sliding door was available as an option.,,
,,,"XLT Wagon with 2.0L: 3,503 lb (1,589 kg)",Engine,speed manual,,L EcoBlue I4 turbo,"First shown in the United States at the 2008 Chicago Auto Show, the 2010 product","First shown in the United States at the 2008 Chicago Auto Show, the 2010 production model was introduced at the following year's show on 11 February 2009.[5] The introduction of the North American variant coincided with a mid-cycle facelift which includes a restyled front grille, a deeper front bumper and a new dashboard featuring the switchgear and instrument pod from the C307 Focus.",,
,,,"XLT Wagon (Premium) with 2.0L: 3,524 lb (1,598 kg)",L Duratorq TDCi Diesel I4,speed automatic 6F-35,,"In 2010, the electric van costed US$57,400, which more than doubled the price of the gas-powered version even after federal and any state or local incentives for electric vehicles were discounted.[42][43]",The Transit Connect Wagon was the first Ford minivan since the 2007 discontinuat,"The Transit Connect Wagon was the first Ford minivan since the 2007 discontinuation of the Freestar, though it was closer in size to the standard length Ford Aerostar sold from 1986 to 1997.",,
,,,Trim levels[edit],Endura-D TDDi Diesel I4,speed manual B6,,"a b Capparella, Joey (9 July 2019). ""Ford Cancels Plans for a Diesel-Powered Transit Connect Van in the U.S."" Car and Driver. Retrieved 18 September 2021.",A major design change is an optional rear liftgate in addition to the double doo,"A major design change is an optional rear liftgate in addition to the double doors preferred by commercial buyers and wheelchair users.[12] The Transit Connect will include the optional new feature called MyKey, a personalized key system.",,
,,,"In the U.S., the Transit Connect was available in two different trim levels, which are XL and XLT. For passenger models, an XLT Premium model was offered.","An electric version followed in 2011, converted by Azure Dynamics Corporation at a U.S. facility.[7]",speed manual iB5,,"^ ""2014 Ford Transit Connect Wagon brings minivans back to the Blue Oval"". 13 November 2012. Retrieved 19 November 2012.","For buyers interested in alternative-fuel vehicles, Ford offers optional hardwar","For buyers interested in alternative-fuel vehicles, Ford offers optional hardware allowing for the 2.5-litre engine to be converted to use CNG or LPG/propane instead of gasoline.[15] When sold in the United States, the Tourneo Connect bears the ""Transit Connect Wagon"" moniker, available in two wheelbases, and with a choice of 5 or 7-passenger seating.",,
,,,"In 2014, it was available in three models, which are XL, XLT, and Titanium.[citation needed]",Diesel:,speed automatic 8F35 (2019-present),,,It also boasted the option of twin sliding side load doors as well as rear doors,"It also boasted the option of twin sliding side load doors as well as rear doors or a tailgate, whereas neither of its main competitors had this option.",,
,,,"For 2020 production, Ford ended production of the short-wheelbase Transit Connect passenger van, solely offering the three-row body style.[19]",L Duratorq I4 turbo,Max speed and fuel usage[edit],,,"^ ""2014 Transit Connect: CNG/LPG Gaseous Engine Prep Package"".","^ ""2014 Transit Connect: CNG/LPG Gaseous Engine Prep Package"".",,
,,,Short wheelbase: 122.6 ft3 (3.47 m3) total[20][21],L EcoBlue I4 turbo,speed DSG (PHEV),,,"These include the optional 2.5-liter 4-cylinder, the 6-speed SelectShift transmi","These include the optional 2.5-liter 4-cylinder, the 6-speed SelectShift transmission, a heavy-duty battery, and a flex-fuel version of the 2.0-liter 4-cylinder engine.",,
,,,Long wheelbase: 168.5 ft3 (4.77 m3) total[20][21],"In 2017, Ford recalled 2013–2015 Transit Connect with 1.6 EcoBoost engines because of a risk of engine fires caused by a “lack of coolant circulation”. The recall partly contributed to a charge of US$300 million by Ford.[24][25]","^ ""2014 Ford Transit Connect Cargo @ Top Speed"". Top Speed. 12 August 2013. Retrieved 18 September 2021.",,,STANDARD EQUIPMENT The following features are standard on select 2023MY TRANSIT,STANDARD EQUIPMENT The following features are standard on select 2023MY TRANSIT CONNECT vehicles: The build and price page lets you customize your own Ford Transit Connect® to your heart's content.,,
,,,"The third-generation Tourneo Connect for the European market was released in October 2021 as a rebadged fourth-generation Volkswagen Caddy.[27] In 2020, it was planned to launch The Caddy-based Transit Connect to Australasia in the second quarter of 2024.[28]",L EA211evo TSI I4 (114 hp),"a b c ""Speedy Delivery: The Ford Transit Connect X-Press"". Jalopnik. 3 January 2007. Retrieved 18 September 2021.",,,Choose from a range of options and accessories to make it uniquely yours.,Choose from a range of options and accessories to make it uniquely yours.,,
,,,The new Caddy-based Transit Connect has been released in the UK and Europe in late 2024.,Petrol plug-in hybrid:,,,,,,,
,,,"^ ""Ford Transit Connect Van"" (PDF). Ford Motor Company Limited. May 2009. Retrieved 2 January 2023.",L TSI I4 and electric motor (combined 150 hp),,,,,,,
,,,"^ ""2013 Ford Transit Connect XLT Wagon Premium | the 2013 Ford Transit Connect XLT Wagon Premium | Ford.com"". Archived from the original on 7 May 2013. Retrieved 22 November 2012.",L EA288evo TDI I4 (102/122 hp),,,,,,,
,,,,Transit Connect Electric[edit],,,,,,,
