Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Hyundai,Kona,"The car is sold both in Iceland and Norway under its original name.[clarification needed] In Icelandic the word kona means woman, while in Norwegian kona is the singular definite form of kone, meaning wife.[original research?][relevant?]","Front-engine, front-wheel-drive",Transmission,Hybrid drivetrain Mild hybrid (1.0L I3),Hyundai Encino EV was launched on the Chinese car market in November 2019. The electric motor of the Encino EV has an output of 150 kW; 204 PS (201 hp) and 310 N⋅m (31.6 kg⋅m; 229 lb⋅ft). The motor is powered by a 64.2 kWh battery with an NEDC range of 500 km (310 mi).[38],"An N-dedicated colour Sonic Blue was added and N Grin Shift, N Power Shift, N Tr","An N-dedicated colour Sonic Blue was added and N Grin Shift, N Power Shift, N Track Sense Shift and Variable Exhaust Valve System come as standard.",,
,,,"Wheelbase 2,600 mm (102.4 in)","Front-engine, all-wheel-drive",speed manual,s (FWD),"Electric Lite / Electric SE 2018–2023 1-speed reduction gear 136 PS (100 kW; 134 hp) @ 2,600–8,000 rpm 40.15 kg⋅m (394 N⋅m; 290 lbf⋅ft) @ 0–2,400 rpm 9.7s–9.9s 155 km/h (96 mph)","It is available with petrol, mild hybrid, hybrid and battery electric models, wh","It is available with petrol, mild hybrid, hybrid and battery electric models, while diesel engine options are no longer offered.[62][63] According to Hyundai, the second-generation Kona was first designed as a battery electric vehicle before being adapted for other variants.",,
,,,s (Premium),"Front-motor, front-wheel-drive (electric)",speed A6F22 automatic,s (AWD),speed reduction gear,"With the second-row seat folded, the vehicle has 466 litres (16.5 cu ft) of boot","With the second-row seat folded, the vehicle has 466 litres (16.5 cu ft) of boot space (VDA standard) or 723 litres (25.5 cu ft) (SAE standard).",,
,,,Headlights (varies by trim/option) Good Poor,"Czech Republic: Nošovice (HMMC, electric only)[12][13]",speed D6KF1 DCT (hybrid),km/h (130 mph) (FWD),"The second-generation Kona was revealed in December 2022. It is available with petrol, mild hybrid, hybrid and battery electric models, while diesel engine options are no longer offered.[62][63]","Hyundai claims a 10-80% state of charge can be accomplished in 41 minutes, again","Hyundai claims a 10-80% state of charge can be accomplished in 41 minutes, against the 18 minutes it claims for some of their 800V models.[66] It also includes vehicle-to-load (V2L) support, with different maximum outputs depending on the market.",,
,,,"Wheelbase 2,660 mm (104.7 in)","India: Chennai (HMIL, electric only)[14]",speed D7UF1 DCT,km/h (127 mph) (AWD),"Two battery capacities are offered, which are 48.4 kWh (Standard Range) and 65.4 kWh (Long Range) powering a front-mounted electric motor.[65]",Five powertrain options are available: 1.0-litre T-GDi turbocharged petrol with,"Five powertrain options are available: 1.0-litre T-GDi turbocharged petrol with a 48 volt mild hybrid system,[84] 1.6-litre T-GDi turbocharged petrol, 1.6-litre Hybrid petrol and an Electric version with two battery options.",,
,,,"The second-generation Kona was launched in Brunei on 17 May 2024, in a sole N Line variant powered by a 1.6-litre turbocharged petrol engine.[68] The base 2.0-litre model was added in 30 May 2025.[69]",Engine,speed D8LF1 DCT,km/h (120 mph) (FWD),"The second-generation Kona was launched in Brunei on 17 May 2024, in a sole N Line variant powered by a 1.6-litre turbocharged petrol engine.[68] The base 2.0-litre model was added in 30 May 2025.[69]",The all-wheel drive option is available for the 1.6-litre T-GDi petrol engine.,The all-wheel drive option is available for the 1.6-litre T-GDi petrol engine.,,
,,,"The Kona EV was launched in Japan in November 2023 in three trims: Casual, Voyage, and Lounge, with the N-Line model introduced later.[80]",L Smartstream G1.0 T-GDi I3 (Mild hybrid),Single-speed (electric),s (FWD DCT),"The second-generation Kona was launched in the Philippines on 20 June 2025, it is available in two trim levels: GLS and Premium, powered by the 1.6-litre Hybrid petrol powertrain.[81]","Three powertrain options are available: 2.0-litre MPi petrol, 1.6-litre T-GDi tu","Three powertrain options are available: 2.0-litre MPi petrol, 1.6-litre T-GDi turbocharged petrol, and the Electric version (with either Standard Range and Long Range battery options).",,
,,,"The second-generation Kona was launched in the Philippines on 20 June 2025, it is available in two trim levels: GLS and Premium, powered by the 1.6-litre Hybrid petrol powertrain.[81]",Petrol hybrid:,Model Year Transmission Power Torque 0–100 km/h,s (AWD DCT),SEL Preferred,Trims United States[88][89] Canada[90][91] SE Essential SEL Preferred N Line Lim,"Trims United States[88][89] Canada[90][91] SE Essential SEL Preferred N Line Limited N/A In August 2024, for the 2025 model year, the N Line S trim was introduced to sit below the N Line trim, the SEL trim equipped with the Convenience package became a standalone trim level, and the N Line trim was made available for the Kona Electric model.[92] In July 2025, for the 2026 model year, the SEL Sport and SLE Convenience trims were introduced.",,
,,,Trims,L Smartstream G1.6 Hybrid GDi HEV I4,(Official) Top speed,km/h (120 mph) (manual/FWD DCT),Standard Range 2023–present 1-speed reduction gear 135 PS (99 kW; 133 hp)[103] 26 kg⋅m (255 N⋅m; 188 lbf⋅ft),"Also for the 2026 model year, the SEL, Limited, and N Line trims were discontinu","Also for the 2026 model year, the SEL, Limited, and N Line trims were discontinued for the Kona Electric models as well as the Long Range battery option.[93] Oceania[edit] Australia[edit] The second-generation Kona was launched in Australia on 7 July 2023, with four trim levels: Base, Premium, N Line and N Line Premium.",,
,,,Limited N/A,Diesel:,"L Kappa T-GDi 2017–2020 6-speed manual 120 PS (88 kW; 118 hp) @ 6,000 rpm 17.5 kg⋅m (172 N⋅m; 127 lbf⋅ft) @ 1,500–4,000 rpm 12.0s 181 km/h (112 mph)",km/h (115 mph) (AWD DCT),"^ ""Dynamic driving experience with new sporty SUV"". Borneo Bulletin. 18 May 2024. Retrieved 18 May 2024. (subscription required)","At launch, three powertrain options available: a 2.0-litre MPi petrol, a 1.6-lit","At launch, three powertrain options available: a 2.0-litre MPi petrol, a 1.6-litre Hybrid petrol and 1.6-litre T-GDi turbocharged petrol; the latter powertrain is equipped with all-wheel drive system as standard.",,
,,,"In August 2024, for the 2025 model year, the N Line S trim was introduced to sit below the N Line trim, the SEL trim equipped with the Convenience package became a standalone trim level, and the N Line trim was made available for the Kona Electric model.[92]",Electric motor Permanent magnet synchronous motor (hybrid and electric),L Smartstream G1.0 T-GDi 2020–2023 6-speed manual 11.5s,"^ Hickey, Jordan (23 July 2025). ""Hyundai Kona N Line 1.6-litre turbo AWD deleted for 2026 update"". Drive. Retrieved 15 August 2025.","^ ""New Hyundai car models unveiled"". Borneo Bulletin. 31 May 2025. Retrieved 31 May 2025. (subscription required)",A sportier N-Line styling package is available for the first time in New Zealand,"A sportier N-Line styling package is available for the first time in New Zealand, it comes as option on the former trim but it is standard on the latter trim.",,
,,,"The Kona Electric debuted in Australia on 9 January 2024, with three variants: Standard Range, Extended Range and Premium Extended Range.[96]",speed D6KF1 DCT (hybrid),"speed DCT 20.4 kg⋅m (200 N⋅m; 148 lbf⋅ft) @ 2,000–3,500 rpm 11.0s 182 km/h (113 mph)",,"^ Boshouwers, Derek (4 August 2023). ""2024 Hyundai Kona Priced at $25,999 in Canada The price increases compared to the outgoing model are… noticeable"". Auto 123.","""2018 Hyundai Kona First Look: Big Things Expected From Small Package"".","""2018 Hyundai Kona First Look: Big Things Expected From Small Package"".",,
,,,Headlights (varies by trim/option) Acceptable,Single-speed (electric),"L Gamma T-GDi 2017–2020 7-speed DCT 177 PS (130 kW; 175 hp) @ 5,500 rpm 27 kg⋅m (265 N⋅m; 195 lbf⋅ft) @ 1,500–4,500 rpm",,"^ Boshouwers, Derek (28 November 2023). ""2024 Hyundai Kona Electric: Pricing Announced for Canada The base Kona Electric Preferred trim is set at $46,399"". Auto 123.","^ ""Hyundai Kona (with Standard Equipment)"".","^ ""Hyundai Kona (with Standard Equipment)"".",,
,,,^ Figures based on registration (Malaysia),Hybrid drivetrain Mild hybrid (1.0L I3),"L Nu MPi 2017–2020 6-speed automatic 149 PS (110 kW; 147 hp) @ 6,200 rpm 18.4 kg⋅m (180 N⋅m; 133 lbf⋅ft) @ 4,500 rpm",,,"""2024 Hyundai Kona Electric Brings Its Futuristic Face To America With Two Power","""2024 Hyundai Kona Electric Brings Its Futuristic Face To America With Two Powertrain Options"".",,
,,,"^ ""Hyundai Motor Unveils Stylish Enhancements for KONA and Launches Sporty All-New KONA N Line"". HYUNDAI MOTORS. Retrieved 3 September 2020.",Hybrid (Hybrid),L Smartstream G2.0 MPi 2020–2023 6-speed automatic,,,"^ Jump up to: a b ""2024 Hyundai Kona Debuts With Ruggedly Good Looks And ICE, H","^ Jump up to: a b ""2024 Hyundai Kona Debuts With Ruggedly Good Looks And ICE, Hybrid, EV Options"".",,
,,,"^ Bruce, Chris (19 December 2022). ""2024 Hyundai Kona Debuts Bigger Body, Four Trims Coming"". Motor1.com. Retrieved 20 December 2022.",,,,,"2023 Hyundai Kona Specs, Features & Options Here's everything you need to know a","2023 Hyundai Kona Specs, Features & Options Here's everything you need to know about each trim in the 2023 Hyundai Kona lineup.",,
,,,"^ ""Dynamic driving experience with new sporty SUV"". Borneo Bulletin. 18 May 2024. Retrieved 18 May 2024. (subscription required)",,,,,See what each 2023 Hyundai KONA trim includes.,See what each 2023 Hyundai KONA trim includes.,,
,,,"^ Schonfëld, Markus (21 August 2023). ""Verbrenner ab 26.900 Euro, Elektro ab 41.990 Euro"" [Combustion engine from 26,900 euros, electric from 41,990 euros]. Auto Motor Sport (in German).",,,,,"Compare infotainment, safety, comfort features, MPG, and optional upgrades acros","Compare infotainment, safety, comfort features, MPG, and optional upgrades across the full model lineup.",,
,,,"^ Webb, Mark (12 September 2023). ""2024 Hyundai Kona Price Starts At $25,435, Limited Is $32,985"". Motor1.",,,,,2023 Hyundai Kona Configurations Select up to 3 trims below to compare some key,2023 Hyundai Kona Configurations Select up to 3 trims below to compare some key specs and options for the 2023 Hyundai Kona.,,
,,,"^ Boshouwers, Derek (28 November 2023). ""2024 Hyundai Kona Electric: Pricing Announced for Canada The base Kona Electric Preferred trim is set at $46,399"". Auto 123.",,,,,They work together supported by a 1.32 kWh lithium-ion polymer battery The 2023,They work together supported by a 1.32 kWh lithium-ion polymer battery The 2023 Hyundai Kona should come with the same two powertrain options as the previous model.,,
,,,,,,,,We are still expecting a 147-horsepower 2.0L four-cylinder with a six-speed auto,We are still expecting a 147-horsepower 2.0L four-cylinder with a six-speed automatic or the optional 195-horsepower 1.6L turbo-four with a seven-speed dual-clutch automatic transmission.,,
