Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Mercedes,GLA-Class,"Wheelbase 2,699 mm (106.3 in)","Front-engine, front-wheel-drive",Transmission,"The GLA is powered by a range of petrol and diesel 4-cylinder engines, and comes in either front-wheel drive or all-wheel drive, the latter marketed by Mercedes as 4Matic.[5]","The GLA is powered by a range of petrol and diesel 4-cylinder engines, and comes in either front-wheel drive or all-wheel drive, the latter marketed by Mercedes as 4Matic.[5]",Mercedes-Benz GLA Overview Manufacturer Daimler AG (2013–2022) Mercedes-Benz G,"Mercedes-Benz GLA Overview Manufacturer Daimler AG (2013–2022) Mercedes-Benz Group (2022–present) Production 2013–present Model years 2014–present Body and chassis Class Subcompact luxury crossover SUV (C)[1] Body style 5-door SUV Layout Front-engine, front-wheel-drive Front-engine, all-wheel-drive (4Matic) The Mercedes-Benz GLA is a subcompact luxury crossover SUV manufactured and marketed by Mercedes-Benz over two generations.","Research the 2023 Mercedes-Benz GLA250 exploring our customers' reviews and ratings, key f","Research the 2023 Mercedes-Benz GLA250 exploring our customers' reviews and ratings, key features, fuel economy, towing capacity, similar cars, and much more."
,,,"The production X156 GLA is closely based on the Concept GLA design and was unveiled at the 2013 Frankfurt Motor Show.[16][17] Orders had been taken beginning from the end of November 2013, and arrived in dealer showrooms during 2014, with Japan and US in the autumn.[18]","Front-engine, all-wheel-drive (4Matic)",speed manual,Mercedes-Benz GLA200 CDI 'Urban' 4x2 (LHD) (2014)[25],"GLA 180 02/2015–11/2019 Inline-4 turbo (M 270 DE 16 AL red.) 1.6 L (1,595 cc) 90 kW (122 PS; 121 bhp) at 5,000 rpm 200 N⋅m (148 lb⋅ft) at 1,250-4,000 rpm 9.3 seconds (M)",A new Canyon Beige colour option was also added.,A new Canyon Beige colour option was also added.,,
,,,"Wheelbase 2,729 mm (107.4 in)","The GLA is powered by a range of petrol and diesel 4-cylinder engines, and comes in either front-wheel drive or all-wheel drive, the latter marketed by Mercedes as 4Matic.[5]",speed DCT,Hybrid drivetrain Plug-in hybrid (GLA 250 e),BionicBlueZEROC111C112ConceptFASCINATIONEQESF 2009 Experimental Safety VehicleF-CellF-Cell RoadsterF100F125F200 ImaginationF700F800Ocean DriveSilver LightningVario Research CarVision CLSVision EQXXVision SLAESF 2019Vision Mercedes-Maybach 6Concept EQG,"Some launch models of the AMG are sold as ""Edition 1"", available for one year fr","Some launch models of the AMG are sold as ""Edition 1"", available for one year from market launch, and include a high-gloss black Aerodynamics package with larger front splitter, additional flics in the front apron, and rear aerofoil.[24] The vehicle was unveiled at the 2014 North American International Auto Show with sales from the summer of 2014.",,
,,,"^ Wittich, Horst (12 December 2019). ""Mercedes EQA 2020"". auto motor und sport (in German).",Engine,Model Years Configuration Displacement Power Torque 0–100 km/h (0–62 mph) Top speed Fuel consumption/efficiency,,,"It receives updated powertrain options, along with three new optional wheel desi","It receives updated powertrain options, along with three new optional wheel designs.",,
,,,"^ ""Mercedes-Benz GLA European sales figures"". carsalesbase.com. 2014-01-28. Retrieved 2021-03-26.",L M270 turbo I4,Transmissions[edit],,,A dual 10.3-inch screen that originally came part of the Premium Package became,A dual 10.3-inch screen that originally came part of the Premium Package became standard.[36] Mercedes-Benz GLA 180 Edition AMG Line (EU) Mercedes-Benz GLA 180 Edition AMG Line (EU) Mercedes-Benz GLA 250 4MATIC (US; non AMG-line) Mercedes-Benz GLA 250 4MATIC (US; non AMG-line) Technical details[edit] Powertrain[edit] The second generation GLA has four petrol and four diesel models at launch.,,
,,,"^ ""Mercedes-Benz GLA US car sales figures"". carsalesbase.com. 2015-11-08. Retrieved 2021-03-26.",L M133 turbo I4,GLA 180 02/2015–11/2019 6-speed manual 7-speed 7G-DCT dual-clutch automatic,,,No manual transmission option is available anymore.,No manual transmission option is available anymore.,,
,,,"^ ""Mercedes-Benz GLA China auto sales figures"". carsalesbase.com. 2015-05-29. Retrieved 2021-03-26.",Diesel:,GLA 220 4MATIC 01/2017–11/2019 7-speed 7G-DCT dual-clutch automatic –,,,^ Design and equipment: Sensual purity plus elements exclusive to AMG ^ https://,^ Design and equipment: Sensual purity plus elements exclusive to AMG ^ https://www.euroncap.com/en/results/mercedes-benz/gla-class/7877 ^ Mario Bros.,,
,,,Roadsters/sports cars,L OM607 turbo I4,GLA 250 12/2013–11/2019 6-speed manual 7-speed 7G-DCT dual-clutch automatic,,,group-media.mercedes-benz.com.,group-media.mercedes-benz.com.,,
,,,,L OM651 turbo I4,GLA 250 4MATIC 7-speed 7G-DCT dual-clutch automatic –,,,AMG High-performance Composite Braking System Standalone Options The AMG GLA 45,AMG High-performance Composite Braking System Standalone Options The AMG GLA 45 gets the same standalone options and the AMG GLA 35 minus the KEYLESS-GO as it comes standard on this model.,,
,,,,"At launch, Mercedes-Benz claimed the vehicle was the most aerodynamic in its segment, with a Cd figure of 0.29.[19] The GLA's platform makes use of a strut-type front suspension and a multi-link rear setup, and an electric power steering.[20][21]",GLA 45 4MATIC AMG 07/2014–08/2015 7-speed AMG SPEEDSHIFT DCT dual-clutch automatic –,,,Select up to 3 trims below to compare some key specs and options for the 2023 Me,Select up to 3 trims below to compare some key specs and options for the 2023 Mercedes-Benz GLA-Class.,,
,,,,"The GLA shares its platform with the A-Class and B-Class, with a similar range of petrol and diesel engines.[4] Availability of engines varies between markets.",GLA 180 d 09/2014–05/2018 6-speed manual 7-speed 7G-DCT dual-clutch automatic,,,This extensive list shows most Mercedes-Benz options / extra codes with - where,This extensive list shows most Mercedes-Benz options / extra codes with - where possible - German and English descriptions as well as the applicable model range.,,
,,,,Engines[edit],GLA 200 d 4MATIC 7-speed 7G-DCT dual-clutch automatic –,,,"Finance crafted around you with all-inclusive packages, buyback guarantees, and","Finance crafted around you with all-inclusive packages, buyback guarantees, and services for your Mercedes-Benz.",,
,,,,Petrol engines,speed DCT automatic,,,,,,
,,,,"GLA 180 02/2015–11/2019 Inline-4 turbo (M 270 DE 16 AL red.) 1.6 L (1,595 cc) 90 kW (122 PS; 121 bhp) at 5,000 rpm 200 N⋅m (148 lb⋅ft) at 1,250-4,000 rpm 9.3 seconds (M)","a b ""Mercedes GLA specs and release At slow speeds when the steering wheel is fully turned...this model shudders severely date"". Evo. 18 September 2013. Archived from the original on 21 September 2013. Retrieved 23 October 2013.",,,,,,
,,,,"GLA 200 12/2013–11/2019 Inline-4 turbo (M 270 DE 16 AL) 115 kW (156 PS; 154 bhp) at 5,300 rpm 250 N⋅m (184 lb⋅ft) at 1,250-4,000 rpm 8.9 seconds (M)",,,,,,,
