Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Nissan,Ariya Hatchback,"Wheelbase 2,775 mm (109.3 in)",Electric motor 3-phase AM67 AC synchronous motor[5],Top speed 160 km/h (99 mph) 200 km/h (124 mph) 160 km/h (99 mph) 200 km/h (124 mph),Powertrain FWD AWD FWD AWD AWD performance,"As with other Nismo models, The Ariya Nismo get slightly changed front and rear bumpers with front splitter, side skirts, a rear spoiler on the tailgate, and Nismo red pinstripes.[20]","Standard technology on the Ariya includes Nissan's Safety Shield 360 system, whi","Standard technology on the Ariya includes Nissan's Safety Shield 360 system, which includes the ProPilot driver assist system.","Sit back, relax, and let ARIYA assist you through stop-and-go traffic or into your next pa","Sit back, relax, and let ARIYA assist you through stop-and-go traffic or into your next parklng space."
,,,"The 2023 Ariya was awarded ""Top Safety Pick"" by IIHS, which applies to vehicles built after March 2023, when Nissan made adjustments to the headlights and all trims comes equipped with LED projector headlights.[27]","Battery 65, 90 kWh lithium ion[5]",DC fast charge (DCFC) speed Up to 130 kW,,,Nissan did not release information on the capacity of the battery to be used in,"Nissan did not release information on the capacity of the battery to be used in the production Ariya, but indicated that it woulde be recharged by direct current (DC) compatible with standard CHAdeMO.[32] Target acceleration from 0 to 60 mph (0 to 97 km/h) was 5.1 seconds.[11] The Ariya was stated then to support the CCS standard in the US and European markets.[33][needs update] Ariya Single Seater[edit] Ariya Single Seater Concept The Ariya Single Seater Concept was unveiled in December 2021,",,
,,,,Electric range,On-board charge speed 7.4 kW (with 22 kW as standard in different countries),,,"^ ""Nissan Group reports 2022 fourth quarter and 2022 calendar year U.S.","^ ""Nissan Group reports 2022 fourth quarter and 2022 calendar year U.S.",,
,,,,kWh (230 MJ),,,,"^ ""Nissan Group reports fourth-quarter 2022 and calendar year 2022 Canadian sale","^ ""Nissan Group reports fourth-quarter 2022 and calendar year 2022 Canadian sales"".",,
,,,,kWh (320 MJ),,,,"^ ""Nissan Group reports 2023 fourth quarter and 2023 calendar year U.S.","^ ""Nissan Group reports 2023 fourth quarter and 2023 calendar year U.S.",,
,,,,Up to 130 kW,,,,"^ ""Nissan Group Reports Fourth Quarter and Annual Sales for 2023"".","^ ""Nissan Group Reports Fourth Quarter and Annual Sales for 2023"".",,
,,,,Nissan Ariya (160kW) (LHD) (2022)[24],,,,"^ ""Nissan Group reports 2025 calendar year and 2025 fourth-quarter U.S.","^ ""Nissan Group reports 2025 calendar year and 2025 fourth-quarter U.S.",,
,,,,Battery capacity (usable) 66 kWh (63 kWh) 91 kWh (87 kWh),,,,The batteries powering ARIYA take proven technology even further — with advances,"The batteries powering ARIYA take proven technology even further — with advances like active thermal management, which optimizes performance for hot and cold climates, as well as fast charging.13, 14 You can choose between standard and long ...",,
,,,,Power 160 kW (218 PS; 215 hp) 205 kW (279 PS; 275 hp) 178 kW (242 PS; 239 hp) 225 kW (306 PS; 302 hp) 290 kW (394 PS; 389 hp),,,,Some 'Æhlcles wtth optional equipment See the actual vehicle for complete accura,Some 'Æhlcles wtth optional equipment See the actual vehicle for complete accuracy.,,
,,,,DC fast charge (DCFC) speed Up to 130 kW,,,,"Nissan North America, Inc., reserves the right to make changes, at any time, wit","Nissan North America, Inc., reserves the right to make changes, at any time, without prior notice, in prices, colors, materials, equipment, specifications, and models and to discontinue models or equipment.",,
,,,,On-board charge speed 7.4 kW (with 22 kW as standard in different countries),,,,There has been little info regarding the standard equipment included with each o,There has been little info regarding the standard equipment included with each of the initial Ariya models offered.,,
,,,,"^ Nissan. ""2022 Nissan Ariya Electric SUV Revealed With Up To 300 Miles Of Range"". Motor1.com. Retrieved July 15, 2020.",,,,It lists all of the equipment at each level.,It lists all of the equipment at each level.,,
,,,,"a b Nissan Takes on Tesla Archived 2021-01-19 at the Wayback Machine, E for Electric, 19 July 2020, accessed 21 July 2020.",,,,"2023 Nissan ARIYA Specs, Features & Options Here's everything you need to know a","2023 Nissan ARIYA Specs, Features & Options Here's everything you need to know about each trim in the 2023 Nissan ARIYA lineup.",,
,,,,"a b McLain, Sean (July 15, 2020). ""Nissan Captures a Bit of Tesla Magic With Electric SUV"". Wall Street Journal. Retrieved July 30, 2020.",,,,,,,
,,,,"^ ""All-new 2023 Nissan Ariya electric crossover pricing starts at $43,190"". Official U.S. Newsroom. September 27, 2022. Retrieved November 5, 2022.",,,,,,,
