Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Toyota,Tundra,Toyota Tundra Limited,"Front-engine, rear-wheel-drive",Transmission,XK30 (rear-wheel drive),Predecessor Toyota T100,TRD introduced a second supercharger option for the V8 (2000–2003 models) engine,TRD introduced a second supercharger option for the V8 (2000–2003 models) engine late into its second year of production that increased power to the mid 300 hp (224 kW) range and torque to the 400 lb⋅ft (542 N⋅m) range.,,
,,,Wheelbase,"Front-engine, four-wheel-drive",speed manual (2000–2004),XK40 (four-wheel drive)[1],"In 2006, the Darrell Waltrip Edition was marketed to honor the NASCAR driver and his participation in the NASCAR Truck Series. Only 2,000 V8-powered Double Cab models were produced. The package included special badging and unique 18-inch wheels.[citation needed]",The engine however was the exact same for both these years and the rerating was,The engine however was the exact same for both these years and the rerating was only due to a change in industry standards for how data was determined.,,
,,,"Double Cab & Limited: 79.3 in (2,014 mm)",Engine,speed A340 automatic (2000–2004),"SR5 V8 4WD: 71.1 in (1,806 mm)","In June 2008, Toyota introduced the Ivan ""Ironman"" Stewart Signature Series Tundra. Three different packages are offered, one of which includes the TRD Supercharger.[14][15]","For the new V6 model, the previous 5-speed manual mated to the 3.4L engine gave","For the new V6 model, the previous 5-speed manual mated to the 3.4L engine gave way to an optional 6-speed manual for the new 4.0L, and similarly a new 5-speed automatic replaced the older 4-speed.",,
,,,"Limited Double Cab: 79.7 in (2,024 mm)",L 5VZ-FE V6 (VCK30/40; 2000–2004),speed manual (2005–2006),"SR5 Access Cab 4WD: 71.5 in (1,816 mm)","For 2010–2012, the Platinum was offered as a luxury package. For 2013, the Platinum package was made into a trim level.",There were never any factory manual options available for the V8.,There were never any factory manual options available for the V8.,,
,,,"Limited 4WD: 71.7 in (1,821 mm)",L 1GR-FE V6 (GSK30; 2005–2006),speed automatic (2005–2006),"SR5 Stepside Access Cab 4WD: 71.3 in (1,811 mm)","In 2023, for the 2024 model year, a new ""Terra"" color became available only for the TRD Pro trim.[84]","It included a TRD performance package, ""T3"" badging, blacked-out grille and trim","It included a TRD performance package, ""T3"" badging, blacked-out grille and trim pieces, special 17-inch wheels, and T3 limited interior trim.",,
,,,"Limited 2WD: 70.9 in (1,801 mm)",L 2UZ-FE V8 (UCK30/40),speed automatic (A750E/F),"Limited 4WD: 71.7 in (1,821 mm)","In 2024, for the 2025 model year, the TRD Rally Package became available on all trim levels, and a new ""Mudbath"" color was available only for the TRD Pro trim.[85]",The second generation Tundra had three engine options.,The second generation Tundra had three engine options.,,
,,,"Double Cab Limited 4WD: 75.0 in (1,905 mm)","SR5 V8 4WD: 71.1 in (1,806 mm)",speed automatic (AB60E/F),"Double Cab 4WD: 74.4 in (1,890 mm)","In 2025, for the 2026 model year, a new ""Wave Maker"" color became available only for the TRD Pro trim.[86]",The Tundra also featured a new 6-speed automatic transmission which could lock t,"The Tundra also featured a new 6-speed automatic transmission which could lock the torque converter in fifth and sixth gears with a manual shift mode (which was standard with the 5.7L), giving it a 0–60 mph (0–97 km/h) time of 6.3 seconds and a quarter-mile time of 14.7 seconds.",,
,,,"Double Cab Limited 2WD: 74.6 in (1,895 mm)","In 2006, the Darrell Waltrip Edition was marketed to honor the NASCAR driver and his participation in the NASCAR Truck Series. Only 2,000 V8-powered Double Cab models were produced. The package included special badging and unique 18-inch wheels.[citation needed]",speed automatic (A760E/F),"Double Cab Limited 4WD: 75.0 in (1,905 mm)",Grading: 50% (Silver),The Tundra also includes the following as standard: an electronic automatic limi,"The Tundra also includes the following as standard: an electronic automatic limited-slip differential (Auto LSD), Vehicle Stability Control, traction control, electronic brakeforce distribution, brake assist, anti-lock brakes, and tailgate assist.",,
,,,Toyota made E85 fuel capability standard for 2009 Tundras equipped with the 5.7L V8 in select regions. Toyota also updated the TRD Sport package and added a TRD Rock Warrior package. Prices increased 0.4% over the previous 2008 model year.[12],L 1GR-FE V6 (VVT-i) 236 hp (2007–2010),"In the second quarter of 2008, Toyota moved all Tundra production to the Texas plant.[37] All Tundra engines and transmissions were built in the United States.[citation needed] As sales fell in 2008, production of the Tundra at San Antonio stopped for three months.[38]","Regular Cab 4WD: 76.2 in (1,935 mm)","In 2000, Toyota sold 107,798 Tundras, compared to the Toyota T100 pickup that sold roughly around 50,000 units. By 2005, Toyota managed to sell 126,529 units.[108]","Some other changes Toyota included in the new Tundra are optional tow mirrors, a","Some other changes Toyota included in the new Tundra are optional tow mirrors, a 26.4 US gal (100 L; 22 imp gal) fuel tank, available 22-inch (560 mm) alloy wheels, backup camera, Bluetooth, large center console (enough to fit a 15-inch (380 mm) laptop), extra-large disc brakes and calipers, and the aforementioned 6-speed sequential automatic transmission.",,
,,,"For 2010–2012, the Platinum was offered as a luxury package. For 2013, the Platinum package was made into a trim level.",L 1GR-FE V6 (Dual VVT-i) 270 hp (2011–2013),"Transmission 10-speed AWR10L65 ""ECTi Direct Shift"" automatic","Regular Cab LB 4WD & Double Cab 4WD: 76.4 in (1,941 mm)","The Tundra also has a grey import presence in several countries that include Japan, Taiwan, China, Australia, the Philippines, Cambodia, Switzerland, the Middle East, and Sweden.",All 5.7L Tundras came equipped with a tow package which included engine oil and,"All 5.7L Tundras came equipped with a tow package which included engine oil and transmission coolers, an integrated trailer hitch, 4.30:1 axle ratio, and large braking hardware for increased fade resistance.",,
,,,Trim level availability[edit],L 2UZ-FE V8 (VVT-i) 276 hp (2007–2009),"^ ""Toyota Hybrid - Transmissions line-up"". toyota-club.net. Retrieved May 30, 2023.","CrewMax 4WD: 76.0 in (1,930 mm)","^ Levine, Mike (August 20, 2010). ""Toyota Lowers Tundra Tow Ratings, Gains Credibility"". PickupTrucks.com. Retrieved April 2, 2013.","The 2008 models featured additional standard features at a lower price, and also","The 2008 models featured additional standard features at a lower price, and also included a new ""Tundra Grade"" trim which is slotted below the SR5 trim and geared toward tradespeople and the price-conscious consumer.[11] Toyota made E85 fuel capability standard for 2009 Tundras equipped with the 5.7L V8 in select regions.",,
,,,Truck Cab SR SR5 Limited Platinum 1794 TRD Pro,L 1UR-FE V8 (VVT-i) 310 hp (2010–2019),"^ Neff, John (December 14, 2007). ""Aw Snap! Toyota recalling 15,600 Tundras for transmission shaft problems"". Autoblog. Retrieved February 29, 2016.",Toyota Tundra SR 4WD Double Cab,"^ ""Toyota Unveils 2014 Redesigned Tundra Full-Size Pickup Truck at 2013 Chicago Auto Show"" (Press release). US: Toyota. February 7, 2013. Retrieved February 10, 2013.",Toyota also updated the TRD Sport package and added a TRD Rock Warrior package.,Toyota also updated the TRD Sport package and added a TRD Rock Warrior package.,,
,,,"In 2023, for the 2024 model year, a new ""Terra"" color became available only for the TRD Pro trim.[84]",L 3UR-FE V8 (Dual VVT-i) 381 hp (2007–2021),,Toyota Tundra SR5 4WD Double Cab,"^ ""2022 Toyota Tundra | Engineered for Adventure"". US: Toyota. Retrieved May 31, 2022.","For added safety, driver and front passenger knee airbags became standard and NH","For added safety, driver and front passenger knee airbags became standard and NHTSA frontal crash test scores improved to five stars.[13] The 2010 Tundra began arriving at dealers in late April 2009.",,
,,,"In 2024, for the 2025 model year, the TRD Rally Package became available on all trim levels, and a new ""Mudbath"" color was available only for the TRD Pro trim.[85]",Toyota made E85 fuel capability standard for 2009 Tundras equipped with the 5.7L V8 in select regions. Toyota also updated the TRD Sport package and added a TRD Rock Warrior package. Prices increased 0.4% over the previous 2008 model year.[12],,April 2009: An Edmunds.com test of 4x4 trucks resulted in a second-place finish for the Tundra.[59],"^ Blackley, Julie (2019). ""Cars Original Owners Keep for 15 Years or Longer"". iSeeCars. US. Retrieved February 10, 2019.",Special editions and option packages[edit] Ivan Ironman Stewart Signature Series,"Special editions and option packages[edit] Ivan Ironman Stewart Signature Series Tundra[edit] In June 2008, Toyota introduced the Ivan ""Ironman"" Stewart Signature Series Tundra.",,
,,,"In 2025, for the 2026 model year, a new ""Wave Maker"" color became available only for the TRD Pro trim.[86]",Engines[edit],,: Peterson's 4-wheel & Off Road magazine gave the Tundra a second-place finish in their 2008 4x4 of the Year competition. First place went to the Toyota Land Cruiser.[66],"^ ""2007 Chevrolet Silverado vs. 2007 Toyota Tundra - Full-size Truck Comparison & Review"". Truck Trend. Retrieved October 17, 2010.","Three different packages are offered, one of which includes the TRD Supercharger","Three different packages are offered, one of which includes the TRD Supercharger.[14][15] As of 2008, Stewart has won the Baja 500 seventeen times driving Toyota vehicles.[16] Rock Warrior Package[edit] For the 2009 model year, Toyota introduced a new off-road themed option package called the TRD Rock Warrior.",,
,,,Tundra Limited,,,,"^ ""2007 Chevrolet Silverado vs 2007 Toyota Tundra - Head to Head Road Test & Review"". Motor Trend. Retrieved December 12, 2009.",This option package was only available on the 4x4 Tundras with either the Double,This option package was only available on the 4x4 Tundras with either the Double Cab or the CrewMax cab.,,
,,,varies by trim/option,,,,"^ ""2007 Chevrolet Silverado vs. 2007 Toyota Tundra - Full Size Truck Comparison Road Test & Review"". Truck Trend. February 26, 2007. Retrieved October 17, 2010.",The TRD Rock Warrior package was only available in Black or Super White.,The TRD Rock Warrior package was only available in Black or Super White.,,
,,,Toyota Tundra Limited & Platinum variants (2025)[97],,,,"^ ""Toyota Tundra, Chevrolet Silverado Rank Best In Tests Of Four, Full-Sized, Crew-Cab Pickups By Consumer Reports"". Theautochannel.com. Retrieved October 17, 2010.","For the 2011 model year, the Rock Warrior package continued with some minor chan","For the 2011 model year, the Rock Warrior package continued with some minor changes.",,
,,,"^ ""Racing Legend Ivan ""IRONMAN"" Stewart Announces Limited Edition 504+ Horsepower Tundra"". Business Wire. June 30, 2008. Retrieved February 28, 2016.",,,,"^ ""2007 Chevrolet Silverado v 2007 Dodge Ram v 2007 Ford F-150 v 2007 Nissan Titan v 2007 Toyota Tundra - Pickups/Comparison Test/Reviews/Car and Driver"". Car And Driver. Archived from the original on September 6, 2008. Retrieved October 17, 2010.","(Available only in: Black, Radiant Red, Magnetic Gray Metallic, or Super White.)","(Available only in: Black, Radiant Red, Magnetic Gray Metallic, or Super White.)[17] Platinum Package[edit] For the 2010 model year, a new luxury option group called the Platinum package was made available exclusively on CrewMax Tundras.",,
,,,"^ Reynolds, Kim (July 2009). ""2009 Ford F-150 SuperCrew Lariat vs. 2009 Toyota Tundra SuperCrew Limited Comparison"". Motor Trend. p. 4. Retrieved September 4, 2015.",,,,,"The package included a chrome front bumper, unique 20-inch aluminum wheels, Plat","The package included a chrome front bumper, unique 20-inch aluminum wheels, Platinum badges, and a power moon roof.",,
,,,,,,,,This option group included heated and ventilated bucket seats with perforated le,"This option group included heated and ventilated bucket seats with perforated leather trim, power controls, and embroidered headrests.[18] For 2010–2012, the Platinum was offered as a luxury package.",,
,,,,,,,,"For 2013, the Platinum package was made into a trim level.","For 2013, the Platinum package was made into a trim level.",,
,,,,,,,,The hood line was raised and the tailgate includes a spoiler.,The hood line was raised and the tailgate includes a spoiler.,,
,,,,,,,,"The interior featured a standard 3.5-inch information screen, Bluetooth connecti","The interior featured a standard 3.5-inch information screen, Bluetooth connectivity, and back up camera.",,
,,,,,,,,A 38-gallon fuel tank option (standard is 26.4 gallons) on 5.7L V8 SR5 models wa,"A 38-gallon fuel tank option (standard is 26.4 gallons) on 5.7L V8 SR5 models was included with the SR5 Upgrade Package, while it was standard on Limited, Platinum, 1794 Edition, and TRD Pro.",,
,,,,,,,,An integrated trailer brake controller was added and was standard on (and exclus,An integrated trailer brake controller was added and was standard on (and exclusive to) all 5.7L V8 models.,,
