Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Porsche,Taycan,door shooting brake (Taycan Cross Turismo / Taycan Sport Turismo),"Dual-motor, all-wheel-drive (Taycan 4, 4S, GTS, Turbo & Turbo S)",Transmission,"^ Hoffman, Connor (19 January 2021). ""2021 Porsche Taycan's New RWD Base Model Is Way Cheaper"". Car and Driver. Retrieved 19 April 2022.","""Mission E"" redirects here. For the anime TV series, see Mission-E.",An optional dashboard screen above the glovebox allows the front passenger to cu,An optional dashboard screen above the glovebox allows the front passenger to customise the infotainment system.,,
,,,"Wheelbase 2,900 mm (114.2 in)",Engine 2× AC synchronous electric motors,speed direct-drive (front 8.05:1),"^ Weintraub, Seth (29 June 2020). ""Porsche Taycan RWD makes China debut w/489km of NEDC range, uncertain if coming to US market"". Electrek. Retrieved 6 July 2020.","a b Lambert, Fred (26 December 2016). ""10 electric cars coming in the next 3 years : 4 – Audi Q6 e-tron quattro SUV"". Electrek. Retrieved 17 March 2017.","Available with additional body cladding, rugged black plastic trim, and other cr","Available with additional body cladding, rugged black plastic trim, and other crossover-like features, spec options include an off-road Design package and 'Gravel' drive mode.",,
,,,Taycan Sport Turismo[edit],Power output 300 kW (408 hp) – 760 kW (1033 hp),speed automatic (rear; 16:1 and 8.05:1)[4],,"^ Lambert, Fred (29 July 2019). ""Porsche has 30,000 Taycan electric car reservations"". Electrek.",Taycan Turbo[37] 650 kW (872 hp) 940 N⋅m (693 ft⋅lb) 520 kW (697 hp) 20.5–18.0 k,"Taycan Turbo[37] 650 kW (872 hp) 940 N⋅m (693 ft⋅lb) 520 kW (697 hp) 20.5–18.0 kWh/100 km (102–116 mpg‑e) 83–94 mpg‑e (25.2–22.3 kWh/100 km) Taycan Turbo S[38] 700 kW (939 hp) 1,110 N⋅m (819 ft⋅lb) 570 kW (764 hp) 20.5–17.9 kWh/100 km (102–117 mpg‑e) 78–90 mpg‑e (26.9–23.3 kWh/100 km) Taycan Turbo GT[39] 760 kW (1,019 hp) 1,340 N⋅m (988 ft⋅lb) 580 kW (778 hp) 21.6–20.7 kWh/100 km (97–101 mpg‑e) 76–86 mpg‑e (27.6–24.4 kWh/100 km) Notes ^ Cross Turismo only ^ Sport Turismo ^ Taycan, Cross Turismo;",,
,,,Taycan Sport Turismo GTS,kWh (82.3 kWh net battery energy content) liquid-cooled lithium-ion,Name Battery Power Torque 0–60 mph 0–100 km/h Top speed WLTP[58][59] EPA[60][58],,,awarded the Taycan five stars out of five in its review of the car.[77] In Apri,"awarded the Taycan five stars out of five in its review of the car.[77] In April 2021, the Taycan Cross Turismo was awarded Best Estate in the 2021 Top Gear Electric Awards.[78] In December 2022, Bloomberg named the Taycan as a great other option to the Model X from Tesla for those frustrated by Elon Musk.[79] Concept models[edit] Porsche Mission E[edit] The concept car which previewed the Taycan was the Porsche Mission E, unveiled at the 2015 Frankfurt Motor Show.",,
,,,^ Sport Turismo,"or 105 kWh (97 kWh net battery energy content) liquid-cooled lithium-ion ""Performance Battery Plus""",Name Battery Power Torque 0–60 mph 0–100 km/h Top speed WLTP[58] EPA[58],,,"""2022 Porsche Taycan: 6 Reasons Why The Standard Taycan Is The Best"".","""2022 Porsche Taycan: 6 Reasons Why The Standard Taycan Is The Best"".",,
,,,"^ Taycan, Cross Turismo; option for Sport Turismo",kWh (71.0 kWh usable) liquid-cooled lithium-ion,"^ ""Top speed. Even when at a standstill"". www.porsche.com.",,,"^ ""Porsche Charging options for on the road.","^ ""Porsche Charging options for on the road.",,
,,,door estate - Sport Turismo,"or 93.4 kWh (83.7 kWh usable) liquid-cooled lithium-ion ""Performance Battery Plus""",,,,,,,
,,,Taycan Sport Turismo[56] PB,Electric range 2024–present:,,,,,,,
,,,Taycan 4S Sport Turismo PB,kW (800 volt) DC,,,,,,,
,,,"Taycan GTS Sport Turismo[57] 440 kW (598 PS; 590 hp) 850 N⋅m (627 lb⋅ft) 2,310 kg (5,093 lb) 3.5 sec 3.7 sec TBC TBC",kW (400 volt) DC using onboard step-up converter,,,,,,,
,,,"Taycan Turbo Sport Turismo 500 kW (680 PS; 671 hp) 2,330 kg (5,137 lb) 3.0 sec 3.2 sec 260 km/h (162 mph) 204 mi (328 km)",kW (400 volt 3 phase) AC using onboard rectifier,,,,,,,
,,,"Taycan Turbo S Sport Turismo 560 kW (761 PS; 751 hp) 1,050 N⋅m (774 lb⋅ft) 2,325 kg (5,126 lb) 2.6 sec 2.8 sec 202 mi (325 km)",kW (240 volt single phase) AC using onboard rectifier,,,,,,,
,,,"a b Vanderwerp, Dave (4 September 2019). ""2020 Porsche Taycan Electric Sports Saloon Is the First Real Threat to Tesla"". Car and Driver. Retrieved 4 September 2019.",Turbo GT (Front view),,,,,,,
,,,"a b ""The new Taycan Sport Turismo: a practical all-rounder with on-road dynamics"" (Press release). Porsche Newsroom. 19 January 2022. Retrieved 21 March 2022.",Taycan 79.2 kWh,,,,,,,
,,,"^ Hoffman, Connor (19 January 2021). ""2021 Porsche Taycan's New RWD Base Model Is Way Cheaper"". Car and Driver. Retrieved 19 April 2022.",(71) Rear 300 kW (402 hp) 345 N⋅m (254 ft⋅lb) 240 kW (322 hp) 28.0 kWh/100 km (75 mpg‑e) 79–88 mpg‑e (43–38 kWh/100 mi),,,,,,,
,,,"^ ""World premiere of the Cross Turismo: the all-rounder among electric sports cars"" (Press release). Porsche AG. 4 March 2021. Retrieved 19 April 2022.",,,,,,,,
,,,"^ Quiroga, Tony (8 October 2021). ""Tested: 2021 Porsche Taycan Performance Battery Plus Is a Base Hit"". Car and Driver. Retrieved 19 April 2022.",,,,,,,,
,,,"^ ""2022 Porsche Taycan GTS Sedan and Taycan GTS Sport Turismo"" (Press release). Porsche Cars North America. 16 November 2021. Retrieved 19 April 2022.",,,,,,,,
,,,"^ ""The new Taycan Sport Turismo: a practical all-rounder with on-road dynamics"" (Press release). Porsche AG. 19 January 2022. Retrieved 19 April 2022.",,,,,,,,
,,,"a b Wong, Jon (4 September 2019). ""2020 Porsche Taycan arrives with up to 750 hp, $150,900 base price"". Road Show. Retrieved 5 September 2019.",,,,,,,,
