Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Tesla,Cybertruck,"Wheelbase 143.11 in (3,635 mm)",Electric motor,Transmission Single-speed fixed (15:1 ratio),"Rear motor, rear-wheel drive","Tesla's stated goal was to provide a sustainable energy substitute for the roughly 6,500 fossil-fuel-powered pickup-trucks sold per day in the United States.[22]","To bridge the gap between concept and actual range, Tesla announced an optional","To bridge the gap between concept and actual range, Tesla announced an optional ""range extender"" to be offered in the future: a 50 kWh battery pack that would be installed in the truck bed.",,
,,,"In June 2023, chief designer Franz von Holzhausen drove an early build Cybertruck to an event at the Petersen Automotive Museum.[41] The first unit was assembled at Gigafactory Texas in July 2023,[42] though Tesla later clarified that this was part of pilot production.[42]","Battery 123 kWh lithium-ion (816 V, 150 Ah)",Top speed 112 mph (180 km/h) 130 mph (210 km/h),"Dual- or tri-motor, all-wheel drive","According to Musk, the design of the Cybertruck was inspired by Blade Runner and ""Wet Nellie"", the Lotus Esprit driven by James Bond in The Spy Who Loved Me, which doubled as a submarine.[56]","^ ""Tesla Cybertruck Will Have Quad-Motor Option, Rear Steering"".","^ ""Tesla Cybertruck Will Have Quad-Motor Option, Rear Steering"".",,
,,,Cybertruck trim specifications[71][1][73][74],Electric range 320–350 mi (515–565 km) EPA est.,"April 16, 2024 Speed control Accelerator pedal can dislodge and get trapped, causing unwanted acceleration pedal assembly replacement",RWD: Permanent magnet,"Tesla had considered introducing a quad-motor version in late 2021; however, this configuration was not included in the production models released in late 2023.[72]","2024 model year test group RTSLD00.0L2C evaporative family not listed"".","2024 model year test group RTSLD00.0L2C evaporative family not listed"".",,
,,,"June 18, 2024 Structure Trunk bed trim sail can come loose, creating a road hazard tape or adhesion replacement","kW at 240 V, 48 A","^ ""Cybertruck Owner's Manual | Tesla"". Tesla.","AWD: Induction (front), permanent magnet (rear)","As of October 2025, the Cybertruck has been subject to ten recalls. Some have been resolved with software updates which are pushed to the vehicle and installed by customers, but the remaining have required owners to arrange for a repair of their vehicle.[122][142]","• Length 223.7-inches • Height 70.5-inches • Width 95-inches • Weight 3,000-kgs","• Length 223.7-inches • Height 70.5-inches • Width 95-inches • Weight 3,000-kgs • Cargo 120.9-cubic feet Standard equipment includes the features that come with this vehicle.",,
,,,"March 20, 2025 Structure Stainless steel exterior trim panel could come unglued and detach while driving, creating a road hazard[122][144] trim panel replacement",≤250 kW at 400 V[1],"^ ""Tesla Cybertruck Manual"". service.tesla.com. Retrieved March 12, 2024.","AWD: 6,660 lb (3,020 kg)[4]","June 18, 2024 Visibility Windshield wiper can fail, reducing visibility and increasing the risk of a crash wiper motor replacement",Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,"^ Zachariah, Ben (December 14, 2022). ""Tesla Robovan could arrive in 2024 based on Cybertruck platform"". Drive. Australia. Retrieved January 2, 2024.",≤350 kW at 800 V[2],,All-wheel drive Cyberbeast,"^ Lassa, Todd (July 27, 2016). ""Tesla's Lofty Master Plan, Part Deux, is a Familiar Blueprint"". Motor Trend. Motor Trend Group. Retrieved January 2, 2024.","For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,"^ Silvestro, Brian. ""Watch The Tesla Cybertruck Beat A Porsche 911 In A Drag Race While Towing A 911"". Motorsport Network. Motor1.com. Archived from the original on December 3, 2023. Retrieved December 3, 2023.",Power 315 hp (235 kW)[69] 600 hp (450 kW) 845 hp (630 kW),,"The RWD ""Long Range"" configuration is specified with an estimated range of 350 miles (560 km),[54] the AWD configuration a range of 325 miles (523 km) and the ""Cyberbeast"" a range of 300 miles (480 km).[77]","^ Matsakis, Louise (November 26, 2019). ""Cybertruck Swag Has Flooded Amazon and Etsy"". Wired. Archived from the original on November 30, 2019. Retrieved December 6, 2019.",2024 Tesla Cybertruck Configurations Select up to 3 trims below to compare some,2024 Tesla Cybertruck Configurations Select up to 3 trims below to compare some key specs and options for the 2024 Tesla Cybertruck.,,
,,,"^ Huddleston, Tom (November 22, 2019). ""This is the James Bond sports car Elon Musk bought for nearly $1 million that inspired Tesla Cybertruck"". CNBC. Archived from the original on November 27, 2019. Retrieved November 22, 2019.",The dual-motor and tri-motor Cybertruck configurations provide up to 9.6 kW of continuous vehicle-to-load (V2L) AC power through five integrated outlets:[88],,"^ Ashraf, Anan (August 12, 2024). ""Tesla Cybertruck Lead Engineer Confirms Rear-Wheel Drive Variant Of Stainless Steel Truck Has Not Been Canceled"". Benzinga. Retrieved April 18, 2025.","^ Allain, Rhett. ""Tesla Cybertruck vs. Ford F-150: It's All About the Friction"". Wired. ISSN 1059-1028. Archived from the original on December 3, 2020. Retrieved December 16, 2020.","With 25 optional extra accessories to add to your Tesla Cybertruck, the zeros ca","With 25 optional extra accessories to add to your Tesla Cybertruck, the zeros can quickly add up, tipping over the £10k barrier.",,
,,,"^ Clough, Richard (October 30, 2025). ""Tesla Recalls Cybertruck a 10th Time in Less Than 2 Years - TT"". Transport Topics. Retrieved October 30, 2025.",Mid-voltage electrical system,,"a b Evans, Scott (April 11, 2025). ""Tesla Releases RWD Cybertruck Long Range: It's Still $72,000 and Has Way Less Stuff"". MotorTrend. Retrieved April 18, 2025.","a b Shakir, Umar (November 30, 2023). ""Tesla delivered the Cybertruck: here's how to preorder one"". The Verge. Archived from the original on December 1, 2023. Retrieved December 2, 2023.",,,,
,,,"^ Belanger, Ashley (March 20, 2025). ""Cybertrucks' faulty trim prompts biggest recall yet, stokes Tesla investor panic"". Ars Technica. Retrieved April 6, 2025.","January 29, 2024 Electrical Warning lights with a small font size can make critical safety information on the instrument panel hard to read, increasing the risk of a crash software update",,"^ Crothers, Brooke. ""Tesla Cybertruck Gets Massive Price Cut For Both AWD And Cyberbeast"". Forbes. Retrieved January 31, 2025.","^ Brown, Frederic J. (May 17, 2022). ""Tesla stops taking orders for Cybertruck outside North America"". CNBC. Archived from the original on December 4, 2023. Retrieved December 4, 2023.",,,,
,,,,"November 24, 2024 Electrical Inverter fault may cause loss of drive power increasing the risk of a crash drive inverter replacement",,"^ ""Vehicle Detail Search - 2024 TESLA CYBERTRUCK PU/CC AWD"". NHTSA. Retrieved October 7, 2024.","a b Visconti, Zachary (July 22, 2024). ""First Tesla Cybertrucks appear to have been registered in Europe"". TESLARATI.",,,,
,,,,"^ Nishimoto, Alex (July 20, 2016). ""Tesla's Secret Master Plan Part Deux Details Electric Pickup, Semis"". Motor Trend. Motor Trend Group. Retrieved January 2, 2024.",,,"^ Torchinsky, Jason (November 6, 2023). ""Tesla's Head Designer Drove A Black Cybertruck To A Car Show And Everyone's Making Fun Of It. Here Are All The Pics So You Can Judge For Yourself"". The Autopian. Archived from the original on November 29, 2023. Retrieved November 27, 2023.",,,,
,,,,"^ Loveday, Eric (August 6, 2019). ""Tesla Electric Pickup Truck To Be Called Model B?"". Inside EVs. Archived from the original on November 30, 2019. Retrieved December 1, 2019.",,,"^ Huddleston, Tom (November 22, 2019). ""This is the James Bond sports car Elon Musk bought for nearly $1 million that inspired Tesla Cybertruck"". CNBC. Archived from the original on November 27, 2019. Retrieved November 22, 2019.",,,,
,,,,"^ Kolodny, Lora (November 21, 2019). ""Tesla unveils its first electric pickup, the Cybertruck, starting at $39,900"". CNBC. Retrieved December 30, 2023.",,,"^ Diaz, Jesus (August 28, 2023). ""Tesla's Cybertruck has a serious problem that only a complete redesign can fix"". Fast Company. Archived from the original on November 30, 2023. Retrieved November 30, 2023.",,,,
,,,,"^ Carter, Tom (December 2, 2023). ""Cybertruck deliveries have finally begun, but Tesla's electric truck is unavailable in Europe"". Business Insider. Archived from the original on December 3, 2023. Retrieved December 4, 2023.",,,"^ Hull, Dana (November 28, 2023). ""Musk's Cybertruck Is Already a Production Nightmare for Tesla"". Bloomberg.com. Retrieved February 25, 2024.(subscription required)",,,,
,,,,,,,"^ Smith, Fred (November 30, 2023). ""Tesla's Cybertruck Can Output 11.5 kW of Power to Your Home"". Road & Track. Archived from the original on December 7, 2023. Retrieved December 6, 2023.",,,,
,,,,,,,"^ Diaz, Jesus (August 28, 2023). ""Tesla's Cybertruck has a serious problem that only a complete redesign can fix"". Fast Company. Retrieved June 22, 2024.",,,,
,,,,,,,"^ Lambert, Fred (December 22, 2025). ""Tesla Cybertruck is going to be a $35,000 truck in 18 months, expert says"". electrek. Retrieved December 25, 2025.",,,,
