Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,BMW,CE 04,"Wheelbase 66.0 in (1,680 mm)",Class Electric scooter,Top speed 75 mph (121 km/h),,Predecessor BMW C evolution,"A two-channel anti-lock braking system from Bosch is fitted; as an option, the A","A two-channel anti-lock braking system from Bosch is fitted; as an option, the ABS Pro system includes a tilt sensor, regulating braking during cornering.[16] Features[edit] The instrument panel features a 10.25 in (260 mm) TFT color screen with integrated navigation and connectivity with the rider's smartphone through a Bluetooth and a Wi-Fi connection.",,
,,,C1C600 Sport & C650GTBMW C400X & C400GT,"Engine EMP156 synchronous electric motor, permanent magnet with liquid cooling",Transmission 1-speed,,"A derating version is available, for driving license reasons and their specifications are reduced to 31 hp (23 kW) (15 hp (11 kW) continuous).[15]",Traction control is available as an option.[14] An adaptive headlight is optiona,"Traction control is available as an option.[14] An adaptive headlight is optional, which provides additional light depending on lean angle.[16] A reversing aid is provided, controlled by a handlebar-mounted switch on the left side.",,
,,,HP2 EnduroHP2 MegamotoHP2 SportHP4,Power 42 hp (31 kW) @ 4900,,,,"^ ""BMW Group to Host Los Angeles Media Showcase"".","^ ""BMW Group to Host Los Angeles Media Showcase"".",,
,,,,The BMW CE 04 is an electric scooter produced by BMW Motorrad.,,,,"BMW Group, Pressclub USA.","BMW Group, Pressclub USA.",,
,,,,"A derating version is available, for driving license reasons and their specifications are reduced to 31 hp (23 kW) (15 hp (11 kW) continuous).[15]",,,,,,,
,,,,"a b Hawkins, Andrew J. (November 11, 2020). ""BMW's new electric scooter concept aims to be your perfect cyberpunk mount"". The Verge. Retrieved 2 February 2022.",,,,,,,
,,,,"^ O'Kane, Sean (July 7, 2021). ""BMW's actually making the futuristic CE 04 electric scooter"". The Verge. Retrieved 2 February 2022.",,,,,,,
,,,,"^ Child, Adam (31 January 2022). ""BMW CE 04 electric scooter review"". Autocar. Retrieved 2 February 2022.",,,,,,,
,,,,"^ Ramey, Jay (October 26, 2021). ""BMW CE 04 Electric Scooter Gets the Polizei Pack"". Autoweek. Retrieved 4 February 2022.",,,,,,,
,,,,"a b c ""BMW CE 04 Electric Scooter | First Look Review"". Rider Magazine. July 26, 2021. Retrieved 2 February 2022.",,,,,,,
,,,,Electric,,,,,,,
,,,,engineBMW Motorcycle Owners of AmericaHistory of BMW motorcyclesList of BMW motorcycles,,,,,,,
