Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Chrysler,Pacifica,,,,,,"Vehicles using the nameplate are: Chrysler Pacifica concept (1999), concept min","Vehicles using the nameplate are: Chrysler Pacifica concept (1999), concept minivan Chrysler Pacifica concept (2002), concept crossover Chrysler Pacifica (crossover) (2004–2008), production version of the 2002 concept Chrysler Pacifica (minivan) (2017–present), Chrysler Town & Country replacement 2004–2008 Chrysler Pacifica (crossover) 2017–present Chrysler Pacifica (minivan) This set index article includes a list of related items that share the same name (or similar names).","It features a standard dual-pane panoramic sunroof, available all-wheel drive, and an opti","It features a standard dual-pane panoramic sunroof, available all-wheel drive, and an optional Trailer Tow Group."
,,,,,,,,"2025 Chrysler Pacifica Specs, Features & Options Here's everything you need to k","2025 Chrysler Pacifica Specs, Features & Options Here's everything you need to know about each trim in the 2025 Chrysler Pacifica lineup.","Stylish 20-inch wheels, available hands-free sliding doors, and a Stow N Place roof rack e","Stylish 20-inch wheels, available hands-free sliding doors, and a Stow N Place roof rack enhance its design."
,,,,,,,,2025 PACIFICA OWNER'S M ANUAL This Owner Manual illustrates and describes the op,2025 PACIFICA OWNER'S M ANUAL This Owner Manual illustrates and describes the operation of features and equipment that are either standard or optional on this vehicle.,"Standard with a dual-pane panoramic sunroof and offering optional all-wheel drive, the Pin","Standard with a dual-pane panoramic sunroof and offering optional all-wheel drive, the Pinnacle boasts a sophisticated exterior featuring 20-inch polished wheels, platinum chrome accents, and hands-free sliding side doors."
,,,,,,,,This manual may also include a description of features and equipment that are no,This manual may also include a description of features and equipment that are no longer available or were not ordered on this vehicle.,,
,,,,,,,,"The ""S Appearance"" package is standard, and it's truly revolutionary in terms of","The ""S Appearance"" package is standard, and it's truly revolutionary in terms of style and flair.",,
,,,,,,,,"It features a standard dual-pane panoramic sunroof, available all-wheel drive, a","It features a standard dual-pane panoramic sunroof, available all-wheel drive, and an optional Trailer Tow Group.",,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,,,,,Standard with a dual-pane panoramic sunroof and offering optional all-wheel driv,"Standard with a dual-pane panoramic sunroof and offering optional all-wheel drive, the Pinnacle boasts a sophisticated exterior featuring 20-inch polished wheels, platinum chrome accents, and hands-free sliding side doors.",,
