Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Dodge,Hornet,"Wheelbase 2,636 mm (103.8 in)[8]","Layout Front-engine, four-wheel-drive layout",Transmission,Hybrid drivetrain,"In late 2022, Dodge CEO Timothy Kuniskis announced plans for the more powerful model.[27] The Hornet R/T GLH was unveiled on March 22, 2023, featuring visual upgrades, such as lowered springs, 20-inch wheels, unique graphics, and a louder exhaust.[28]",Rear view Interior Equipment[edit] The base GT includes 17-inch aluminum whee,"Rear view Interior Equipment[edit] The base GT includes 17-inch aluminum wheels, rain-sensing windshield wipers, and dual-zone automatic climate control.",,
,,,Motorsports[edit],Engine,speed automatic (GT),,Predecessor Dodge Dart Rally Cross,The GT Plus adds a 14-speaker Harman Kardon stereo and in-dash navigation.,The GT Plus adds a 14-speaker Harman Kardon stereo and in-dash navigation.,,
,,,"^ Wood, Colin (10 September 2024). ""An interesting nugget of info I came across for anyone buying a 2025 Dodge Hornet"". grassrootsmotorsports.com. Retrieved 8 November 2025.",L Hurricane4 turbo I4 (GT),speed automatic (RT),,"^ Heaps, Russ. ""2024 Dodge Hornet"". Kelley Blue Book. Retrieved 13 July 2023.",Standard driver-assistance features include automated emergency braking with ped,"Standard driver-assistance features include automated emergency braking with pedestrian and cyclist detection, blind-spot monitoring, and parking sensors.",,
,,,,Petrol plug-in hybrid:,Power Torque Top speed Transmission Acceleration (0-60/100) Propulsion type Battery Powertrain layout Displacement Model years,,"^ Cesari, Henry (February 24, 2022). ""How Did the 2023 Dodge Hornet Get Its Name? Does the rumored Dodge Hornet's name sound familiar? Here's why..."" motorbiscuit.com. Retrieved November 6, 2025.",The optional Tech package adds adaptive cruise control with lane centering.,The optional Tech package adds adaptive cruise control with lane centering.,,
,,,,L turbo I4 (R/T),"GT 268 hp (200 kW; 272 PS) at 6600 295 lb⋅ft (400 N⋅m) at 4600 225 km/h (140 mph) 9-speed automatic 6.5 sec Petrol — Front-engine, four-wheel-drive 122 cu in (2.0 L; 1,999.2 cc) 2023-2025",,,"The Cold Weather Group package combines heated seats, a heated steering wheel, a","The Cold Weather Group package combines heated seats, a heated steering wheel, and remote start.",,
,,,,Electric motor Dual electric motors[6],"R/T 288 hp (215 kW; 292 PS) at 6000 383 lb⋅ft (519 N⋅m) at 4400 206 km/h (128 mph) 6-speed automatic 5.6 sec Hybrid 15.5 kWh lithium-ion Front-engine, four-wheel-drive 81 cu in (1.3 L; 1,327.4 cc)",,,Black cloth and synthetic leather upholstery with red stitching is standard on t,"Black cloth and synthetic leather upholstery with red stitching is standard on the GT, while the GT Plus trim comes with leather.",,
,,,,Hybrid drivetrain,Transmission Direct Drive,,,The optional Track package includes imitation suede or a red leather interior.,The optional Track package includes imitation suede or a red leather interior.,,
,,,,Plug-in hybrid,,,,2025 models[edit] Minor changes for 2025 included redesigned LED headlights and,2025 models[edit] Minor changes for 2025 included redesigned LED headlights and two new exterior color options.,,
,,,,kWh lithium-ion[7],,,,The available Track package for 2025 includes steering-wheel shift paddles.,The available Track package for 2025 includes steering-wheel shift paddles.,,
,,,,Electric range More than 30 mi (48 km),,,,,,,
,,,,"GT 268 hp (200 kW; 272 PS) at 6600 295 lb⋅ft (400 N⋅m) at 4600 225 km/h (140 mph) 9-speed automatic 6.5 sec Petrol — Front-engine, four-wheel-drive 122 cu in (2.0 L; 1,999.2 cc) 2023-2025",,,,,,,
,,,,"R/T 288 hp (215 kW; 292 PS) at 6000 383 lb⋅ft (519 N⋅m) at 4400 206 km/h (128 mph) 6-speed automatic 5.6 sec Hybrid 15.5 kWh lithium-ion Front-engine, four-wheel-drive 81 cu in (1.3 L; 1,327.4 cc)",,,,,,,
,,,,Engine 4 Electric motors M4,,,,,,,
,,,,The majority of Hornet sales have been the plug-in hybrid (R/T) variety.[34],,,,,,,
,,,,"a b ""Dodge Hornet R/T Hybrid - The Next Generation of Performance"". dodge.com. Retrieved 13 July 2023.",,,,,,,
