Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Infiniti,Q50,"Wheelbase 2,850 mm (112.2 in)","Front-engine, rear-wheel-drive",Transmission,"Early US and Canada models include 3.7-liter V6 (333PS), 3.5-liter Hybrid (364 PS), each in a choice of rear-wheel drive or Intelligent All-Wheel Drive and in a selection of trim levels, including Sport models.[14][15][16]",Predecessor Infiniti G,"The Thom Browne 2014 Infiniti Q50 includes a chrome body finish, red, white and","The Thom Browne 2014 Infiniti Q50 includes a chrome body finish, red, white and blue stripes from the seats to the floor mats and stitching on the steering wheel.","Discover the 2025 INFINITI QX50 compact SUV with all-wheel drive, 268 HP, rear Captain's C","Discover the 2025 INFINITI QX50 compact SUV with all-wheel drive, 268 HP, rear Captain's Chairs, foldable second row seats and 3,000 lbs."
,,,"Early US and Canada models include 3.7-liter V6 (333PS), 3.5-liter Hybrid (364 PS), each in a choice of rear-wheel drive or Intelligent All-Wheel Drive and in a selection of trim levels, including Sport models.[14][15][16]","Front-engine, all-wheel-drive",speed manual (diesel),The early European models included 2.2d and hybrid.[20][21] Infiniti's 2.0 RWD (211 PS) model was added in 2014.[22],"Zac Posen's 2014 Infiniti Q50 includes body color fade from silver in front to charcoal in back, and from matte to shine; red-carpet interior color, shagreen handle and shagreen stick with leather piping.",Zac Posen's 2014 Infiniti Q50 includes body color fade from silver in front to c,"Zac Posen's 2014 Infiniti Q50 includes body color fade from silver in front to charcoal in back, and from matte to shine; red-carpet interior color, shagreen handle and shagreen stick with leather piping.",,
,,,t Red Sport 400,Engine,speed 7R01 automatic,In China the 2014 Q50 3.7L was sold as an imported vehicle until production in China could begin.[23][24] The 2.0 RWD (211 PS) model and the Q50 Hybrid also joined the line up.[22],"The two buyers also received a $10,000 Gilt.com shopping credit and a style consultation, a Thom Browne Solid Silver Personal Card Case (Browne version) or a Zac Posen Smartphone Clutch (Posen version).[27]","^ ""Infiniti adds 2.0-litre turbocharged petrol engine to Q50 range"".","^ ""Infiniti adds 2.0-litre turbocharged petrol engine to Q50 range"".",,
,,,"t Red Sport 400 AWD 406 PS (299 kW; 400 hp) at 6,400 rpm 475 N⋅m (350 lb⋅ft) at 1,600–5,200 rpm 4.5s 5.1s",L VR30DDTT twin-turbo V6,speed 7G-Tronic automatic,"Middle East models was set to go on sale in spring 2014 as 2014 model year vehicles. Early models include 3.7-liter V6 and 3.5-liter Hybrid, both in rear-wheel drive.[25]",t Red Sport 400,"^ Jump up to: a b ""Nissan Group reports 2022 fourth quarter and 2022 calendar y","^ Jump up to: a b ""Nissan Group reports 2022 fourth quarter and 2022 calendar year U.S.",,
,,,Motorsports[edit],L VQ35HR V6 (hybrid),"The vehicle was unveiled at the 2014 Geneva International Motor Show,[22] followed by the 2014 Goodwood Festival of Speed.[34][35][36]","AWD 2014–2015 3,696 cc (226 cu in) V6","t Red Sport 400 AWD 406 PS (299 kW; 400 hp) at 6,400 rpm 475 N⋅m (350 lb⋅ft) at 1,600–5,200 rpm 4.5s 5.1s","^ Jump up to: a b ""Nissan Group reports fourth-quarter 2022 and calendar year 2","^ Jump up to: a b ""Nissan Group reports fourth-quarter 2022 and calendar year 2022 Canadian sales"".",,
,,,"^ ""Long-Wheelbase Infiniti Q50L Announced for China - Motor Trend WOT"". 20 August 2014.",L VQ37VHR V6,Model Years Type/code Transmission Power Torque Acceleration,"Nissan VQ37VHR 7-speed 7R01 automatic 333 PS (245 kW; 328 hp) at 7,000 rpm 365 N⋅m (269 lb⋅ft) at 5,200 rpm 5.3s (RWD)","a b ""2014 Infiniti Q50 sports sedan brings inspired performance to Hong Kong"". infinitinews.com. Infiniti. 22 May 2014.","^ ""Nissan Group reports 2023 fourth quarter and 2023 calendar year U.S.","^ ""Nissan Group reports 2023 fourth quarter and 2023 calendar year U.S.",,
,,,"a b ""2014 Infiniti Q50 sports sedan brings inspired performance to Hong Kong"". infinitinews.com. Infiniti. 22 May 2014.",Diesel:,"Nissan VQ37VHR 7-speed 7R01 automatic 333 PS (245 kW; 328 hp) at 7,000 rpm 365 N⋅m (269 lb⋅ft) at 5,200 rpm 5.3s (RWD)",s (AWD) 5.5s (RWD),^ Infiniti Q50 Eau Rouge racing toward Detroit with Red Bull in its veins,"^ ""Nissan Group reports 2024 fourth quarter and 2024 calendar year U.S.","^ ""Nissan Group reports 2024 fourth quarter and 2024 calendar year U.S.",,
,,,"^ ""Infiniti Continues Production of G37 Sedan – Will Be Sold Alongside the All-New 2014 Q50 Premium Sedan"". infinitinews.com. Infiniti. 5 August 2013.",Electric motor 50 kW Nissan HM34 high-response motor (hybrid),"Mercedes-Benz M 274 DE 20 AL 7-speed 7G-Tronic automatic 211 PS (155 kW; 208 hp) at 5,500 rpm 350 N⋅m (258 lb⋅ft) at 1,250–3,500 rpm[41] Unknown 7.2s",s (AWD),"^ ""Infiniti reveals Formula One-inspired Q50 Eau Rouge in Detroit"". Archived from the original on 2018-11-12. Retrieved 2014-01-29.","^ ""Nissan Group Reports Fourth Quarter and Annual Sales for 2024"".","^ ""Nissan Group Reports Fourth Quarter and Annual Sales for 2024"".",,
,,,"^ ""Infiniti Announces $37,500 CDN Introductory Price For All-New 2014 Infiniti Q50 Sports Sedan"". infinitinews.com. Infiniti. 20 June 2013.",speed manual (diesel),"Nissan VR30DDTT 7-speed 7R01 automatic 304 PS (224 kW; 300 hp) at 6,400 rpm 400 N⋅m (295 lb⋅ft) at 1,600–5,200 rpm 5.0s 5.2s","t AWD 2016–2019 1,991 cc (121 cu in) I4 turbo","^ Mason, Dan (16 October 2014). ""Infiniti support our paras racing enter 2015 BTCC"". thecheckeredflag.co.uk. Retrieved 17 October 2014.","^ ""Nissan Group reports 2025 calendar year and 2025 fourth-quarter U.S.","^ ""Nissan Group reports 2025 calendar year and 2025 fourth-quarter U.S.",,
,,,"^ ""2014 Infiniti Q50: Price And Features For New Premium Sedan Range"". themotorreport.com.","Early US and Canada models include 3.7-liter V6 (333PS), 3.5-liter Hybrid (364 PS), each in a choice of rear-wheel drive or Intelligent All-Wheel Drive and in a selection of trim levels, including Sport models.[14][15][16]","Nissan VQ35HR 7-speed 7R01 automatic 306 PS (225 kW; 302 hp) at 6,800 rpm 350 N⋅m (258 lb⋅ft) at 5,000 rpm 4.9s (RWD)","t AWD 2016–2024 2,997 cc (183 cu in) V6","^ Edelstein, Stephen (September 21, 2015). ""Bad news: Infiniti won't build its GT-R-powered Q50 Eau Rouge after all"". digitaltrends.com. Digital Trends. Retrieved January 17, 2020.","The 2025 INFINITI QX50 comes standard-equipped with wireless Apple CarPlay®, giv","The 2025 INFINITI QX50 comes standard-equipped with wireless Apple CarPlay®, giving you the ability to enjoy the full suite of Apple's onboard connected offerings - all without ever connecting a cord or a cable.",,
