Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Mercedes,C-Class,"Wheelbase 2,962 mm (116.6 in)",Electric motor 2× Permanent Magnet Motors,,,"The Mercedes-Benz C-Class with EQ Technology is a battery electric compact executive car to be manufactured by Mercedes-Benz. Despite the name, it is not related to the internal combustion engine C-Class.","Design and specifications[edit] Similar to the related GLC with EQ technology,","Design and specifications[edit] Similar to the related GLC with EQ technology, the C-Class with EQ Technology features an illuminated grille including 1,050 LEDs and an illuminated three-pointed star logo.[2] The profile is described to be ""coupe-like"", though it still adopts a traditional trunk.[3] The interior features the optional continuous 39.1-inch ""Hyperscreen"" display, Burmester sound system, seat heating, ventilation and massage functions, as well as a ""Sky Control"" panoramic sunroof","There's comprehensive information on models, their specifications, standard equipment, ava","There's comprehensive information on models, their specifications, standard equipment, available paint colors, wheel ..."
,,,,Power output 483 hp (360 kW; 490 PS),,,,"The airmatic air suspension system is available optionally, with rear-wheel stee","The airmatic air suspension system is available optionally, with rear-wheel steering that provides 4.5 degrees of opposite steer to reduce the turning circle to 11.2 m (37 ft), and 2.5 degrees of steer in the same direction as the front wheels for stability.[3] References[edit] ^ ""The 2027 GLC EV's Glitzy Grille Will Spread to Other Mercedes EVs, Including the Upcoming C-Class EV"".",,
,,,,Battery 94 kWh Li-NMC,,,,"Apr 22, 20242025-c-class-sedan-order-guide-en_us PDF A document that serves as a","Apr 22, 20242025-c-class-sedan-order-guide-en_us PDF A document that serves as an order guide for the 2025 C-Class Sedan, providing detailed descriptions of its features and options.",,
,,,,"The Mercedes-Benz C-Class with EQ Technology is a battery electric compact executive car to be manufactured by Mercedes-Benz. Despite the name, it is not related to the internal combustion engine C-Class.",,,,It includes visual content like images of the car and components such as paint o,It includes visual content like images of the car and components such as paint options and upholstery.,,
,,,,"^ Chilton, Chris (2026-04-20). ""Mercedes' Electric C-Class Is The BMW i3's Neue Nightmare"". Carscoops. Retrieved 2026-04-20.",,,,"There's comprehensive information on models, their specifications, standard equi","There's comprehensive information on models, their specifications, standard equipment, available paint colors, wheel ...",,
,,,,"a b ""New Mercedes C-Class Electric revealed, but can't match the BMW i3 on range"". Auto Express. Retrieved 2026-04-20.",,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,,,,,"Packed with unmistakable S-class DNA in a compact package, the Mercedes-Benz C-c","Packed with unmistakable S-class DNA in a compact package, the Mercedes-Benz C-class brings similar style and appointments in a fun-size wrapper.",,
,,,,,,,,2025 Mercedes-Benz C-Class Configurations Select up to 3 trims below to compare,2025 Mercedes-Benz C-Class Configurations Select up to 3 trims below to compare some key specs and options for the 2025 Mercedes-Benz C-Class.,,
,,,,,,,,Featuring a chromed radiator grille embellished with the laurel wreath badge and,"Featuring a chromed radiator grille embellished with the laurel wreath badge and the star standing on the bonnet, the standard - equipment version of the C - Class Estate has all the inimitable exterior characteristics of a genuine Mercedes - Benz.",,
,,,,,,,,Over the following pages you'll find model prices and a breakdown of standard an,"Over the following pages you'll find model prices and a breakdown of standard and optional equipment, as well as details of the attractive finance offers and benefits that are available to every Mercedes-Benz driver.",,
