Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Mercedes,S-Class,"The more powerful 300SE and 300SEL models were classified as the W109 chassis, with front and rear air suspension (rather than the coil spring based W108 rear suspension), and available burl walnut interior trim, automatic transmission, and power windows.",Engine 2.2L I6,"The more powerful 300SE and 300SEL models were classified as the W109 chassis, with front and rear air suspension (rather than the coil spring based W108 rear suspension), and available burl walnut interior trim, automatic transmission, and power windows.","Layout Front engine, rear-wheel drive or four-wheel drive",Predecessor Mercedes-Benz W187,"Whilst over the following two decades, the S-Class became an established brand,","Whilst over the following two decades, the S-Class became an established brand, the nomenclature continued to come under increasing pressure in the 1980s in the unnamed 'standard' range which not only included the predecessors of the E-class, but also the compact W201 sedan, restricted to just the 190 series from 1982 and the W463 off-road G-wagen that began to be sold through regular Mercedes-Benz dealers in 1989.","Furthermore, the displays can be controlled using Touch Control buttons on the steering wh","Furthermore, the displays can be controlled using Touch Control buttons on the steering wheel."
,,,Mercedes-Benz 380 SE short wheelbase,Engine 2.2 L I6,Transmission 3-speed automatic,,Predecessor models[edit],"The belonging of the SL roadster in the S-Class was also questionable, particula","The belonging of the SL roadster in the S-Class was also questionable, particularly after the launch of the R129 model, which shared many chassis elements with the standard range W124.",,
,,,Mercedes-Benz 560 SEL long wheelbase,L V8,speed automatic,,"In 1991, the W140 series replaced the W126 line with the first production model assembled in April of that year. The W140 grew in proportions and featured two wheelbase lengths and a shorter-wheelbase W140 coupé. Production totalled 432,732 units.[citation needed]","During this period, the designation S for ""special class"" (German: ""Sonderklasse","During this period, the designation S for ""special class"" (German: ""Sonderklasse) was used for standard carbureted short-wheelbase models; an E for ""injection"" (German: ""Einspritzung""), was added to the 250SE, 280SE and 300SE.",,
,,,Mercedes-Benz S 420 short wheelbase,Engine 2.5 L I6,speed manual,,"Mercedes-Benz presented the W220 in July 1998, marketed as a sedan, only.[10] Despite being smaller than the previous generation, the W220 offered more interior space. Production of the W220 totaled 485,000 units.","The Mercedes-Benz S-Class is a classic chauffeur driven car,[6] and has frequent","The Mercedes-Benz S-Class is a classic chauffeur driven car,[6] and has frequently been used as standard by car hire companies.",,
,,,Mercedes-Benz S 500 long wheelbase,Engine 2.8 L M110 I6,Transmission 4-speed automatic,,"Introduced in 2003, the S 65 AMG offered the most powerful engine ever available in the S-Class.","Starting in 1975, the W116 was upgraded with a new fuel injection system to comp","Starting in 1975, the W116 was upgraded with a new fuel injection system to comply with revised exhaust emission standards in European markets.",,
,,,"In 1991, the W140 series replaced the W126 line with the first production model assembled in April of that year. The W140 grew in proportions and featured two wheelbase lengths and a shorter-wheelbase W140 coupé. Production totalled 432,732 units.[citation needed]",L M116 V8,Transmission 5-speed automatic and 7-speed automatic (7G-Tronic),,Mercedes-Benz S400 BlueHybrid (Germany),"Large boxy rear lights of the 1970s W116, the first official ""S-Class"" Engines[e","Large boxy rear lights of the 1970s W116, the first official ""S-Class"" Engines[edit] With the W116 models, the V8-engines of the 350/450 SE/SEL models were now regular options.",,
,,,Mercedes-Benz S 320 short wheelbase (Australia),L M117 V8,Transmission 7-speed (5-speed on S65 & S600) automatic,,"Available luxury appointments over and above what was offered in the W221 include a choice of massage type for each seat occupant (the W221 offered various intensities of a single massage type) and two levels of premium audio systems from the luxury German brand, Burmester.","Every 450 SEL 6.9 featured a self-leveling hydropneumatic suspension, and offere","Every 450 SEL 6.9 featured a self-leveling hydropneumatic suspension, and offered the ABS anti-lock braking system as an option from 1978 onwards.",,
,,,Mercedes-Benz S 600 long wheelbase (Europe),L M100 V8,Transmission 7-speed 7G-Tronic / 9-speed 9G-Tronic automatic,,"A concept future hybrid, the F700 research car, was also unveiled at the 2007 Frankfurt Motor Show.[37] The F700 featured three regular opening doors and a fourth door capable of 180-degree rotation. The concept also featured bulletproof and puncture-resistant tires.","It was the first production car to feature an airbag standard, and as late as 19","It was the first production car to feature an airbag standard, and as late as 1991 there were only a few other manufacturers in Europe who offered an airbag.",,
,,,"Wheelbase SWB: 3,035 mm (119.5 in)",L OM617 I5 turbodiesel,Transmission 9-speed 9G-Tronic automatic,,"A special armored version of the Mercedes-Benz S-Class has been produced, known as the S-Guard. Features include the capability to withstand small arms fire and certain explosive devices, a self-sealing fuel tank, and an alarm system.[40]",A four-speed automatic transmission was standard.,A four-speed automatic transmission was standard.,,
,,,Mercedes-Benz S 550 short wheelbase (Japan),Engines[edit],"^ ""MERCEDES-BENZ S-Class SEDAN 2016 W222 Owner's Manual"". www.carmanualsonline.info. Archived from the original on 15 March 2017. Retrieved 14 March 2017.",,"^ ""Mercedes Introduces Armored S-Class"". Theautochannel.com. Archived from the original on 20 October 2011. Retrieved 9 October 2010.",Although the top of range Mercedes-Benz 450SEL 6.9 of the previous generation wa,"Although the top of range Mercedes-Benz 450SEL 6.9 of the previous generation was not directly replaced, the W126 carried forward the hydropneumatic suspension of the 6.9 as an option on the 500SEL.",,
