Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Polestar,Polestar 4,"Wheelbase 2,999 mm (118.1 in)[7]",Electric motor Permanent Magnet Synchronous motors,Type Model Number of motors Range Power Torque Combined system output Electric motor Battery Transmission Layout Cal. years,"Rear-motor, rear-wheel drive","An estate-styled variant was announced in February 2026, for a planned launch later that year. It will be produced at the Renault Korea plant in Busan, South Korea, alongside the coupe SUV model, which has since been referred to as the Polestar 4 Coupe.[13][14][15]",The vehicle is marketed as a coupe SUV that went into production in November 202,"The vehicle is marketed as a coupe SUV that went into production in November 2023,[9] and has two powertrain options.[10] Overview[edit] The vehicle was unveiled in April 2023 at the 2023 Auto Shanghai,[11] as part of Geely's new SEA platform, where it underpins primarily battery electric vehicles, such as the Zeekr 001 and the Volvo EX30.",Standard equipment - ADAS Polestar 4 Safety assistance (Standard) ACC (Adaptive cruise con,Standard equipment - ADAS Polestar 4 Safety assistance (Standard) ACC (Adaptive cruise control) Collision Avoidance and mitigation by braking and steering Explore detailed specs for all trim levels of Polestar 4 2025.
,,,"The 4 is a two-row coupe crossover, that has a choice of the rear-wheel drive model where the motor is placed at the rear axle, or the performance all-wheel drive model where the motors are placed at both the front and rear axles.[12]",Battery 102 kWh nickel manganese cobalt,"km (300 mi)EPA 203 kW (272 hp; 276 PS) 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft) - 1x PMSM 102 kWh, 400 V nickel manganese cobalt 1-speed direct-drive RWD","The 4 is a two-row coupe crossover, that has a choice of the rear-wheel drive model where the motor is placed at the rear axle, or the performance all-wheel drive model where the motors are placed at both the front and rear axles.[12]","^ ""Polestar 4 Long Range Single Motor EV Specs | Range, Charging & Featured Offers"". zecar.com/.","It will be produced at the Renault Korea plant in Busan, South Korea, alongside","It will be produced at the Renault Korea plant in Busan, South Korea, alongside the coupe SUV model, which has since been referred to as the Polestar 4 Coupe.[13][14][15] Rear view Interior Equipment[edit] Standard equipment includes the 15.4-inch landscape touchscreen which consists of the Android Automotive, which is used on the Polestar 2.",,
,,,"^ ""Polestar 4 Long Range Single Motor"". EV Database.",Plug-in charging 22 kW (AC),,"km (300 mi)EPA 203 kW (272 hp; 276 PS) 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft) - 1x PMSM 102 kWh, 400 V nickel manganese cobalt 1-speed direct-drive RWD","^ White, Tom (2023-04-18). ""This is it: 2024 Polestar 4 revealed as all-electric Porsche Macan challenger with long range and big performance specs but is the price right?"". CarsGuide.","A 10.2-inch digital instrument cluster, and a 14.7-inch head-up display come sta","A 10.2-inch digital instrument cluster, and a 14.7-inch head-up display come standard.",,
,,,,kW (DC),,Rear motor: 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft) 400 kW (536 hp; 544 PS) / 686 N⋅m (70.0 kg⋅m; 506 lb⋅ft) 2x PMSM AWD,,"2025 Polestar 4 Specs, Features & Options Here's everything you need to know abo","2025 Polestar 4 Specs, Features & Options Here's everything you need to know about each trim in the 2025 Polestar 4 lineup.",,
,,,,Type Model Number of motors Range Power Torque Combined system output Electric motor Battery Transmission Layout Cal. years,,,,"Polestar 4 comes with a carefully curated range of packs, colours, sustainable m","Polestar 4 comes with a carefully curated range of packs, colours, sustainable materials, and single options, making the electric experience even more personal.",,
,,,,"km (300 mi)EPA 203 kW (272 hp; 276 PS) 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft) - 1x PMSM 102 kWh, 400 V nickel manganese cobalt 1-speed direct-drive RWD",,,,Standard equipment - ADAS Polestar 4 Safety assistance (Standard) ACC (Adaptive,Standard equipment - ADAS Polestar 4 Safety assistance (Standard) ACC (Adaptive cruise control) Collision Avoidance and mitigation by braking and steering Explore detailed specs for all trim levels of Polestar 4 2025.,,
,,,,km (270 mi)EPA Front motor: 203 kW (272 hp; 276 PS),,,,Latest technology in the 2025 Polestar 4: Compare all specifications and configu,"Latest technology in the 2025 Polestar 4: Compare all specifications and configurations of the 2025 Polestar 4, special features and options, and check out specs and trims on CarBuzz Standard equipment includes the features that come with this vehicle.",,
,,,,Rear motor: 203 kW (272 hp; 276 PS) Front motor: 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft),,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,Rear motor: 343 N⋅m (35.0 kg⋅m; 253 lb⋅ft) 400 kW (536 hp; 544 PS) / 686 N⋅m (70.0 kg⋅m; 506 lb⋅ft) 2x PMSM AWD,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,Single Motor 22 kW 200 kW,,,,,,,
,,,,"^ ""2024 Polestar 4 electric car unveiled, due in Australia next year"". Drive. 18 April 2023.",,,,,,,
,,,,"a b c d Hickey, Jordan (18 April 2023). ""2024 Polestar 4 electric SUV revealed, confirmed for Australia"". Which Car?.",,,,,,,
,,,,"^ ""Polestar 4: A New Era of Electric Sophistication - EVhicle"". 2024-02-02. Retrieved 2024-02-02.",,,,,,,
,,,,"a b ""The 2024 Polestar 4 electric coupe SUV has debuted in China before its global launch next year"". WhichCar?. 18 April 2023.",,,,,,,
,,,,"^ ""2024 Polestar 4 electric SUV revealed, confirmed for Australia"". WhichCar?. 18 April 2023.",,,,,,,
