Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Toyota,Crown Signia,"Wheelbase 2,530 mm (99.6 in)","Front-engine, rear-wheel-drive",Transmission,"With the exception of the S230/232 sedan, this generation is the first Crown to use a front-wheel drive-based platform (TNGA-K) – although it is paired with Toyota's drive shaft-less electric all-wheel drive (E-Four) system as standard.[citation needed]",Predecessor Toyota RH,The Crown has also been partially succeeded in export markets by its closely rel,"The Crown has also been partially succeeded in export markets by its closely related sibling, the Lexus GS, which since its debut in 1991 as the Toyota Aristo has always shared the Crown's platform and powertrain options.","An elegant exterior highlights graceful lines, while hybrid efficiency and All-Wheel Drive","An elegant exterior highlights graceful lines, while hybrid efficiency and All-Wheel Drive add versatility to an already exceptional ride."
,,,"Wheelbase 2,690 mm (105.9 in)","Front-engine, four-wheel-drive (1995–present)",speed manual,Hybrid drivetrain,"The stylized ""crown"" badge, affixed to the grille and hubcaps, first appeared with this generation.[29]","It featured many differences from the standard car, including a more reinforced","It featured many differences from the standard car, including a more reinforced chassis with the more powerful B 6-cylinder 3.4 L engine from the Toyota BX truck.","For 2 years or 25,000 miles, whichever comes first, every new Toyota will be covered for a","For 2 years or 25,000 miles, whichever comes first, every new Toyota will be covered for all normal factory scheduled service, as well as 24/7 roadside assistance."
,,,"A two-door Crown Convertible was displayed at the 1963 Tokyo Motor Show, based on the Crown 1900 sedan. It was not put into production.","Layout Front-engine, rear-wheel-drive",speed Toyoglide automatic,Toyota Crown hybrid drivetrains[117][118],Predecessor Toyota Masterline (for commercial use versions),"In December 1955, the Crown Deluxe (RSD) was introduced, a posher model equipped","In December 1955, the Crown Deluxe (RSD) was introduced, a posher model equipped with a radio and heater as standard.[14] The initial RS model received a cosmetic update in 1958 to become the RS20, now with hooded headlights and a single-piece front windshield.",,
,,,"Wheelbase 2,740 mm (108 in)",Engine,speed Toyoglide A20 automatic,"In China, the model is sold as the Crown SportCross by FAW Toyota as an imported model.[124] It was introduced at the December 2022 Guangzhou Auto Show.[125] It was offered in two grades: 2.5L HEV Premium Edition and the 2.4L HEV AWD Supreme Edition.[126]","a powered rear window,",The 1900 was also available with the new two-speed Toyoglide automatic transmiss,"The 1900 was also available with the new two-speed Toyoglide automatic transmission.[16] In April 1961, a Crown Standard 1900 was added.",,
,,,"Wheelbase 2,690 mm (105.9 in)[37]",",491 cc C diesel I4 (CS20)",speed manual (optional O/D),Hybrid drivetrain Power-split,"In 1973, Japanese television commercials introduced Japanese actress Sayuri Yoshinaga as a co-spokeswoman, joining Satoshi Yamamura, and together they appeared in commercials until 1983.[citation needed]",They also observed an average of 23.5 mpg combined city/highway for 407 miles.[2,"They also observed an average of 23.5 mpg combined city/highway for 407 miles.[24] To remedy the performance issues along with the resulting breakage of parts from being overly stressed, Toyota introduced the newer RS22L and the RS32L series Crown with the larger 3R engine and other improvements for high-speed driving in July 1960.[20] For 1958, Toyota introduced the Crown in sedan form only (Standard and Deluxe) with a base price of US$2,187 (equivalent to about $24,405 in 2025).",,
,,,"Wheelbase 2,720 mm (107.1 in)",Engine 2.6L (2599cc) V V8,speed automatic,,"Crown's for the Japanese Domestic Market Hardtop featured rectangular halogen headlights, and export models featured twin round headlights. All models featured flush bumpers, marketed by Toyota as ""spindle-shaped.""[48][44]",Options included $94 AM radio and $75 whitewall tires.,Options included $94 AM radio and $75 whitewall tires.,,
,,,"The top-trim package was called the Royal Saloon, followed by Super Saloon Extra, Super Select for hardtop bodystyles, followed by the Royal Saloon sedan, Super Saloon Extra sedan, and the wagon came only as Super Saloon Extra.","The Utility Wagon was a body style between commercial and passenger car, and carried chassis codes MS67V until the early 1973 facelift when it was replaced by the MS68V with the 2.6 engine.[46]",/4/5-speed manual[42],,door pillared hardtop sedan,"By comparison, an optioned up Crown was $32 more than the base Chevy Del Ray and","By comparison, an optioned up Crown was $32 more than the base Chevy Del Ray and $10 more than the Rambler Rebel V8 sedan.[24] Total sales for the initial year were 287.[22] For 1959, sales were again limited to only sedan models and despite a price boost to $2,329 for the Deluxe model, sales more than tripled to 967 units.[22][24] For 1960, Toyota added a wagon body style ($2,111 for the two-door, $2,211 for the four-door) but in the midst of Detroit's Big Three compact cars (Ford Falcon, Chevy",,
,,,"Wheelbase 2,730 mm (107.5 in)",L L diesel I4,/5-speed manual,,"The S120 was available in Hardtop sedan (frameless door glass), sedan and wagon versions but in two different exterior dimensions for length and width, with the Royal Saloon hardtop and sedan only offered in the larger body.",Some optional features include the Toyoglide automatic transmission for US$160 (,"Some optional features include the Toyoglide automatic transmission for US$160 (equivalent to about $1,703 in 2025) and a radio for US$60 (equivalent to about $639 in 2025).",,
,,,"In January 1993, a special-edition model was released, called the Prestige Saloon series for the Royal Saloon G and the Royal Saloon trims, and the Owners Prestige series for the Royal Touring trim. This special model included new chrome door handles and an all-chrome grille.",cc M-TEU turbo I6,/4-speed automatic,,–1991 (pillared hardtop sedan),"Yamamura would serve as the Crown spokesman for 16 years, introducing subsequent","Yamamura would serve as the Crown spokesman for 16 years, introducing subsequent new generations of Crown products until 1983.[citation needed] The Crown range now included the four-door station wagon, pick-up (rare), double cab pick-up (very rare), and in October 1968, the new two-door hardtop ""personal luxury car."" In September 1968 the option of power steering was added.[38] In 1969 the Crown received a facelift for the headlight, grille and trim arrangement.",,
,,,"Wheelbase 2,780 mm (109.4 in)",cc L diesel I4 (LS110/117V),/4/5-speed manual,,Body style 4-door pillared hardtop sedan,The 2.2-liter diesel was introduced in October 1977.[50] Trim levels are Standar,"The 2.2-liter diesel was introduced in October 1977.[50] Trim levels are Standard, Deluxe, Super Saloon, and Royal Saloon.",,
