Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Volvo,EX30,"Wheelbase 2,650 mm (104.3 in)",Electric motor 1× or 2× permanent magnet synchronous,"The EX30 is available as rear-wheel drive or all-wheel drive, with an electric motor on each axle. The fastest version of the EX30 reaches 0 to 100 km/h (0 to 62 mph) in 3.6 seconds, and has a top speed of 180 km/h (112 mph).[16]","The EX30 is available as rear-wheel drive or all-wheel drive, with an electric motor on each axle. The fastest version of the EX30 reaches 0 to 100 km/h (0 to 62 mph) in 3.6 seconds, and has a top speed of 180 km/h (112 mph).[16]",Predecessor Volvo C30 DRIVe Electric,"Ultra models receive additional equipment, such as a 360 degree camera, park pil","Ultra models receive additional equipment, such as a 360 degree camera, park pilot assist, optional 20 inch wheels (19 inch as standard) and a panoramic sunroof.",,
,,,"The EX30 is available as rear-wheel drive or all-wheel drive, with an electric motor on each axle. The fastest version of the EX30 reaches 0 to 100 km/h (0 to 62 mph) in 3.6 seconds, and has a top speed of 180 km/h (112 mph).[16]",Battery 51 kWh LFP or 69 kWh NMC,Production Battery Battery capacity DC Charging Range (WLTP) Range (EPA) Power Torque 0–100 km/h (0–62 mph) Top speed Drive,km/h (110 mph) RWD,Red Dot 'Best of the Best' Design Award in 2024[44],"Another model called Core was later released, providing only a single motor (wit","Another model called Core was later released, providing only a single motor (with the option of an Extended Range Battery) like the Plus, but with 18 inch alloys, while still keeping all safety features intact.",,
,,,Trim levels[edit],Electric range,"a b c d Moore, Alina (8 June 2023). ""10 Reasons Why The 2025 Volvo EX30 Is A Gamechanger!"". TopSpeed. Retrieved 19 November 2024.",Twin Motor Performance[26] 460 km (290 mi) 427 km (265 mi) 315 kW (422 hp)[23] 543 N⋅m (400 lb⋅ft) 3.6 s AWD,"^ Shaw, Kristin (6 November 2023). ""Volvo's new EV could include recycled blue jeans, pine resin, or flax"". Popular Science. Retrieved 13 April 2024.",[27] A budget-oriented trim known as Essential cuts down much of the features s,"[27] A budget-oriented trim known as Essential cuts down much of the features such as the aero-rim inserts, the option of an Extended Range battery, frunk, and also driving-comfort features such as the adaptive cruise control.",,
,,,"A budget-oriented trim known as Essential cuts down much of the features such as the aero-rim inserts, the option of an Extended Range battery, frunk, and also driving-comfort features such as the adaptive cruise control.",Predecessor Volvo C30 DRIVe Electric,,"^ ""2023 Volvo EX30 69 kWh (428 Hp) AWD Twin Motor Performance"". Auto-Data.net.","^ Brook-Jones, Callum (25 May 2023). ""Volvo uses renewable and recycled materials to reduce EX30 SUV's environmental impact"". Automotive Interiors World. Retrieved 13 April 2024.",,,,
,,,Auto Express 'Small Premium SUV of the Year' in 2025[45],"The EX30 is available as rear-wheel drive or all-wheel drive, with an electric motor on each axle. The fastest version of the EX30 reaches 0 to 100 km/h (0 to 62 mph) in 3.6 seconds, and has a top speed of 180 km/h (112 mph).[16]",,,"^ ""Red Dot Design Award: Volvo EX30"". www.red-dot.org. Retrieved 2 February 2025.",,,,
,,,"^ ""Small Premium SUV of the Year 2025: Volvo EX30"". Auto Express. Retrieved 29 July 2025.",Electric details,,,,,,,
,,,Sports sedan/estate S60/V60 T8 PSE,Single Motor[18][19] 2023 – present Lithium iron phosphate 49 kWh (usable),,,,,,,
,,,,kWh (gross)[20],,,,,,,
,,,,kW[20] 344 km (214 mi) 322 km (200 mi) US: 185 kW (248 hp) [21],,,,,,,
,,,,TR: 150 kW (200 hp) [22],,,,,,,
,,,,Global: 200 kW (270 hp)[23],,,,,,,
,,,,kW (147 hp) [24],,,,,,,
,,,,Single Motor Extended Range[25] Nickel manganese cobalt 64 kWh (usable),,,,,,,
,,,,kW[20] 480 km (300 mi) 414–420 km (257–261 mi)[21] 5.3 s,,,,,,,
,,,,Twin Motor Performance[26] 460 km (290 mi) 427 km (265 mi) 315 kW (422 hp)[23] 543 N⋅m (400 lb⋅ft) 3.6 s AWD,,,,,,,
