Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,BMW,X5,BMW X5 Sport (E53),"Layout Front-engine, four-wheel-drive",Workshop manuals,All 2019 model year X5s were equipped with xDrive all-wheel drive. An sDrive (rear-wheel drive) variant was added to the US model lineup for 2020. The 2020 X5 sDrive was powered by BMW's inline-6 petrol B58 engine (the sDrive40i).,"A series of petrol inline-6 and V-8 engines were offered, along with diesel engines. Engine displacement ranged from 3.0 to 4.8 litres.",The M-Class used body-on-frame construction until its second generation.,"The M-Class used body-on-frame construction until its second generation. The X5 is primarily manufactured in North America, at BMW Group Plant Spartanburg.","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options."
,,,"The wheelbase of the G18 is extended by 13 cm over the standard X5, mirroring the wheelbase of the X7 and XM. The G18 was assembled at BMW Plant Shenyang in Shenyang.","A series of petrol inline-6 and V-8 engines were offered, along with diesel engines. Engine displacement ranged from 3.0 to 4.8 litres.",,,All 2019 model year X5s were equipped with xDrive all-wheel drive. An sDrive (rear-wheel drive) variant was added to the US model lineup for 2020. The 2020 X5 sDrive was powered by BMW's inline-6 petrol B58 engine (the sDrive40i).,"The second generation featured key improvements, including BMW's iDrive system a","The second generation featured key improvements, including BMW's iDrive system as standard across models, and an optional third row of seats for increased seven-passenger capacity.",,
,,,"In January 2021, the X5 xDrive45e M Sport was named Luxury SUV of the Year by What Car? magazine. What Car? awarded the X5 five stars out of five in its review of the car.","In 2009, the diesel xDrive35d variant became available in Canada and the United States, along with the BMW 335d 3-Series sedan.",,,BMW X5 Black Vermilion,"In December 2013, additional engine options became available.","In December 2013, additional engine options became available.",,
,,,,,,,,annual-report2018.bmwgroup.com.,annual-report2018.bmwgroup.com.,,
,,,,,,,,Customize your BMW X5 with options tailored to your lifestyle.,Customize your BMW X5 with options tailored to your lifestyle.,,
,,,,,,,,"For an in-depth side-by-side breakdown of all the 2021 X5 specs, features and op","For an in-depth side-by-side breakdown of all the 2021 X5 specs, features and options by trim level, check out Kelley Blue Book's 2021 BMW X5 specs page.",,
,,,,,,,,This document lists BMW option codes and their descriptions.,This document lists BMW option codes and their descriptions.,,
,,,,,,,,"It includes codes for automatic transmissions, leather upholstery, metallic pain","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options.",,
,,,,,,,,Wheel styles are extensively coded along with tire and suspension options.,Wheel styles are extensively coded along with tire and suspension options.,,
,,,,,,,,Latest technology in the 2021 BMW X5: Compare all specifications and configurati,"Latest technology in the 2021 BMW X5: Compare all specifications and configurations of the 2021 BMW X5, special features and options, and check out specs and trims on CarBuzz Pricing and Which One to Buy The price of the 2021 BMW X5 starts at $60,395 and goes up to $83,795 depending on the trim and options.",,
,,,,,,,,2021 X5 xDrive40i Option Packages All times are GMT -5.,2021 X5 xDrive40i Option Packages All times are GMT -5.,,
,,,,,,,,"With regard to ranges, the NEDC figures take into and tyre size, while the WLTP","With regard to ranges, the NEDC figures take into and tyre size, while the WLTP figures take into account the effects of any optional equipment.",,
,,,,,,,,2021 BMW X5 Configurations Select up to 3 trims below to compare some key specs,2021 BMW X5 Configurations Select up to 3 trims below to compare some key specs and options for the 2021 BMW X5.,,
