Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,Cadillac,Stretch Limousine,XLR 2003 2009 Y-body 1 Luxury sports coupe with retractable hardtop,Celestiq 2023 2023 – Electric full-size luxury sedan. Replacing CT6 in North America and serving as an electric derivative.,,,Escalade IQ 2023 2023 – Electric derivative of the Escalade. Closely related to GMC Hummer EV and Chevrolet Silverado EV.,(6.0L) V8 Series 60S Fleetwood – 133 in wheelbase Series 62 – 129.5 in wheelbase,"(6.0L) V8 Series 60S Fleetwood – 133 in wheelbase Series 62 – 129.5 in wheelbase Eldorado – 129.5 in wheelbase Offered 4 door Sedan Seville option Series 70 Eldorado Brougham – 126 in wheelbase Series 75 – 149.7 in wheelbase 1958 Cadillac Series 60S, 62, 70, 75 Fisher Fleetwood All models were equipped with the 365 cu.",,
,,,Cadillac Runabout and Tonneau – 72 in wheelbase single-cylinder engine,Escalade IQ 2023 2023 – Electric derivative of the Escalade. Closely related to GMC Hummer EV and Chevrolet Silverado EV.,,,Offered 4 door Sedan Seville option,,,,
,,,Cadillac Model A – 72 in wheelbase single-cylinder engine,Vistiq 2025 2026 – Battery electric three-row mid-size luxury crossover SUV served as an electric derivative of XT6.,,,,,,,
,,,Model A – 72 in wheelbase single-cylinder engine,Lyriq 2022 2022 – Battery electric mid-size luxury crossover SUV served as an electric derivative of XT5.,,,,,,,
,,,Model B – 76 in wheelbase single-cylinder engine,Optiq 2023 2023 – Battery electric compact luxury crossover SUV served as an electric derivative of XT4.,,,,,,,
,,,Model C – 72 in wheelbase single-cylinder engine,ELR 2013 2016 Delta II 1 Compact luxury plug-in hybrid coupe,,,,,,,
,,,Model D – 100 in wheelbase four-cylinder engine,Cadillac Runabout and Tonneau – 72 in wheelbase single-cylinder engine,,,,,,,
,,,Model E – 74 in wheelbase single-cylinder engine,Cadillac Model A – 72 in wheelbase single-cylinder engine,,,,,,,
,,,Model F – 76 in wheelbase single-cylinder engine,Model A – 72 in wheelbase single-cylinder engine,,,,,,,
,,,Model H – 102 in wheelbase four-cylinder engine,Model B – 76 in wheelbase single-cylinder engine,,,,,,,
,,,Model K – 74 in wheelbase single-cylinder engine,Model C – 72 in wheelbase single-cylinder engine,,,,,,,
,,,Model L – 110 in wheelbase four-cylinder engine,Model D – 100 in wheelbase four-cylinder engine,,,,,,,
,,,Model M – 76 in wheelbase single-cylinder engine,Model E – 74 in wheelbase single-cylinder engine,,,,,,,
,,,Model G – 100 in wheelbase four-cylinder engine,Model F – 76 in wheelbase single-cylinder engine,,,,,,,
,,,Model S – 82 in wheelbase single-cylinder engine,Model H – 102 in wheelbase four-cylinder engine,,,,,,,
,,,Model T – 82 in wheelbase single-cylinder engine,,,,,,,,
,,,– 106 in wheelbase four-cylinder engine,,,,,,,,
,,,– 110 in wheelbase; 120 in wheelbase (limousine) four-cylinder engine Fisher,,,,,,,,
,,,– 116 in wheelbase four-cylinder engine Fisher,,,,,,,,
,,,– Cadillac Model 1912; 116 in wheelbase four-cylinder engine Fisher,,,,,,,,
