Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Mazda,CX-5,"Wheelbase 2,700 mm (106.3 in)","Front-engine, front-wheel-drive",Transmission,Engine and drivetrain,Predecessor,Initial models were available with either a 2.0 L petrol engine or a diesel engi,"Initial models were available with either a 2.0 L petrol engine or a diesel engine, with front-wheel drive and all-wheel drive as options (FWD was only available with a 2.0-equipped CX-5).","COMFORT PACKAGE Power glass moonroof with interior sunshade, tilt-up ventilation and one-t","COMFORT PACKAGE Power glass moonroof with interior sunshade, tilt-up ventilation and one-touch open, Advanced Keyless Entry, rear passenger vents (back of centre console), automatic dual-zone climate controls, 19-inch alloy wheels (machined spokes with polished finish and dark painted pockets) and Reversible Trunk Board The Mazda CX-5 has been awarded the maximum five-star rating by Euro NCAP."
,,,"Wheelbase 2,700 mm (106.3 in)","Front-engine, four-wheel-drive",speed Skyactiv-MT manual,The facelifted CX-5 debuted in the Philippines on 16 June 2022. The facelifted line-up saw the two diesel variants replaced by the 2.5 AWD Turbo variant and the Pro variants were dropped.,"In 2022 for the 2023 model year, Mazda has introduced a new colour Rhodium White.","An automatic transmission was standard on all-wheel drive models, with manual av","An automatic transmission was standard on all-wheel drive models, with manual available on the 2.0 Maxx FWD petrol). Europe Early European models included a choice of Skyactiv-G 2.0 and Skyactiv-D 2.2 engines. Japan The Japan domestic market CX-5 achieved monthly sales eight times higher than forecast just after its launch in February 2012, with the Skyactiv-D 2.2 diesel engine marketed as a ""clean diesel"" accounted for 73 percent of the sales. Malaysia Th","With superb safety equipment as standard such as Advanced Smart City Brake Support, Lane-k","With superb safety equipment as standard such as Advanced Smart City Brake Support, Lane-keep Assist System and Lane Departure Warning System, for a more re-assuring drive, everytime."
,,,"In 2017, for the 2018 model year, Mazda added standard cylinder deactivation and made the i-Activsense Package available on the Sport trim.",Engine,speed Skyactiv-Drive automatic,Hybrid drivetrain Mazda M Hybrid (mild hybrid),"The second-generation CX-5 was launched on 11 August 2017 at the 27th Gaikindo Indonesia International Auto Show, with two trim levels: GT and Elite, it is powered by a 2.5 Skyactiv-G petrol engine.","Initially, the only engine available was a direct-injected Skyactiv-G 2.0-litre","Initially, the only engine available was a direct-injected Skyactiv-G 2.0-litre inline-four petrol engine with 155 bhp (116 kW; 157 PS). It is rated at 26 and 32 mpg‑US (9.0 and 7.4 L/100 km; 31 and 38 mpg‑imp) in city and highway with the automatic transmission, which increases to 34 mpg‑US (6.9 L/100 km; 41 mpg‑imp) with the manual transmission. For the 2014 model year, an optional 2.5-litre four-cylinder Skyactiv petrol engine was introduced to address the main criticism of the CX-5,","Find your 2022 Mazda CX-5 AWD OE tire size, as well as the optional tire sizes that can fi","Find your 2022 Mazda CX-5 AWD OE tire size, as well as the optional tire sizes that can fit based on different wheel sizes and more."
,,,"Wheelbase 2,775 mm (109.3 in)","The second-generation CX-5 was launched on 11 August 2017 at the 27th Gaikindo Indonesia International Auto Show, with two trim levels: GT and Elite, it is powered by a 2.5 Skyactiv-G petrol engine.",,,,Mazda cited low consumer demand as well as emissions certification issues.,"Mazda cited low consumer demand as well as emissions certification issues. In 2017, for the 2018 model year, Mazda added standard cylinder deactivation and made the i-Activsense Package available on the Sport trim. In 2018, for the 2019 model year, Mazda made available a new turbocharged SKYACTIV-G 2.5T engine and added new Grand Touring Reserve and Signature range-topping trims.",,
,,,"The third-generation CX-5 was launched in Mexico on 6 March 2026, with three trim levels: i Sport, i Grand Touring and Signature.","The facelifted CX-5 was released in Japan on 8 November 2021. The facelift model saw the (25T) engine discontinued and, leaving only two gasoline models: 20S, and 25S. The XD grade has been consolidated into two grades: XD Proactive, and XD L Package.",,,,"Mazda also made automatic headlights, i-Activsense safety features, and automati","Mazda also made automatic headlights, i-Activsense safety features, and automatic rain-sensing windshield wipers standard and the Grand Touring trim received paddle shifters.",,
,,,,,,,,Only one engine option is available: a 2.0 Skyactiv-G petrol engine. Taiwan,"Only one engine option is available: a 2.0 Skyactiv-G petrol engine. Taiwan The second-generation CX-5 was launched in Taiwan on 10 April 2017, with five variants: Sky-G Premium, Sky-G Top-of-the-line, Sky-G Flagship, Sky-D Top-of-the-line and Sky-D AWD Flagship.",,
,,,,,,,,Two engine options were available: a 2.0 Skyactiv-G petrol (Sky-G) and a 2.2 Sky,"Two engine options were available: a 2.0 Skyactiv-G petrol (Sky-G) and a 2.2 Skyactiv-D diesel (Sky-D). The facelifted CX-5 was launched in Taiwan on 11 February 2022, with five variants: 20S Carbon Edition, 20S Carbon Edition Plus, 20S Premium, 25T 2WD Sport Edition and 25T AWD Signature.",,
,,,,,,,,The Premium trim could be specified with Sport and Exclusive packages.,The Premium trim could be specified with Sport and Exclusive packages.,,
,,,,,,,,"For the facelift model, there was only one engine option: a 2.0 Skyactiv-G petro","For the facelift model, there was only one engine option: a 2.0 Skyactiv-G petrol engine. In September 2023, the 2.5 Skyactiv-G petrol engine option return to the line-up for the Signature trim, which can be specified with Sport and Exclusive packages. Europe The second-generation CX-5 made its European debut in May 2017.",,
,,,,,,,,Two engine options were available at launch: a 2.0 Skyactiv-G petrol and a 2.2 S,Two engine options were available at launch: a 2.0 Skyactiv-G petrol and a 2.2 Skyactiv-D diesel.,,
