Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,MINI,Delta Waseca Mini,"The Mitsubishi Delica Mini is a kei variation of the Delica series. Replacing the eK X Space on which it was also based, it went on sale in May 2023. A second generation arrived in August 2025.","Front-engine, front-wheel-drive",Transmission CVT,Hybrid drivetrain Mild hybrid,Predecessor Mitsubishi eK X Space,"In addition, a new grade, DELIMARU Package, based on the T/G Premium, has been a","In addition, a new grade, DELIMARU Package, based on the T/G Premium, has been added.",,
,,,Delica Mini T Premium,"Front-engine, four-wheel-drive",,G Premium 4WD,"Mitsubishi had considered naming the car the ""Delica D:1"", as a continuation of the larger Delica D:5, D:3, and D:2 models, but in the end they opted for ""Delica Mini"" to tie it to the very successful Pajero Mini instead.",,,,
,,,"Wheelbase 2,495 mm (98.2 in)","Front-engine, front-wheel-drive (B34A/B35A)",,,"The first-generation Delica Mini was offered in G, G Premium, T, and T Premium grade levels. The ""T"" models have the turbocharged engine. Announced in late 2022, the Delica Mini went on sale in May 2023 – to coincide with the 55th anniversary of the original Delica.",,,,
,,,G Premium 4WD,Engine,,,,,,,
,,,,kW (51 hp; 52 PS) (BR06DE),,,,,,,
,,,,kW (63 hp; 64 PS) (BR06DET),,,,,,,
,,,,kW (2.68 hp; 2.72 PS) (electric motor),,,,,,,
,,,,Hybrid drivetrain Mild hybrid,,,,,,,
,,,,"The first-generation Delica Mini was offered in G, G Premium, T, and T Premium grade levels. The ""T"" models have the turbocharged engine. Announced in late 2022, the Delica Mini went on sale in May 2023 – to coincide with the 55th anniversary of the original Delica.",,,,,,,
,,,,"Like first generation, The grades are ""T"" for turbo engine vehicles and ""G"" for naturally aspirated engine vehicles, with ""T Premium"" and ""G Premium"". In addition, a new grade, DELIMARU Package, based on the T/G Premium, has been added.",,,,,,,
