Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,MINI,Pony,Based on My Little Pony,,,,"The film became available for purchase on April 26, 2022, on other platforms such as Amazon Prime Video, Redbox, Sky Store and Microsoft Store.[citation needed]","While Pipp is initially angry with her sister, she returns the crystal and helps","While Pipp is initially angry with her sister, she returns the crystal and helps the group escape the city.","Priced with wire-spoke wheels, an optional upgrade to authentic wood spoke wheels using th","Priced with wire-spoke wheels, an optional upgrade to authentic wood spoke wheels using the drop-down boxes will incrementally add to the price of the wire-spoke wheels."
,,,,,,,"An animated Christmas-themed special, My Little Pony: Winter Wishday, premiered on November 21, 2022, on Netflix, tied to the Make Your Mark series.[51]",Izzy escorts the group to her home in the forest village of Bridlewood and disgu,"Izzy escorts the group to her home in the forest village of Bridlewood and disguises them as unicorns before leading them to Alphabittle, who holds the unicorn crystal.",,
,,,,,,,"^ Ng, Phillana (May 12, 2022). ""'My Little Pony:' Make Your Mark': Watch Maitreyi Ramakrishnan in the Colorful Trailer (Exclusive) | Entertainment Tonight"". ETOnline. Retrieved July 8, 2022.","As the group flees with the two crystals, they come across Haven, who has also e","As the group flees with the two crystals, they come across Haven, who has also escaped.",,
,,,,,,,,Description / Mini Pony Buckboard Farm Wagon Comes standard with a black vinyl c,"Description / Mini Pony Buckboard Farm Wagon Comes standard with a black vinyl cushion seat, pedal-operated rear rub brakes, and a working drop-down tailgate.",,
,,,,,,,,Optional seat vinyl colors are available as an upgrade via the drop-down boxes.,Optional seat vinyl colors are available as an upgrade via the drop-down boxes.,,
,,,,,,,,Optional removable rear seat.,Optional removable rear seat.,,
,,,,,,,,"Model Year 2021 MINI Lineup Pricing and Equipment Updates Woodcliff Lake, N.J.,","Model Year 2021 MINI Lineup Pricing and Equipment Updates Woodcliff Lake, N.J., June 8, 2020.",,
,,,,,,,,"Priced with wire-spoke wheels, an optional upgrade to authentic wood spoke wheel","Priced with wire-spoke wheels, an optional upgrade to authentic wood spoke wheels using the drop-down boxes will incrementally add to the price of the wire-spoke wheels.",,
,,,,,,,,"Optional 12 Volt light system, (Less Battery) We have many other custom options","Optional 12 Volt light system, (Less Battery) We have many other custom options available just email us with your custom needs.",,
,,,,,,,,"These new updates include pricing, equipment and technical changes.","These new updates include pricing, equipment and technical changes.",,
,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,,,,,"Jun 10, 2024The MINI brand is synonymous with style, innovation, and performance","Jun 10, 2024The MINI brand is synonymous with style, innovation, and performance and over the years have developed a number of packages designed to allow customers to personalise, upgrade and perfect their MINIs.",,
,,,,,,,,"For new MINIs from 2022 onwards, MINI have streamlined their product offering, c","For new MINIs from 2022 onwards, MINI have streamlined their product offering, combining option packs to make them easier to understand.",,
,,,,,,,,This now means a customer can choose from the optional ...,This now means a customer can choose from the optional ...,,
,,,,,,,,Mini has played the unusual triple for its 2021 model-year lineup: Design revisi,"Mini has played the unusual triple for its 2021 model-year lineup: Design revisions, more equipment, and lower prices on a number of models.",,
