Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,MINI,Minitears Company,Asgard Miniatures - Early British company based in Nottingham[2],,,,Black Powder Red Earth - Produces Modern war game miniatures and game. All USA made materials. https://www.blackpowderredearth.com/28mm.php,"Woodcliff Lake, NJ - February 24, 2022 - MINI USA presents its Model Year 2023 v","Woodcliff Lake, NJ - February 24, 2022 - MINI USA presents its Model Year 2023 vehicle lineup with updates to options, and equipment.","For 2023, Mini has removed adaptive cruise control from the optional Driver Assistance pac","For 2023, Mini has removed adaptive cruise control from the optional Driver Assistance package and made it a standalone option."
,,,CMON Limited,,,,,A few weeks ago we gave you a preview of the 2023 pricing and equipment updates,A few weeks ago we gave you a preview of the 2023 pricing and equipment updates with CarPlay becoming standard across all models.,,
,,,,,,,,This week we're back with full pricing and equipment changes across the range.,This week we're back with full pricing and equipment changes across the range.,,
,,,,,,,,The most notable updates to the 2023 MINI model line-up include the news that Ap,The most notable updates to the 2023 MINI model line-up include the news that Apple CarPlay is now standard equipment across the full model range regardless of trim level or variant.,,
,,,,,,,,This includes the MINI Resolute Edition Hardtops and ...,This includes the MINI Resolute Edition Hardtops and ...,,
,,,,,,,,"The Mini EV, which Mini calls the Cooper SE, sees 2023 updates similar to those","The Mini EV, which Mini calls the Cooper SE, sees 2023 updates similar to those on the standard Hardtop and Convertible.",,
,,,,,,,,"MINI USA presents its Model Year 2023 vehicle lineup with updates to options, an","MINI USA presents its Model Year 2023 vehicle lineup with updates to options, and equipment.",,
,,,,,,,,[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest,"[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest 22K views 20 replies 4 participants last post by rams16fan Mar 18, 2026 Mar 14, 2025You can find classifications for various types of sizes of commercially available vehicles, as well as minimum technical, quality, and optional equipment specifications, in GSA's Federal Vehicle Standards.",,
,,,,,,,,You can see available equipment groups and packages on the Ford website and your,You can see available equipment groups and packages on the Ford website and your window sticker.,,
,,,,,,,,Viewing Packages on the Ford Website You can see available packages online: Visi,Viewing Packages on the Ford Website You can see available packages online: Visit the Ford website.,,
,,,,,,,,"For 2023, Mini has removed adaptive cruise control from the optional Driver Assi","For 2023, Mini has removed adaptive cruise control from the optional Driver Assistance package and made it a standalone option.",,
,,,,,,,,"As a result, the package can be ordered with either transmission.","As a result, the package can be ordered with either transmission.",,
,,,,,,,,The Option Package price and monthly payment displayed is for illustration purpo,"The Option Package price and monthly payment displayed is for illustration purposes, only.",,
,,,,,,,,"Prices and monthly payments may vary based on features included in package, fina","Prices and monthly payments may vary based on features included in package, financing terms and availability.",,
