raw_row_id,dealer_name,website,row_quality,dedupe_key,normalized_id,action,was_merged
1,Long Beach BMW,https://www.longbeachbmw.com,usable,d:longbeachbmw.com|z:90755|BMW,78,inserted_new,False
2,Irvine BMW,https://www.irvinebmw.com,usable,d:irvinebmw.com|z:92618|BMW,79,inserted_new,False
3,Keyboard shortcuts,"https://maps.google.com/maps?ll=38.550456,-97.988908&z=4&t=m&hl=en-US&gl=US&mapclient=apiv3",partial,p:b489af995f1027289de20411,,staged_partial,False
4,CHOOSE YOUR LOCAL BMW CENTER,,partial,p:25972661449b88aac8998c24,,staged_partial,False
5,No local results found,,partial,p:81a19075181562953122de83,,staged_partial,False
6,Cancel,,partial,p:92d08a36574ad7d080cd411e,,staged_partial,False
7,Popular searches:,,partial,p:21c037744073cd1243620862,,staged_partial,False
8,MyBMW,,partial,p:e6576b2a91a2f524324b2c1a,,staged_partial,False
9,"Offer valid to customers – and their family members residing within the same household – attending The BMW Unplug to Unleash Sales Event– at participating BMW Centers, on September 17th- September 27t",,partial,p:b27e4115b7a9201f54472cd6,,staged_partial,False
10,Keyboard shortcuts,https://www.google.com/intl/en-US_US/help/terms_maps.html,partial,p:865315ce1c3a45e48d584873,,staged_partial,False
11,Do Not Sell or Share and Analytics and Advertising Cookie PreferencesBMW uses analytics and targeted advertising cookies on its website. The use of third-party analytics or targeted advertising cookie,https://www.google.com/intl/en-US_US/help/terms_maps.html,partial,p:89b1167f7034da4cb7fa4563,,staged_partial,False
12,Do Not Sell or Share and Analytics and Advertising Cookie PreferencesBMW uses analytics and targeted advertising cookies on its website. The use of third-party analytics or targeted advertising cookie,https://login.bmwusa.com/pm2/pm-document-service/api/v1link/documents/policyName/MY_BMW_APP_DPP/US/PDF?language=en&KeyId=dbf0a542-ebd1-4ff0-a9a7-55172fbfce35,partial,p:89b1167f7034da4cb7fa4563,,staged_partial,False
13,Search “30301”,,partial,p:1743f8c585dc122885720590,,staged_partial,False
